"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"sodB",6.5235902225,8.963308794375,29.8016458709843,1.17344681209522e-09,4.7864895465364e-06,12.081343679944
"gadC",-6.5444967075,5.680760924375,-20.8858383944105,2.09550056689068e-08,4.26187217052206e-05,9.91640843060505
"hdeD",-5.61993685866666,5.867727111,-19.8683831018332,3.1344977964124e-08,4.26187217052206e-05,9.57675558429375
"glsA",-4.3071940915,3.297032095875,-18.2900004414494,6.09958058015594e-08,4.67252895106713e-05,8.99801382847336
"hdeB",-6.80976762266666,6.805247638,-18.0632919704807,6.74188397162978e-08,4.67252895106713e-05,8.90922392848508
"yhiM",-4.3285045,3.554003135,-17.1864165097622,1.00465097576668e-07,4.67252895106713e-05,8.5511729033215
"gadB",-6.81986920816667,5.768071423875,-16.9992546109474,1.09667777788634e-07,4.67252895106713e-05,8.47160566245177
"fhuF",-4.719007413,7.90179101525,-16.9665137257644,1.11372660552599e-07,4.67252895106713e-05,8.45756868562439
"hdeA",-6.4414357895,8.038508502875,-16.9362930774311,1.12972660497569e-07,4.67252895106713e-05,8.44458075175616
"nfeF",-3.35085864116667,4.961613802125,-16.6894878276019,1.27046025798457e-07,4.67252895106713e-05,8.33736858074501
"mdtE",-5.02415649183333,3.561688956625,-16.5598289735831,1.35218075180555e-07,4.67252895106713e-05,8.28021732386473
"mdtF",-4.0181922605,4.061732805625,-16.5257713260376,1.37461013515091e-07,4.67252895106713e-05,8.26510943968381
"mcbR",-3.32657876166666,3.75710943325,-16.2244440369551,1.59223815491732e-07,4.68313002070416e-05,8.12967442111426
"appC",-3.47143154433333,4.35119427775,-16.1275140285114,1.67023936514994e-07,4.68313002070416e-05,8.08542265821235
"patA",-4.79153194116666,6.800068419125,-16.0657578874485,1.72216107650312e-07,4.68313002070416e-05,8.05705203450626
"ybgA",-4.566726518,4.343017785,-15.8137448448829,1.95358765132292e-07,4.98042751859137e-05,7.93982911622062
"gadW",-2.99892757333333,6.50282616,-15.2907896388246,2.5535090590041e-07,5.88621465632863e-05,7.68892222166474
"mscS",-2.725292462,9.5334492585,-15.2579951502212,2.59749604839214e-07,5.88621465632863e-05,7.6728331808419
"yhiD",-5.22223667766666,3.36085314625,-14.4667361682341,3.96465251775385e-07,8.51148295785155e-05,7.27129154287691
"dgcM",-3.8606860625,5.025924650125,-14.3679594164386,4.18587709373212e-07,8.53709633266666e-05,7.21930087255514
"appB",-2.89006605133333,4.259981923,-13.9239138077522,5.36652594567403e-07,0.000104238377773354,6.98019821159243
"ndh",-2.18040451533333,7.5759378025,-13.4723019656246,6.96243220655088e-07,0.000129089822593277,6.7276272268071
"yciE",-4.127593253,4.04406326975,-13.2681110229514,7.85300940175656e-07,0.000139271414564196,6.61018023934355
"ptrB",-2.04432144033333,5.07136372725,-13.0996831706807,8.6839151984104e-07,0.000147590375392983,6.51172847440596
"dppB",2.2335014095,6.187122537125,12.8652330769892,1.00088201986253e-06,0.00016330391036077,6.37225377227077
"yhjD",-2.12323651533333,5.271890924,-12.6756147964689,1.12464402958875e-06,0.000176439346026636,6.25732850641634
"glaH",-3.24941855866667,4.4752977355,-12.5933753188651,1.18355961573964e-06,0.000178805173059333,6.20688177887261
"grxB",-2.69483991833333,8.14019338125,-12.3090128414342,1.41545335479294e-06,0.000206201222650015,6.02957416640853
"yjjU",-2.14413204366667,4.68959858575,-12.2351651882974,1.48368603890179e-06,0.000208688115609669,5.98278448097829
"ybiO",-2.946559952,3.190217564,-11.7345843621959,2.05568933618882e-06,0.000256013165411408,5.6572266112379
"nuoC",1.91381277983333,8.763561044875,11.7232882054138,2.07116921055114e-06,0.000256013165411408,5.64970692549927
"nrdF",-6.7057216335,4.912486973375,-11.6750117305312,2.13880705678008e-06,0.000256013165411408,5.61748173823523
"btuD",-1.90011345166667,5.89029942975,-11.6545260058947,2.16825023261298e-06,0.000256013165411408,5.60376386809594
"yfcF",-2.1178614675,5.829228252375,-11.4786420416237,2.44049627885304e-06,0.000256013165411408,5.48491132915686
"yehE",-3.58043685483333,4.400731704875,-11.4675031518741,2.45898037199166e-06,0.000256013165411408,5.47731883194941
"ptsG",2.29468905633333,11.27549552425,11.4565618565091,2.47728867795693e-06,0.000256013165411408,5.4698533605209
"gadE",-6.90654513466666,4.367701744,-11.4074999994384,2.56127553359777e-06,0.000256013165411408,5.43628381969837
"lhgD",-3.367422976,4.094545128,-11.3977148087196,2.57840343244107e-06,0.000256013165411408,5.42957013855698
"yciF",-5.19250169883333,3.125240335875,-11.3892938972511,2.59324559485988e-06,0.000256013165411408,5.42378759204512
"yfdC",-2.77565047433333,4.56856799025,-11.3780760608038,2.61316563037503e-06,0.000256013165411408,5.41607736907897
"csgD",-4.78778500916667,5.681710721625,-11.3778324146595,2.61360017310446e-06,0.000256013165411408,5.41590981709345
"tehB",-1.82863841083333,7.390570842375,-11.3652916796433,2.6360757409363e-06,0.000256013165411408,5.40728058470927
