"Gene","logFC","adj.P.Val","P","SignedZ"
"sodB",6.5235902225,4.7864895465364e-06,4.7864895465364e-06,4.57393475230762
"gadC",-6.5444967075,4.26187217052206e-05,4.26187217052206e-05,-4.09280439848398
"hdeD",-5.61993685866666,4.26187217052206e-05,4.26187217052206e-05,-4.09280439848398
"gadB",-6.81986920816667,4.67252895106713e-05,4.67252895106713e-05,-4.07143057188873
"hdeB",-6.80976762266666,4.67252895106713e-05,4.67252895106713e-05,-4.07143057188873
"hdeA",-6.4414357895,4.67252895106713e-05,4.67252895106713e-05,-4.07143057188873
"mdtE",-5.02415649183333,4.67252895106713e-05,4.67252895106713e-05,-4.07143057188873
"fhuF",-4.719007413,4.67252895106713e-05,4.67252895106713e-05,-4.07143057188873
"yhiM",-4.3285045,4.67252895106713e-05,4.67252895106713e-05,-4.07143057188873
"glsA",-4.3071940915,4.67252895106713e-05,4.67252895106713e-05,-4.07143057188873
"mdtF",-4.0181922605,4.67252895106713e-05,4.67252895106713e-05,-4.07143057188873
"nfeF",-3.35085864116667,4.67252895106713e-05,4.67252895106713e-05,-4.07143057188873
"patA",-4.79153194116666,4.68313002070416e-05,4.68313002070416e-05,-4.07090274157082
"appC",-3.47143154433333,4.68313002070416e-05,4.68313002070416e-05,-4.07090274157082
"mcbR",-3.32657876166666,4.68313002070416e-05,4.68313002070416e-05,-4.07090274157082
"ybgA",-4.566726518,4.98042751859137e-05,4.98042751859137e-05,-4.05654357003618
"gadW",-2.99892757333333,5.88621465632863e-05,5.88621465632863e-05,-4.01732648708839
"mscS",-2.725292462,5.88621465632863e-05,5.88621465632863e-05,-4.01732648708839
"yhiD",-5.22223667766666,8.51148295785155e-05,8.51148295785155e-05,-3.92952216934985
"dgcM",-3.8606860625,8.53709633266666e-05,8.53709633266666e-05,-3.92879954606337
"appB",-2.89006605133333,0.000104238377773354,0.000104238377773354,-3.88050832261002
"ndh",-2.18040451533333,0.000129089822593277,0.000129089822593277,-3.82818860242105
"yciE",-4.127593253,0.000139271414564196,0.000139271414564196,-3.80945861595155
"ptrB",-2.04432144033333,0.000147590375392983,0.000147590375392983,-3.79508921361209
"dppB",2.2335014095,0.00016330391036077,0.00016330391036077,3.76991384605158
"yhjD",-2.12323651533333,0.000176439346026636,0.000176439346026636,-3.75056103962313
"glaH",-3.24941855866667,0.000178805173059333,0.000178805173059333,-3.74722011387646
"grxB",-2.69483991833333,0.000206201222650015,0.000206201222650015,-3.71129549415526
"yjjU",-2.14413204366667,0.000208688115609669,0.000208688115609669,-3.70826025192911
"gadE",-6.90654513466666,0.000256013165411408,0.000256013165411408,-3.65616844249932
"nrdF",-6.7057216335,0.000256013165411408,0.000256013165411408,-3.65616844249932
"yciF",-5.19250169883333,0.000256013165411408,0.000256013165411408,-3.65616844249932
"csgD",-4.78778500916667,0.000256013165411408,0.000256013165411408,-3.65616844249932
"yehE",-3.58043685483333,0.000256013165411408,0.000256013165411408,-3.65616844249932
"lhgD",-3.367422976,0.000256013165411408,0.000256013165411408,-3.65616844249932
"ybiO",-2.946559952,0.000256013165411408,0.000256013165411408,-3.65616844249932
"yfdC",-2.77565047433333,0.000256013165411408,0.000256013165411408,-3.65616844249932
"ptsG",2.29468905633333,0.000256013165411408,0.000256013165411408,3.65616844249932
"yfcF",-2.1178614675,0.000256013165411408,0.000256013165411408,-3.65616844249932
"nuoC",1.91381277983333,0.000256013165411408,0.000256013165411408,3.65616844249932
"btuD",-1.90011345166667,0.000256013165411408,0.000256013165411408,-3.65616844249932
"tehB",-1.82863841083333,0.000256013165411408,0.000256013165411408,-3.65616844249932
"csgG",-3.53154671483333,0.000258965501678621,0.000258965501678621,-3.65322660196019
