"","42C_A3_R1_44C","42C_A3_R2_44C","A3_F181_R1_44C","A3_F181_R2_44C","A3_F228_R1_44C","A3_F228_R2_44C","A4_F244_R1_44C","A4_F244_R2_44C","A8_F232_R1_44C","A8_F232_R2_44C","A9_F200_R1_44C","A9_F200_R2_44C","A9_F255_R1_44C","A9_F255_R2_44C","A10_F210_R1_44C","A10_F210_R2_44C","A16_F258_R1_44C","A16_F258_R2_44C"
"aaaE",5.45578035956525,5.69339110557995,5.41165779364327,4.85132445508372,5.4597041410963,5.39966653551227,5.06020391452955,5.20790199610851,5.05574245936271,5.34197158598091,5.01047091483819,5.03797394069999,5.56619976161842,5.16813610170634,6.00121408630453,5.88655072674052,5.51358890898564,5.53295019018875
"aaeA",6.06111744087491,6.12100480059887,6.18097429482343,6.32291601364622,6.25458032802604,6.21122414581437,6.1363355480815,6.06959113818515,6.68384782546913,6.76674637121149,6.1754449206763,6.37221440772194,6.31294810149508,6.35342454272817,6.53225373008878,6.33335668265839,6.27353875488763,6.19482554302892
"aaeB",6.63135386863079,6.52695057804511,6.31959892908442,7.08156532558521,6.60981458040654,6.57901920580545,6.46041926132496,6.31357402274108,7.09992684287979,7.14424210779966,6.89038749505956,6.52364138390094,6.7480291228477,6.7769275238646,7.19355482670485,6.94085694616246,7.21536106650129,6.85015199798292
"aaeR",8.63474906313773,8.51364141943805,8.23889357124663,8.40956459264318,8.40653102963397,8.5329779818613,8.63938420985734,8.66390537943273,8.85080420929192,8.77718341271236,8.58095973782408,8.69234994047051,8.66174993622576,8.57088441912139,8.21572407698144,8.4124816154101,8.37054763817626,8.50570623558316
"aas",8.60490630663188,8.31800920332238,8.99117317402573,9.13674052401589,9.02771200478566,8.9686922612217,8.75113082586539,9.01719907811262,8.63983495213652,8.81995047837597,9.02131974017201,8.63912145200513,8.76762182746644,8.68150168351925,8.89367491182777,8.65516856624606,9.14536193672813,9.16506372740588
"aat",8.82794070001714,8.92458605421,8.33764472916145,8.46642086930943,8.33929065564569,8.46233629135642,8.57541659977113,8.63613142837134,8.90693504379129,8.85083077549059,8.75136545058375,8.63096471461982,8.76486041992946,8.59881378307331,8.24907412587207,8.498005036374,8.49707462404042,8.57346712341008
"abgA",5.20561537697303,5.17915661779621,5.11323293671253,4.85132445508372,4.57225145727952,4.89436664958168,4.59791508392283,4.85488354790034,5.00171303567724,5.13265064223492,5.05236159536147,5.11207937436202,4.6679124836277,4.76228807612411,5.62830789136573,5.76312252034797,5.0685953592083,5.04512307945902
"abgB",6.02006643679374,5.90660472308066,6.18097429482343,5.44143468930269,5.42694554422469,4.79022502341676,5.60909911181868,5.56422357216932,5.5600283179113,5.61564283280718,5.57274324831117,5.45125604904981,5.42205630904229,5.44483414273221,5.55417227779086,6.20014024006748,5.51358890898564,5.5634245988926
"abgR",6.36748316943999,6.51555845555859,6.31959892908442,6.44351561802543,6.3887366730508,5.72962051416458,6.11880753416277,6.19703863775363,6.3102829789419,6.14994527736452,6.24073728897168,6.34528229277,6.21671974622735,6.2008260230076,6.33530399715993,6.37503704255909,6.34142518293791,6.36950772766215
"abgT",6.06111744087491,6.04254556310437,5.85210629922827,5.87987950749974,5.87010800849478,5.5478118615687,5.6600581861599,5.20790199610851,5.87787789057512,5.87864613542799,5.79092631115258,5.7378925683262,5.61950392856642,5.78536793479969,5.82799152047984,5.55262700538036,5.6318028173896,5.85793035919019
