"","Read_count_A.1","Read_count_A.2","Read_count_A.3","Read_count_WT.1","Read_count_WT.2","Read_count_WT.3","Read_count_B.1","Read_count_B.2","Read_count_B.3","Read_count_C.1","Read_count_C.2","Read_count_C.3"
"aaeA",9.86246369851643,9.69732504382631,10.1678184010813,9.54555570821577,9.73796527935777,9.47918788636682,9.79116306148829,9.86251125952336,9.90852585400945,9.83152946956854,9.9068300590004,10.1720935635094
"aaeB",9.00449639716753,9.25204651002798,9.26161631933787,9.0579850501392,8.90454586281574,9.2259934850694,9.01505601954934,9.07325898392251,9.32813632688686,9.27412923164126,9.42043380296742,9.58424512837059
"aaeR",10.4913675322957,10.5098703275367,10.2336830185206,10.1386448196346,10.4759294916323,10.2842166295767,10.3780711486722,10.3115835026797,10.2897071706802,10.4811811974959,10.2409711759437,10.6605645197618
"aaeX",8.03856556809533,7.88094555236845,7.82022657847935,7.82248374356368,8.06128285718035,7.96871771799797,7.75662520784225,7.77184027811163,7.50900289072134,7.85577989205672,7.60973877919841,7.9625988200429
"aat",10.3497813162765,10.6973273057383,9.80020147685195,10.0442014175863,10.2934512500044,10.4764704714768,10.2673689517648,10.2217246354176,9.93472801178546,9.91039333384911,9.8915646567507,10.3060842522928
"abrB",9.49634858957432,9.56538338393951,9.15476684216303,9.52821357330008,9.31120308713105,9.37531567193146,9.4136889359451,9.50999874310289,9.37536565296684,9.39282101427017,9.35833355889053,9.50039953121533
"accA",11.977275397164,12.0706856995237,12.3330477111589,12.1719630015449,11.9416948731214,11.9148494768382,12.1375406069412,12.3101255748698,12.2778145556854,12.2866654935951,12.2257289248141,12.1181173223818
"accB",11.7223521815,11.3039418749194,11.4501069055267,11.9784000185766,12.0265908128615,11.9243060776795,12.0562146685323,11.5925374752047,11.2810640483289,11.7191814481756,11.7189156736678,11.7335873959817
"accC",13.1798884454106,12.5436205852954,12.4504163219813,13.2628216454085,13.1999736488519,12.9423116099903,13.6716209798563,13.3048096267486,12.7084931275276,12.5187821614076,12.6401761595995,12.8445116916548
"accD",12.5309699334158,12.8301183656106,12.5601360942789,12.8765845815364,12.5455800657978,12.7345565400865,12.94863598401,12.3967739896977,12.9016158239236,12.9251422925638,12.9367371794893,12.7253489750403
"aceA",17.2037847582312,17.0921813706309,17.249114234307,15.9774139873432,15.8424525530785,15.9296532346368,16.6930120070746,17.2090116176504,16.831400282964,15.7145431428198,15.4001813959643,15.0686252136562
