"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"csgF",-1.92794568371428,-1.92794568371429,-20.4072340160995,8.47552308056105e-22,1.98995803901465e-18,39.5701840016215
"katE",-1.93909072942857,-1.93909072942857,-20.3309516465574,9.63426792067126e-22,1.98995803901465e-18,39.4451358773924
"adhP",-1.74540619852941,-1.74540619852941,-19.9643503789308,3.95635088023012e-21,5.03026758144688e-18,38.0626558776205
"rhaD",3.04467942,3.04467942,19.3866437321466,4.87075050249032e-21,5.03026758144688e-18,37.860537672091
"galS",1.99028018454546,1.99028018454545,20.1725928227719,6.30706758145386e-21,5.21089923579718e-18,37.6027445711877
"sra",-2.07777796285714,-2.07777796285714,-18.9276621083663,1.09638337638441e-20,7.54859954640667e-18,37.0650109056054
"csgA",-3.47955419705882,-3.47955419705882,-19.094954755744,1.73040656040535e-20,1.02118707157636e-17,36.6203528952226
"csgD",-2.10202785885714,-2.10202785885714,-18.2219225386109,3.94104608225783e-20,2.03505767072589e-17,35.8078229775517
"csgG",-1.66332198058824,-1.66332198058824,-17.9919025512964,1.22105405615865e-19,5.60463811776819e-17,34.7030182866865
"mglA",3.83497530571429,3.83497530571429,17.2579609288499,2.41633113180104e-19,9.9818639054701e-17,34.0206823893982
"deoB",-1.15920942028571,-1.15920942028571,-16.9063359929904,4.77608895868024e-19,1.7936384989371e-16,33.3476934514638
"ydcL",-1.58831575914286,-1.58831575914286,-16.6970129965133,7.20295081052021e-19,2.47961581652158e-16,32.9415120734284
"mglB",3.77555790322581,3.77555790322581,18.0484611833559,9.88902030790343e-19,3.14242637630377e-16,32.6673941338974
"poxB",-2.017575678,-2.017575678,-16.4201476495177,1.24793705204454e-18,3.68230568713999e-16,32.3977788122132
"preA",1.52643095676471,1.52643095676471,16.4006054483743,2.44068815337912e-18,6.72165517440611e-16,31.7493781960006
"osmC",-2.06630817647059,-2.06630817647059,-16.187408953363,3.70834764252362e-18,9.57449006954067e-16,31.3356142348543
"btuE",-1.57530817314286,-1.57530817314286,-15.7294424622058,5.07316763004443e-18,1.2327797341008e-15,31.0081880795598
"lrhA",0.997576675294118,0.997576675294118,15.9396021264546,6.06251033534534e-18,1.39134612196176e-15,30.8490542313984
"rnd",0.633609010882353,0.633609010882353,15.8200375662567,7.70110101168928e-18,1.6743814883836e-15,30.6121004639156
"deoD",-0.822164246857143,-0.822164246857143,-15.4772788811334,8.5633883625757e-18,1.76876786629001e-15,30.4887521035033
"hslO",-0.821532341428572,-0.821532341428571,-15.3714218731717,1.06883501139489e-17,2.10255115812967e-15,30.2687160564727
"hchA",-2.12451086529412,-2.12451086529412,-15.5834418603979,1.24139150785523e-17,2.32279540467234e-15,30.1389462996631
"insH6",0.913123698685714,0.913123698685714,15.2808282389996,1.29325331172752e-17,2.32279540467234e-15,30.0794676169227
"ycaC",-2.91971009714286,-2.91971009714286,-15.0725279148563,2.0108208245007e-17,3.46112534417183e-15,29.6410166001925
"dps",-2.59563903357143,-2.59563903357143,-14.906002063986,2.87084895372e-17,4.74379081112692e-15,29.2871376949517
"elaB",-1.91387103942857,-1.91387103942857,-14.7850543647045,3.72483377581837e-17,5.91818781842527e-15,29.0282236485161
"ggt",-2.45967731117647,-2.45967731117647,-14.9063637128007,5.01816059458859e-17,7.67778570972054e-15,28.7528002769243
"insH4",0.913976470285714,0.913976470285714,14.5837824841522,5.76490860047977e-17,8.5052990816364e-15,28.5937916254491
"luxS",-1.08324758352941,-1.08324758352941,-14.788268481622,6.43300735038445e-17,9.16370805670281e-15,28.5060405466428
"csgE",-1.16090550882353,-1.16090550882353,-14.6220199924299,9.14806364020598e-17,1.25968836325636e-14,28.156097400969
"ybaY",-1.77167381606061,-1.77167381606061,-14.8267918311247,1.04446250566977e-16,1.33888661917782e-14,28.045470235499
"dosC",-1.56300212828571,-1.56300212828571,-14.3278647065334,1.0108406784323e-16,1.33888661917782e-14,28.0348927589048
"insH8",0.897530338285714,0.897530338285714,14.3023120898372,1.06955358104255e-16,1.33888661917782e-14,27.9786835762422
"insH2",0.897174453828571,0.897174453828571,14.167993017715,1.44078616007992e-16,1.7505551844971e-14,27.6819967573121
"insH3",0.88853257,0.88853257,14.0963371001394,1.69036232446377e-16,1.99511050353138e-14,27.5228794115611
"mscS",-1.93791211194286,-1.93791211194286,-13.8984847257779,2.63527246312057e-16,3.02397515143086e-14,27.0804647273104
"yciG",-1.62427949257143,-1.62427949257143,-13.8434846453419,2.98379671521661e-16,3.33136871096211e-14,26.9566741871531
"insH1",0.936020940857143,0.936020940857143,13.7894651437751,3.37205149824259e-16,3.66577493137898e-14,26.8347473335592
