"Gene","logFC","adj.P.Val"
"katE",-1.93909072942857,1.98995803901465e-18
"csgF",-1.92794568371428,1.98995803901465e-18
"rhaD",3.04467942,5.03026758144688e-18
"adhP",-1.74540619852941,5.03026758144688e-18
"galS",1.99028018454546,5.21089923579718e-18
"sra",-2.07777796285714,7.54859954640667e-18
"csgA",-3.47955419705882,1.02118707157636e-17
"csgD",-2.10202785885714,2.03505767072589e-17
"csgG",-1.66332198058824,5.60463811776819e-17
"mglA",3.83497530571429,9.9818639054701e-17
"deoB",-1.15920942028571,1.7936384989371e-16
"ydcL",-1.58831575914286,2.47961581652158e-16
"mglB",3.77555790322581,3.14242637630377e-16
"poxB",-2.017575678,3.68230568713999e-16
"preA",1.52643095676471,6.72165517440611e-16
"osmC",-2.06630817647059,9.57449006954067e-16
"btuE",-1.57530817314286,1.2327797341008e-15
"hchA",-2.12451086529412,2.32279540467234e-15
"ycaC",-2.91971009714286,3.46112534417183e-15
"dps",-2.59563903357143,4.74379081112692e-15
"elaB",-1.91387103942857,5.91818781842527e-15
"ggt",-2.45967731117647,7.67778570972054e-15
"luxS",-1.08324758352941,9.16370805670281e-15
"csgE",-1.16090550882353,1.25968836325636e-14
"ybaY",-1.77167381606061,1.33888661917782e-14
"dosC",-1.56300212828571,1.33888661917782e-14
"mscS",-1.93791211194286,3.02397515143086e-14
"yciG",-1.62427949257143,3.33136871096211e-14
"fliC",-3.130133425,6.04202369846506e-14
"ptsG",-1.61663512225806,6.81698312454652e-14
"focA",-1.06348173142857,8.21378272146358e-14
"ybgS",-1.68067916285714,8.30223978628087e-14
"osmY",-2.45856456857143,1.17184304370884e-13
"yciF",-2.38195450545455,1.88425208376733e-13
"grxB",-1.36259376257143,2.28992564992048e-13
"ygiW",-1.09818892451429,2.55249860329055e-13
"yeaQ",-1.03107817742857,2.55249860329055e-13
"kbp",-2.21118113228571,2.97357517847864e-13
"talA",-1.71600937457143,3.17653913584023e-13
"dosP",-1.05369302029412,6.88391993704763e-13
"insH11",1.0057929903125,6.88391993704763e-13
"adhE",-1.20450511969697,1.12859094370953e-12
"tktB",-1.98859975617647,1.32836845016524e-12
"yodC",-1.115435492,1.81945369688616e-12
"lamB",3.57112027424242,1.97940548289431e-12
"mglC",2.9925571856,2.05648046046022e-12
"btuD",-1.19645171929412,3.5666197077835e-12
"eno",-1.14681610714286,3.58114080698128e-12
"ybgA",-1.02472356205882,6.4835471633311e-12
"treA",-1.63155187371429,6.56881566525869e-12
"yebV",-1.54071929028571,1.09000910961053e-11
"wrbA",-1.93991758628571,1.48279268608099e-11
"cfa",-1.26516390371429,1.48279268608099e-11
"yegP",-2.11723864828571,1.59582110432983e-11
"fbaB",-1.83995293771429,1.88142354234606e-11
"dnaK",-1.13352614945714,1.99509154847091e-11
"otsA",-2.02572728717143,2.03954762512742e-11
"msyB",-1.96238592057143,2.8025233315023e-11
"yiaG",-1.83223207668571,3.30390620299221e-11
"yceK",-1.74552275533333,3.30390620299221e-11
"nlpA",-1.09322445471429,3.66317344164674e-11
"ybiU",-1.39792900457143,4.46613813259075e-11
"mcbR",-1.19534174657143,5.68210390250147e-11
"b1005",-1.52026873342857,6.15155191312327e-11
"osmF",-1.590801212,7.43506631296229e-11
"ucpA",1.50546416505714,8.210931631739e-11
"yccJ",-1.33584949064516,1.26373194503045e-10
"otsB",-2.00657522131429,1.38967419793946e-10
"ydcV",-2.21739030160606,1.42531197599698e-10
"yoaC",-1.59211703818182,1.49078906892302e-10
"csgB",-2.24437057542857,1.68670469160438e-10
"malG",2.64099808882353,1.79460785672603e-10
"pgl",-1.121594898,1.79460785672603e-10
"groS",-1.08340216725714,1.95716457513528e-10
"yhcO",-1.14344543727273,2.78172220584296e-10
"dkgA",-1.41088770725714,2.79073530805866e-10
"ybcW",1.33489634314286,2.98597305019645e-10
"ppa",-1.09459314424242,3.1154250111062e-10
"malK",3.2706301230303,3.93015070789276e-10
"curA",-1.11075917628571,4.06622265496157e-10
"tap",-2.261093499375,4.11958679122916e-10
"nmpC",2.129923629,4.22476559833236e-10
"nadA",-1.06956291823529,4.97410904591687e-10
"b1417",-1.14911319914286,5.56712118598935e-10
"ydiZ",-1.13070496,5.83149216850826e-10
"dgcM",-1.36843245414286,6.58904495937205e-10
"hdeA",-2.715960042,7.2654981489326e-10
"cheW",-2.06703042141935,9.10879383367897e-10
"dppD",1.245789854,1.18021778359859e-09
"manX",-1.25136059651515,1.19520217159599e-09
"narY",-1.67832387971429,1.45879336290279e-09
"manY",-1.26926833952941,1.59044936093407e-09
"ybhP",-1.31921578142857,2.42798869122837e-09
"gadW",-1.66005563586207,2.44454510713899e-09
"b2090",1.05313728485714,2.64959461745603e-09
"yqjE",-1.56025568124242,3.06360757423716e-09
"yqjD",-1.55657679502941,3.34267662682428e-09
"rmf",-1.6780466040625,5.90264371889335e-09
"malM",2.77210830582857,7.20136476793478e-09
"hdeB",-2.83351747058823,8.4108925568834e-09
"dppC",1.06321059494286,9.04286119711959e-09
"patD",-2.43184203290909,9.26900323333948e-09
"yjdN",-1.57506867790625,9.70390840777268e-09
"malF",3.11869370636364,1.03181012670932e-08
"soxS",1.06427460182857,1.4130070389456e-08
"cheA",-1.47517687942857,1.44310675429613e-08
"glpQ",1.75829315085714,1.61193501978892e-08
"qorA",-1.067096609375,1.752076908027e-08
"ahr",-1.13366182238235,2.56239471214106e-08
"yqjK",-1.25341541588235,4.04293024146956e-08
"glpT",2.13163113114286,5.03219399220862e-08
"aroM",-1.16174982735294,7.43288837198728e-08
"narW",-1.48852755757576,8.97673329042669e-08
"proP",-1.27137307771429,9.84376307176646e-08
"groL",-1.0763544921875,1.08014226918943e-07
"bolA",-1.10642240441176,1.12609472849241e-07
"sodC",-1.16070047885714,1.34945668699211e-07
"yfaP",-1.09312941942857,1.49456512874116e-07
"ybdK",-1.21158592751429,1.58210994469519e-07
"hdeD",-1.65060108393939,1.71308760762399e-07
"gadX",-2.04313230464286,2.25515500179621e-07
"tsr",-1.26236276323529,2.48421122435816e-07
"yqjC",-1.37149812217143,2.69890916431533e-07
"b2999",-1.06569482032353,2.7860519494068e-07
"lpxP",1.03054268222857,3.02143170495847e-07
"cydA",-1.284986661625,3.09478693446836e-07
"yodD",-1.03545216909091,3.82388293010973e-07
"glcC",1.29249662228571,3.86153442689944e-07
"cheB",-1.39694100030303,5.26936502895875e-07
"mhpR",1.2649178568125,5.67695769413615e-07
"yedP",-1.05907192485714,6.56840439346646e-07
"cheR",-1.39425756151515,7.46417623709085e-07
"motB",-1.30885133818182,8.45502739839548e-07
"rpsT",-1.04129969544118,8.75349882898988e-07
"amyA",-1.18214222753846,9.62989591530816e-07
"nanM",-1.12050398464286,9.62989591530816e-07
"gadC",-1.35604334352941,1.00903052305201e-06
"sbp",-1.07168236251429,1.03639098561661e-06
"glpB",1.45757442557143,1.28258148055079e-06
"ycgB",-1.50449686311429,1.80812138724218e-06
"ytfQ",-1.50209506875,2.04911902884473e-06
"fumA",1.30158521833333,2.46530037035661e-06
"sdhB",1.17679467963636,2.50998615588677e-06
"metK",-1.10104793879412,2.5954070081304e-06
"glpA",1.46480214154286,3.16003676336594e-06
"yehX",-1.07092859076923,3.60539496397596e-06
"hiuH",-1.187739268125,4.0122350338291e-06
"sdhA",1.14436678308571,4.20712258801327e-06
"yqgD",-1.1687063703,4.52487744186592e-06
"gadB",-1.41782610114286,5.52509355239134e-06
"ydcU",-1.28455231882857,5.59680548478449e-06
"malS",1.216931684,5.72686863400972e-06
"slp",-1.31104942533333,5.79730385540783e-06
"aldB",-1.47125528502857,6.06136845481163e-06
"gadE",-2.0433390775,8.25216310452745e-06
"glpC",1.36294548948485,9.76502951749555e-06
"narV",-1.16208238439286,1.17886666262818e-05
"b4228",-1.4330560848,1.7227408728222e-05
"gadA",-1.21878626657143,1.98389510900054e-05
"narU",-2.07832215166667,2.13887289409127e-05
"sdhC",1.03764552057143,2.30679448051796e-05
"sdhD",1.15351760223529,2.80256093643491e-05
"ilvC",-1.15245793857576,3.44370986340192e-05
"ftnB",1.09202042590625,4.32263639763151e-05
"fliH",1.067752574375,4.74754578540769e-05
"gudP",1.07197639176471,6.22508577707021e-05
"asnA",-1.16091272030303,7.87933408463473e-05
"rutA",1.89929527944445,8.83791256194773e-05
"hcaR",1.01715641436364,0.000230658338353547
"asnB",-1.07456806457143,0.000238981832606786
"fliI",1.023578497,0.000296021169010434
"bssR",-1.03068633333333,0.000332020043755225
"amtB",1.30433517906061,0.000384503401831272
"fliE",1.0287833962,0.000433966369303677
"ydcT",-1.09387561005882,0.000844686058034458
"flhB",1.31993833210526,0.00174731307133302
"acs",1.53679995568182,0.00421035043709517
"yncE",-1.50302212954286,0.00457930733470876
"mtfA",1.024727195,0.00539136487311264
"yjcH",1.4645924383871,0.00694869374982422
"actP",1.18773973605714,0.00971713877113084
