"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","P","SignedZ"
"glnK",4.72621214666667,12.5787618233333,36.5596621180001,9.48204619490794e-10,2.56784993347364e-06,12.278056070405,2.56784993347364e-06,4.70266703391831
"kbl",5.983421724,10.925730848,35.3486887730917,1.2201710303985e-09,2.56784993347364e-06,12.118958504593,2.56784993347364e-06,4.70266703391831
"tdh",6.295742789,12.5210117221667,32.0746361819884,2.52467407433662e-09,3.31663353156674e-06,11.6341296875729,3.31663353156674e-06,4.6501688680474
"nac",4.324724822,11.1952778323333,31.1364546217047,3.15194443484603e-09,3.31663353156674e-06,11.4785975323414,3.31663353156674e-06,4.6501688680474
"amtB",4.36793759266667,11.3515729803333,28.6737285880654,5.83257916932547e-09,4.90986514473818e-06,11.0293263292687,4.90986514473818e-06,4.56860268291995
"livJ",-2.90430942,13.12245986,-20.3684234647402,7.42380583843866e-08,5.20779979566472e-05,8.92108997595081,5.20779979566472e-05,-4.04609997825688
"yaaX",2.991250365,10.8432092841667,18.6944156098958,1.39974149346435e-07,8.23321670123439e-05,8.34174135553926,8.23321670123439e-05,3.93750806086359
"alaC",3.86377682333333,11.9190354616667,18.4140944334054,1.56487844166964e-07,8.23321670123439e-05,8.23799751038517,8.23321670123439e-05,3.93750806086359
"yeaQ",-2.16831873666667,11.508707295,-17.1200963294517,2.67696480217605e-07,0.000125192720581766,7.73132552962679,0.000125192720581766,-3.83572835797302
"gltD",-2.29039956333334,12.074816895,-16.4794605595005,3.54314018396093e-07,0.000149130770342916,7.46227351136178,0.000149130770342916,-3.79251245156129
"rutA",2.798223171,8.2179026805,15.7660133063806,4.90217826402712e-07,0.000187575166484456,7.14709296218386,0.000187575166484456,3.73518778350434
"fliT",-1.96796705466667,10.695648996,-15.5464827460439,5.43243800042627e-07,0.000190542762864951,7.04662369805845,0.000190542762864951,-3.73123580974567
"cheY",-2.27972165666667,12.4366369083333,-14.970190977578,7.16118972472939e-07,0.000229025092172002,6.77462846206968,0.000229025092172002,-3.68464113690883
"ygaM",-2.78815708,11.9880437733333,-14.8185978576034,7.71386577264209e-07,0.000229025092172002,6.70102313254085,0.000229025092172002,-3.68464113690883
"astC",2.75200553966667,8.7218768375,14.7044226457675,8.1619776255168e-07,0.000229025092172002,6.64500186726602,0.000229025092172002,3.68464113690883
"gcvT",4.04682323266667,11.6997966036667,14.5467082999352,8.83011446566101e-07,0.000232287198662295,6.56677880239344,0.000232287198662295,3.68103710061192
