"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"livJ",-2.90430942,13.12245986,-20.3684234647402,7.42380583843866e-08,5.20779979566472e-05,8.92108997595081
"yeaQ",-2.16831873666667,11.508707295,-17.1200963294517,2.67696480217605e-07,0.000125192720581766,7.73132552962679
"gltD",-2.29039956333334,12.074816895,-16.4794605595005,3.54314018396093e-07,0.000149130770342916,7.46227351136178
"fliT",-1.96796705466667,10.695648996,-15.5464827460439,5.43243800042627e-07,0.000190542762864951,7.04662369805845
"cheY",-2.27972165666667,12.4366369083333,-14.970190977578,7.16118972472939e-07,0.000229025092172002,6.77462846206968
"ygaM",-2.78815708,11.9880437733333,-14.8185978576034,7.71386577264209e-07,0.000229025092172002,6.70102313254085
"katE",-2.04276839666667,9.02897091333333,-14.0615826402888,1.13056882672207e-06,0.000233093140602983,6.31988266036784
"tsr",-2.10093454,11.6469275966667,-14.0214876284593,1.15430913970795e-06,0.000233093140602983,6.29904115556609
"fliC",-1.88595093666667,15.056509465,-13.9181716337806,1.21811824718303e-06,0.000233093140602983,6.24502281440354
"fliK",-1.693632459,10.3289616538333,-13.9178024053866,1.21835331272645e-06,0.000233093140602983,6.24482894786363
"fliS",-2.07470967666667,11.997847905,-13.2109739892181,1.77875939135962e-06,0.000311949928259693,5.86267688862568
"rdcA",-1.93932878666667,11.52739765,-13.0790575876427,1.91289001234062e-06,0.00031634370147348,5.78882922231972
"tap",-1.87118339,10.634267415,-13.0405845248614,1.95413072898799e-06,0.00031634370147348,5.7671365755924
"otsB",-2.70486714333334,13.828654915,-12.7054022389411,2.35908865537721e-06,0.000336611477406513,5.57511875752338
"pdeH",-2.320717747,10.9017939131667,-12.702217920895,2.36336494244927e-06,0.000336611477406513,5.57326806268146
"cheR",-2.21231473666667,11.454000245,-12.4593288205594,2.71684816313667e-06,0.00035735043495757,5.43059760915257
"rdcB",-2.35997726766667,10.6076278995,-12.295618939691,2.98868671740812e-06,0.000369981835105023,5.33272927210126
"amyA",-1.536536293,8.88142076516667,-11.8692812189054,3.8525494143811e-06,0.000448605602090776,5.07116707290593
"yebV",-2.35955008633333,10.5363665635,-11.8307633146043,3.94355126570651e-06,0.000448605602090776,5.04704631355417
"groS",-1.66505576333333,12.289748795,-11.6465119016671,4.41374896799181e-06,0.000476345369391732,4.93050849917954
"otsA",-1.736393201,8.88164809183333,-11.4666707781477,4.9344409035611e-06,0.000519226544077216,4.8148827937427
"talA",-2.50603117833334,10.2809568675,-11.2341160220584,5.71335526383543e-06,0.000572559816797222,4.66253998879867
"yhcN",-1.40698177333334,9.51884810666667,-10.8051640754086,7.541745902423e-06,0.00070412228536769,4.37284639276194
"cheB",-2.238986881,11.3385081861667,-10.7745970444042,7.69532552314415e-06,0.00070412228536769,4.35175834797966
"ahr",-1.276000007,8.94344848683333,-10.7409683939093,7.86836741239635e-06,0.000704637413590984,4.3284881774478
"motA",-1.80492394333333,12.5122056583333,-10.5677599037242,8.83197522499627e-06,0.000758648647387945,4.20745855750322
"poxB",-1.953292703,8.96618547316667,-10.2628160735964,1.08690053103467e-05,0.000879762372139408,3.98948215707498
"yfjW",-1.828532016,10.1803312253333,-10.160349224178,1.16682795693975e-05,0.000909477568659146,3.91479608975208
"flgL",-1.51355225666667,12.690067285,-10.0586027576978,1.25279118689609e-05,0.000950246431141181,3.8398993781242
"elaB",-1.518799246,10.161271337,-9.68454907815531,1.63596070157166e-05,0.00113896680709859,3.55806911599837
"tktB",-2.24289499466667,9.85507922933333,-9.66898618616917,1.65454542253311e-05,0.00113896680709859,3.54611686263961
"gltB",-2.12717403333333,12.86075203,-9.64983886720035,1.67773680304377e-05,0.00113896680709859,3.53138645319978
"cheZ",-1.74781478333334,13.2996722116667,-9.58797552468781,1.75519933862414e-05,0.0011726403200427,3.48360185107564
"yncG",-1.33262903933334,8.44359331866667,-9.5203904597212,1.84445296642389e-05,0.00121301602119971,3.43106011677586
"dosC",-1.08936936033334,8.39961906883333,-9.39478862274358,2.02419872148163e-05,0.0012801996739236,3.33246684822768
"punC",-1.31678683266667,8.933925391,-9.38576144315917,2.03785645409554e-05,0.0012801996739236,3.32533282406623
"cheA",-1.61966156,12.3258026033333,-9.32016208427902,2.14027158123166e-05,0.00132476515961824,3.27329550518346
"ybaY",-1.25497736966667,9.45825489916667,-9.29467534789092,2.18161081191775e-05,0.00133078259526983,3.25298483059979
"fliA",-1.31210378,12.5358334233333,-9.17412319471915,2.3896944104419e-05,0.00143688911050714,3.15620188924607
"flhE",-1.94738444666667,11.3914437333333,-9.14990593488544,2.4341313569853e-05,0.00144299420866917,3.13661619775192
"motB",-1.78578533666667,11.9682653083333,-9.05527693216881,2.61688474104864e-05,0.00152978720487135,3.05961958070607
"ymdA",-1.36696284466667,9.43683074966667,-8.85468961117042,3.05747958087745e-05,0.00173904480485313,2.89391634332252
"flgK",-1.51114687333334,12.7248085333333,-8.83488087914463,3.10532674376537e-05,0.00174270936860112,2.87736583045928
"yciF",-1.316421707,7.8193073915,-8.78102324591017,3.23971953352919e-05,0.00179420783113478,2.83219481339765
"ycaC",-2.28747043966667,10.0348539468333,-8.68064135710739,3.50798021107452e-05,0.00185101095048303,2.7473256471337
"flgJ",-1.61321679966667,10.5469492135,-8.67010117546678,3.5375640671737e-05,0.00185101095048303,2.73836269811317
"osmY",-2.11573926233333,11.2478192788333,-8.6652855798402,3.55117335367551e-05,0.00185101095048303,2.73426442375087
"tar",-1.58569704,11.60954959,-8.43459742998042,4.27737285960995e-05,0.00208726277707866,2.53549484680984
"gltF",-1.57476683266667,9.89788045366667,-8.39995976136941,4.4001587407402e-05,0.00210457592497449,2.50523037115917
"ydfZ",-1.231098542,8.96523412,-8.38290968718394,4.46204584964987e-05,0.00211019673945801,2.49029215055956
"proP",-1.22669967,12.8911369583333,-8.34279772365673,4.611524484081e-05,0.00215665628372188,2.45504183738427
"modB",-1.10691697333334,11.1561261166667,-8.27414577609134,4.88055810773408e-05,0.00221424808150937,2.39436089761138
"blc",-1.42164140566667,9.28391215783333,-8.27119884060864,4.89249397910125e-05,0.00221424808150937,2.3917461823839
"yqjE",-1.06362134333333,11.8895801583333,-8.24408419739434,5.00386320047417e-05,0.00222226419326836,2.36764968207928
"ynjH",-1.23151674833334,8.99249956683333,-8.22910362108433,5.06660963149272e-05,0.00222226419326836,2.35430666413391
"flgG",-1.32743376,14.10645366,-8.17966417916689,5.28002552467397e-05,0.00224481085185381,2.31011963064448
"cheW",-1.54792500333334,14.3872691216667,-8.05675779758081,5.85557012719441e-05,0.00236981679474627,2.19925030657627
"yodD",-2.06724750233334,11.1965929321667,-7.98171594679916,6.241362340875e-05,0.00250189467549932,2.1308328618524
"fliZ",-1.84276799666667,12.1276296116667,-7.83008063242697,7.11089197730798e-05,0.0027458481038981,1.99087469828125
"waaC",-1.001905035,10.5262617558333,-7.77682176968891,7.4478271849201e-05,0.00284980951102988,1.94116670830631
"fliF",-1.23088966666667,11.6234941266667,-7.64717606748041,8.3452121901047e-05,0.0030811401849255,1.81894731462662
"trg",-1.069657498,8.82262635466667,-7.63065574216766,8.46800787309479e-05,0.00309929088155269,1.80324802372554
"modC",-1.11557233566667,9.3531677825,-7.54646986596027,9.1259855492704e-05,0.00329802084601184,1.72280087349814
"b1417",-1.33466204333333,11.8853015083333,-7.54136327908348,9.16769871664019e-05,0.00329802084601184,1.71789699565864
"flgE",-1.21093571666667,14.0576536216667,-7.52317357422669,9.31802205395318e-05,0.00332369108687194,1.70040684132413
"yiaG",-1.61571236933334,8.434340895,-7.36996554681598,0.000106993814948118,0.00372179311666636,1.55168370227082
"fliJ",-1.44353669333334,11.18707053,-7.35358387907496,0.000108601490678579,0.00374675142841098,1.53563122949514
"yahK",-1.78718363333333,12.5026016566667,-7.28151229700139,0.000116002360814169,0.00396954420054339,1.46465859249823
"flgI",-1.41049203166667,10.8274424341667,-7.25323906538146,0.000119058118675244,0.00400892497203282,1.4366600512394
"rplY",-1.40633544666667,13.1459697166667,-7.23920775607405,0.000120607905464933,0.00402887836588812,1.42273214306297
"aer",-1.356181397,10.1378063081667,-7.15996772218073,0.000129794200748864,0.00420233685347669,1.34366357120579
"b1416",-1.35928053,11.7178908616667,-7.12630062630056,0.000133931515212047,0.00430318891242372,1.30985578528771
"fliD",-1.80739064333334,11.9725397583333,-7.02991907853959,0.000146612626507267,0.00463488026411261,1.21235974101633
"flgF",-1.18377402,13.6095397033333,-7.02310562947627,0.000147558554381347,0.00463488026411261,1.20542730050696
"rnpA",-1.97490033333333,12.3162503333333,-6.96850572387866,0.000155389445304584,0.00477397208238682,1.14968056667428
"ycgR",-1.87480110666667,11.73985943,-6.92637767840114,0.000161748698871288,0.00482013855363598,1.10643152653634
"osmE",-1.43599519666667,11.8824306983333,-6.9237246586723,0.000162158781264663,0.00482013855363598,1.10370099302687
"yqjK",-1.12525260333333,10.6042602283333,-6.84034318836336,0.000175657207835325,0.00513431380402003,1.01746286028274
"alaA",-1.064379451,8.9132689045,-6.78468465266278,0.000185363461060377,0.00530744767076958,0.959440603432096
"mqo",-1.297343472,10.6764478573333,-6.76459331113712,0.00018901280712103,0.00537537098089471,0.938405456160018
"yhcO",-1.02550179933333,8.50059631866667,-6.75321892461909,0.00019111426727892,0.0053986573891072,0.926475359968423
"pyrI",-1.54948682333333,13.3166991116667,-6.60165119783718,0.000221749815633741,0.00610732099967215,0.766013236119871
"flgN",-1.28559382,12.11453305,-6.60048751700921,0.000222005253730064,0.00610732099967215,0.764770462517877
"carB",-1.07535476,12.8130338933333,-6.55689754768982,0.000231813693366508,0.00624030487402312,0.718098046110191
"oppD",-1.24316158333334,11.223919215,-6.54068118909005,0.000235584958238839,0.00624030487402312,0.700675252773401
"fliH",-1.33851720333334,11.008389135,-6.4988342366852,0.000245636194364768,0.00638199223506981,0.655564742620121
"fliM",-1.83541745666667,13.152549675,-6.48686340803646,0.000248598584788016,0.00641933400842183,0.642620346980678
"msyB",-1.31986095366667,9.38500803816667,-6.45163830547928,0.000257548738786417,0.00660928297106428,0.604426821901754
"ybgA",-1.13984022666667,8.446311099,-6.44569001149747,0.000259095198438015,0.00660928297106428,0.597961960356298
"flgH",-1.37783433,11.3716547083333,-6.41910569067143,0.000266134081485279,0.00674794186127433,0.56901476030501
"fliO",-1.27202795733334,9.101028417,-6.32971273809904,0.000291409373853155,0.00713153184858117,0.471022672002259
"ibpA",-1.264982248,8.97749079966667,-6.08324969440983,0.000376050390083243,0.00831730317221282,0.195544176943138
"oppB",-1.73528288333334,12.4538070183333,-6.00341335786668,0.000409069271919577,0.00887511631705927,0.104607385344406
"dgcP",-1.17457038333333,12.2961092116667,-5.98336069250594,0.000417859762781003,0.00901934226433457,0.0816337865852841
"oppC",-1.80600990666667,13.0475147466667,-5.97423428808489,0.000421929719805089,0.00906072546254908,0.0711602639597579
"hchA",-1.39869790333333,8.965377308,-5.92944523633682,0.000442551513074217,0.00926716078870338,0.0195987058846079
"fliQ",-1.58055729166667,10.0722717641667,-5.8946946730943,0.00045932195321811,0.00945151770234448,-0.0205918058281256
"gdhA",-1.35761758666667,12.4188493566667,-5.86732333201714,0.000473027603010775,0.00957911981253594,-0.0523624514609109
"ves",-1.33876156033334,9.79564977316667,-5.84943075728193,0.000482231701923512,0.00966530111140982,-0.073185561900134
"yhjG",-1.003053197,8.20682848583333,-5.80525062630692,0.00050582001223526,0.0100031795711989,-0.124787688727832
"aroM",-1.15773617,9.70731927833333,-5.72513730057476,0.000551923845283665,0.0104641777693646,-0.219038502502894
"flgM",-1.22525041333333,14.3237394933333,-5.70872658881548,0.000561931289915819,0.0105866650403166,-0.238453773015343
"waaL",-1.28988563833334,9.85468790083333,-5.63326249467315,0.000610609992858674,0.0110628819859543,-0.328212525437332
"gadB",-1.20820084933334,8.64704978166667,-5.62672387922945,0.000615042619318912,0.0110628819859543,-0.336026827739286
"ydbK",-1.09675738666667,11.25126082,-5.5531098401917,0.000667480142477614,0.011609189750778,-0.424413724457266
"ydjX",-1.030198031,8.71409722216667,-5.51046758020476,0.000700104595368945,0.0120275111914608,-0.475959956651186
"fliR",-1.54457364633333,8.2286228865,-5.46513705520409,0.000736730506000895,0.0123990029351287,-0.531036018018604
"wrbA",-1.15491890333333,11.0301573283333,-5.46192665290546,0.00073940359627401,0.0123990029351287,-0.534947602334264
