"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"glnK",4.72621214666667,12.5787618233333,36.5596621180001,9.48204619490794e-10,2.56784993347364e-06,12.278056070405
"kbl",5.983421724,10.925730848,35.3486887730917,1.2201710303985e-09,2.56784993347364e-06,12.118958504593
"tdh",6.295742789,12.5210117221667,32.0746361819884,2.52467407433662e-09,3.31663353156674e-06,11.6341296875729
"nac",4.324724822,11.1952778323333,31.1364546217047,3.15194443484603e-09,3.31663353156674e-06,11.4785975323414
"amtB",4.36793759266667,11.3515729803333,28.6737285880654,5.83257916932547e-09,4.90986514473818e-06,11.0293263292687
"yaaX",2.991250365,10.8432092841667,18.6944156098958,1.39974149346435e-07,8.23321670123439e-05,8.34174135553926
"alaC",3.86377682333333,11.9190354616667,18.4140944334054,1.56487844166964e-07,8.23321670123439e-05,8.23799751038517
"rutA",2.798223171,8.2179026805,15.7660133063806,4.90217826402712e-07,0.000187575166484456,7.14709296218386
"astC",2.75200553966667,8.7218768375,14.7044226457675,8.1619776255168e-07,0.000229025092172002,6.64500186726602
"gcvT",4.04682323266667,11.6997966036667,14.5467082999352,8.83011446566101e-07,0.000232287198662295,6.56677880239344
"yjfN",1.79976364233333,9.22337304883333,14.1961034750077,1.05485313774252e-06,0.000233093140602983,6.38931407252129
"argT",1.85698018733333,10.8710611063333,13.9510091036347,1.19741580058591e-06,0.000233093140602983,6.26224107380068
"gcvH",4.00075809466667,11.8100081426667,13.2135200317296,1.77627708592504e-06,0.000311949928259693,5.86409413467853
"rnk",2.04754451,11.206152375,12.7592938430945,2.28802352370501e-06,0.000336611477406513,5.60636354479197
"ymgD",1.95311412666667,12.1250130333333,12.6757667740536,2.39922649612625e-06,0.000336611477406513,5.55787534832293
"waaH",1.49496900966667,7.5495519725,12.4977007059703,2.65723726700809e-06,0.00035735043495757,5.45333631795014
"tusE",1.843599469,10.2404742188333,12.3746387859102,2.8538254870504e-06,0.000363992468939247,5.38014263749811
"yhdV",1.59152708633333,9.60292416683333,11.9875366695742,3.58760980498471e-06,0.000431435704833732,5.14470726845894
"ybcW",1.326833106,7.95391715166667,11.7060311587005,4.25528342611289e-06,0.000471328630013398,4.968364586521
"argB",1.65784524,11.8494317266667,11.3559698755695,5.28922003871401e-06,0.000542983588852372,4.74276723634231
"gcvP",2.205257495,9.7876638925,10.9074806430758,7.05222312823153e-06,0.000690297840621547,4.44299714666201
"argA",1.717252073,9.2685533565,10.8648444380328,7.25172916358554e-06,0.000693693819307535,4.41384614113842
"rutC",1.26641175833333,7.29370767816667,10.5929623400126,8.68384839773808e-06,0.000758648647387945,4.22519206251933
"zraP",2.238851398,8.91351186066667,10.4305148756521,9.69024200469867e-06,0.000815724571955534,4.11013921269622
"essD",1.26441686033333,7.96495458783333,10.3855686444399,9.99141143287128e-06,0.000824585308254024,4.07799073195656
"chaA",1.20917804833333,10.4237548525,10.2208419252607,1.11887271635982e-05,0.000888553823237449,3.95897721954341
"speB",1.30976296333333,10.207090775,10.0206183152563,1.28669070447649e-05,0.000950246431141181,3.81174841879542
"recX",1.93437666733333,10.2519314963333,10.0204285906004,1.28686259384764e-05,0.000950246431141181,3.81160754909216
"thrC",2.42007171,14.324490075,9.94354241471619,1.35869446039557e-05,0.000985990514449134,3.75430486933435
"astA",1.93196608333333,8.48188599833333,9.84663780053979,1.45573205972211e-05,0.00103850444735091,3.68146617869752
"yhdW",1.76239798033333,8.14833200616667,9.39166967907322,2.02890589253416e-05,0.0012801996739236,3.33000273328951
"azoR",1.51937241466666,10.3299110526667,8.87012471711505,3.02076971596731e-05,0.00173904480485313,2.90678913313064
"ynfN",1.42732465666667,9.65405671833333,8.73784502460136,3.35218305762858e-05,0.00183238162202061,2.79579788922023
"argC",1.82637072,11.4121148266667,8.6614082800546,3.56217360392316e-05,0.00185101095048303,2.73096318008353
"hiuH",1.03299193333333,8.65777606566667,8.6374692313505,3.63094296752369e-05,0.00186373645735454,2.71055113486031
"ftp",1.317444236,10.397275262,8.57896112884395,3.80537061694114e-05,0.00192973553333798,2.66044738419792
"galE",1.30879477633333,10.3840449118333,8.52322930255016,3.98029967264601e-05,0.00199441444311513,2.61243422177385
"ftnB",1.798265615,9.63924628916667,8.50421758079962,4.04202070736899e-05,0.00200151354791954,2.595991078956
"hisJ",1.53769404333333,14.887412635,8.42404432489204,4.31437067250757e-05,0.00208726277707866,2.52628587296629
"dadA",1.52146506,11.71602084,8.29090878753055,4.81328084183398e-05,0.00221424808150937,2.40921853617107
"proY",1.33791451633333,10.0088093685,8.22863189483928,5.06859972805327e-05,0.00222226419326836,2.35388615647079
"argI",1.00597164933333,9.99690556533333,8.21114559915938,5.14299148875772e-05,0.00223163414187436,2.33828350261892
"rlmD",1.466295888,10.414217316,8.17975045974896,5.27964441309685e-05,0.00224481085185381,2.31019694865074
"ddpX",1.434840457,7.49384166816667,8.15199643658121,5.40384144113515e-05,0.00227447686257378,2.28528903064643
"galT",1.25688129766667,9.87928038116667,8.10643103081218,5.61490198407815e-05,0.00231697278931225,2.24423507507441
"rpoD",1.11085995,12.7188992516667,8.0600004036133,5.83951201479083e-05,0.00236981679474627,2.2021942011775
"dtpB",1.23444156733333,9.056688481,7.94973630178388,6.41435077811533e-05,0.00254698136085731,2.10150719598024
"yjeT",1.34079068566667,10.7501428038333,7.87055172208835,6.86624935874455e-05,0.00270093864962204,2.028455022585
"hisQ",1.06809287666667,11.436535075,7.85614200605096,6.95225806055281e-05,0.002709449460821,2.01509353824264
"yjaA",1.16808976933333,8.57585280033333,7.74005440421613,7.69084645069811e-05,0.00291628582981877,1.9066815858715
"ddpA",1.152153897,7.56464451416667,7.72871199811179,7.76759610919161e-05,0.00291909035924888,1.89601520397653
"cysP",1.46750844,13.38618746,7.70579285653839,7.92530925118988e-05,0.00295200235736798,1.87442159441813
"ybaV",1.18690891333333,9.56122579133333,7.46781344921125,9.7927477248351e-05,0.00346367018267487,1.6469586945409
"yobB",1.41692611866667,10.4132749073333,7.18276742190009,0.00012707341765572,0.00417177723333509,1.36648601510358
"yhaK",1.69966300833333,9.49014753116667,7.06600238636566,0.000141714514591941,0.00451876054482938,1.24898443430299
"loiP",1.08096536066667,9.756283593,6.95436071465974,0.000157493013702283,0.00480353691791964,1.13518218587258
"dgcZ",1.460344938,9.60224253233333,6.92076183211592,0.000162618121790522,0.00482013855363598,1.10065062965646
"b2596",1.255100825,8.4949201825,6.8409471626141,0.000175555036167846,0.00513431380402003,1.01809046991013
"sdaA",1.36151229466667,9.81613371266667,6.8294106521754,0.000177518121060833,0.00515292256237963,1.00609504046478
"yedL",1.40133404866667,8.49206615633333,6.69770439993507,0.0002017514569651,0.0056611458824407,0.868025728257221
"yqcC",1.36622253733333,9.02678134466667,6.53657703775068,0.000236550210078721,0.00624030487402312,0.696260618680346
"puuE",1.12250115533333,8.39523805833333,6.53375034621441,0.00023721757658439,0.00624030487402312,0.693218874307915
"cysU",1.32975421666667,12.4888642983333,6.41126716948689,0.000268249939345927,0.00676086224375454,0.560462584849498
"thrA",1.58344242666667,14.9997126866667,6.34029476246939,0.000288282460543786,0.00713153184858117,0.482675473340505
"yncJ",1.12846657333333,7.99753932,6.32765026084338,0.000292023201159874,0.00713153184858117,0.468749836797179
"der",1.19790091,13.8429574116667,6.32653102970159,0.000292356904321309,0.00713153184858117,0.467516225339032
"qmcA",1.088702918,9.555623452,6.29817268167718,0.000300955113377179,0.00728000041496866,0.436206482013667
"yicG",1.12696829066667,7.94022758,6.24147612102134,0.000319000931779448,0.00748848766555099,0.373300525036178
"asnA",1.17705480333333,12.3209797783333,6.23729788752869,0.000320377638180319,0.00748848766555099,0.368648343719692
"argD",1.01980686666666,10.16054201,6.21719647342536,0.000327093879218052,0.0075231592220152,0.346235288957039
"ppsA",1.18203085666667,12.0741710483333,6.15679997033982,0.000348232771222742,0.00792276613014336,0.278578416901168
"fumD",1.09054968433333,9.28845639916667,6.10812458907332,0.000366375493776816,0.00819916955555175,0.223705898151253
"slt",1.33764370633333,10.2417299068333,6.10344653631024,0.000368173686386144,0.00819916955555175,0.218415918595037
"frdB",1.277715176,10.0127008453333,5.95870997024208,0.000428954239835967,0.00909311924314432,0.0533189155114826
"yjbB",1.13899201266667,9.159889586,5.91567144051035,0.000449116080711519,0.00931196839268367,0.00368814376757509
"galP",1.048366221,9.44144190483333,5.89263538598191,0.000460337640527588,0.00945151770234448,-0.0229785594702623
"gadW",1.07653819533333,8.12173668666667,5.78153861060211,0.000519005243210025,0.0101604328775395,-0.152592706551431
"yebE",1.77699894,11.6767765133333,5.75806041471879,0.000532436525605742,0.0103751172975674,-0.180199188854852
"dtpA",1.09524637,9.968266795,5.74779547908123,0.000538429396642971,0.0103780538408277,-0.192292758805727
"dadX",1.67126314266667,10.6048072486667,5.6399755829013,0.000606095826067647,0.0110628819859543,-0.320195884501397
"argG",1.22040265333333,12.0100689866667,5.63102534336201,0.000612122601823468,0.0110628819859543,-0.330885477936487
"bssS",1.16065202,11.10793017,5.58958688936282,0.000640903402840004,0.0114534145601076,-0.380522025929371
"purC",1.64380299666666,11.818532245,5.56447257212259,0.000659072965326776,0.011609189750778,-0.410721366187997
"pck",1.36187187333333,11.8831558666667,5.55793922559774,0.000663892524722665,0.011609189750778,-0.418591995222992
"greA",1.16721196,13.19285694,5.46369481768011,0.000737930039088274,0.0123990029351287,-0.532793073778499
"tcdA",1.07293501833333,10.4321708808333,5.37913906500829,0.000812174525644644,0.0134056571703463,-0.636320562667542
"fimE",1.03833130533333,9.869797894,5.37237995954697,0.000818456247838556,0.0134565716685644,-0.644639997466041
"purH",1.04712842666666,12.7128467333333,5.25913673973415,0.000932088036477991,0.0144233770056466,-0.784994995099049
"aspA",1.04012769666666,12.5694094283333,5.23597019933691,0.00095741696829334,0.01470718255309,-0.813934241079209
"fruB",1.60861110333333,12.8171244983333,4.99101735058657,0.00127702899846483,0.0180976937863248,-1.12467068794329
"fruA",1.58727172366666,10.6784921648333,4.97482768197231,0.00130196063336558,0.0182665076861191,-1.14551532700884
"soxS",1.31538565666667,12.5880570183333,4.78999111244844,0.00162786669723382,0.0210174568363716,-1.38621329110563
"folP",1.12938531,11.001157155,4.780862900984,0.00164613530730946,0.0211237302087364,-1.39822986391405
"alaE",1.63706757333333,11.4544683566667,4.65536167309238,0.00192147244036731,0.0233068515893544,-1.56468063867428
"argE",1.08830203333333,11.0082418866667,4.64697185169398,0.00194160098894655,0.0234833292025173,-1.5758902597514
"ypeC",1.23712142233333,9.19494531583333,4.59843360527558,0.00206267820506279,0.0247345087325051,-1.64094435067206
"ygfF",1.59106753933333,8.918631052,4.57606889538259,0.0021212263011137,0.0251499760602467,-1.67103496208427
"dcrB",1.08192755333333,10.87048364,4.48401664842233,0.00238207588936822,0.0270977227522996,-1.79565550868391
"gpr",1.22198952533333,9.69318722166667,4.47757704944059,0.00240159358035603,0.0272461115356295,-1.80441966007023
"ybgE",1.04713613,11.117069015,4.46210615055755,0.00244920166624813,0.0274167282266979,-1.82549985269554
"ybiJ",1.60698712666667,11.44066257,4.40371745818266,0.0026383817190052,0.028667024278206,-1.90537150543486
"cysJ",1.09524512,15.1668094366667,4.33302138569776,0.00288905653440811,0.0300991063201083,-2.00273845722928
"spy",1.141964527,10.3035693865,4.17331879828852,0.00355624833143832,0.0348107644850684,-2.22532390210798
"ymgG",1.44180896,12.28641355,4.15557248997699,0.00364016558152615,0.0353028961581649,-2.25028074851611
"ldtC",1.174755617,10.4623937081667,4.10582433902413,0.00388708975953058,0.0369317399500321,-2.32047700289111
"fruK",1.76824001,13.208200455,4.04543654805156,0.00421152258943857,0.0390447105263148,-2.40614749776678
"purT",1.08934879,11.350450135,3.93093871081636,0.00491015288411616,0.0425539135176134,-2.56994861253504
