"Gene","logFC","adj.P.Val"
"flu",-6.13192047149029,0
"yeeR",-3.83038629873974,1.32816975909086e-80
"sufB",-1.49875797059737,9.77775766947663e-44
"ybaY",-1.80975027722234,2.4979140092503e-42
"nrdI",-3.32257544297748,1.88338188309605e-39
"yeeS",-2.77974616109146,1.97219736202797e-27
"aceB",-2.53530262481307,1.70887812341954e-24
"csgF",-2.96569620094655,1.83627170082781e-22
"nrdH",-3.35458440773882,3.75544135166163e-18
"yebF",-1.17441143960901,1.44229559137049e-14
"entA",-2.83911696968192,7.66621110699128e-14
"entB",-3.06586889398795,4.06281965449133e-12
"entH",-2.77814512878864,4.10422311598742e-12
"ridA",-2.09191167661986,7.80163314208681e-12
"nrdE",-3.19593552574095,1.13858591639484e-11
"fecA",-1.44972870578577,1.28179413368317e-10
"ybdZ",-3.00843352579514,3.20660852008142e-10
"csgE",-2.4842121509338,1.51541636143213e-09
"ybiX",-3.13431151720482,1.97107941260486e-09
"osmY",-1.68509132432647,1.12934721523287e-08
"pyrI",-3.28128617269248,1.96714156197484e-08
"sufA",-1.59799164339643,4.12466109497759e-08
"entF",-2.44695520505197,4.36158464946679e-08
"entD",-2.79955983453228,5.08511409456754e-08
"ytjA",-1.66023879410717,5.71564261348937e-08
"csgG",-1.85167470651002,8.52600235035133e-08
"aceK",-2.05699353246326,8.99703521308045e-08
"drpB",-1.24698733100574,1.89756117964615e-07
"sufC",-1.3441578662736,2.06758422901727e-07
"thiH",-1.29501121125603,7.64495023387677e-07
"csgD",-1.99046105908366,9.29751788302182e-07
"mscS",-1.2250086602505,1.3530047177411e-06
"yciF",-1.77407782874213,1.77050291205201e-06
"bdm",-2.92246872804511,3.20516841854007e-06
"pyrB",-3.33819650626857,4.14661552204968e-06
"dosC",-1.27652263740618,1.16572898604079e-05
"aceA",-2.22733905295919,2.1702701802275e-05
"cirA",-4.59467914927389,3.65203204136768e-05
"fepA",-3.32357719064045,5.82645086252742e-05
"thiG",-1.21569967253416,9.56144682912193e-05
"entE",-3.69560317535986,0.000133737997100563
"proW",-2.20876437531786,0.000207729129562558
"yidL",-1.11153432741526,0.000218260460724826
"thiS",-1.3819737708427,0.000228148790852
"thiE",-1.54352044323706,0.000241412023771868
"ybgS",-1.55106398362807,0.000257963247300513
"nrdF",-2.91447605643961,0.00026824255842618
"efeO",-3.46503957216913,0.000388102381479694
"bioD",-2.07986537615397,0.000526782425460457
"phoH",-3.26572547297075,0.00061620163087873
"ddpA",-1.18246960672192,0.000728420316962339
"ugpB",-2.27868233964263,0.000832853309740593
"rph",-1.9939513468892,0.00090548619194149
"puuD",-2.08663726683101,0.000983616149473908
"thiC",-1.59446221807985,0.00109323164836793
"efeU",-3.78576432574034,0.00112777428574899
"metB",-1.81008487697019,0.00126986182204625
"thiF",-1.32135833962361,0.0013828566155748
"proV",-2.48647685999496,0.00144241752078664
"shiA",-1.05614054146726,0.00157600839024049
"gabP",-1.20408736123641,0.00158119742834707
"matA",-1.55040399291006,0.00178729184902883
"bioC",-2.33857872482093,0.00206514108135087
"sufD",-1.27981607704985,0.00219334128640047
"fepC",-1.53368148546404,0.0025953400437982
"fiu",-4.4966994162844,0.0026895309059709
"patA",-1.49859151450498,0.00274849572070263
"bioA",-2.21910842438786,0.00319727851536465
"mqo",-2.90392507508771,0.0036396383139314
"gcvH",-1.14989649869054,0.00398714980937775
"gcvP",-1.59612514985093,0.00472457592815396
"fimH",-1.06617458982423,0.0049203368710856
"nfeF",-1.70079115801332,0.00500580768103287
"purM",-2.50911893919328,0.00513379708915672
"ydgC",-1.21834748460382,0.00607513180019373
"yebZ",-1.16038129578309,0.00643900894107031
"ndk",-2.46113760976949,0.00648315216750513
"bioF",-2.36943457420134,0.00770150156656796
"adhP",-1.27184612559067,0.00816690952945157
"entC",-3.82805121516944,0.00884693827736551
"iscA",-1.57388791720375,0.00984935625594921
"ydeA",-1.30294793989703,0.0103329731512759
"ybiI",-1.46568053991087,0.0107823667130511
"metF",-2.46415835217656,0.0112946710190063
"iscR",-2.83304671238108,0.0116751378389155
"sgrT",-1.36036540580906,0.0117747413552626
"astA",-1.15527726180757,0.0126737166689298
"serA",-1.12799181449804,0.0133087153979388
"bioB",-2.4053671187362,0.0139178775984763
"hmp",-1.34850983448019,0.0153374076382211
"iscU",-1.68030768435465,0.016894164172847
"pyrL",-3.06071644501623,0.0169072908489412
"proX",-1.51610737038454,0.0173671724566294
"yncL",-1.05359827807396,0.0222683780518756
"gcvT",-1.8081181722378,0.0238501874402553
"yhiM",-1.49181886695982,0.0255793522626993
"eamA",-1.23063549882902,0.0274094915244532
"fecR",-1.76699218531367,0.0275472938529778
"modF",-1.38138606487127,0.0277843562913652
"ypjF",-1.52838122624158,0.029010026885041
"iscS",-1.90426365869427,0.0296106936374922
"ilvN",-1.18416987973584,0.029616370682031
"bhsA",-2.27175015263351,0.0305261851282211
"rsd",-1.27732685346653,0.0314787106596566
"sufS",-1.17843311937485,0.0383476399890113
"fhuE",-2.09375084341838,0.0396311017581467
"yncE",-2.8105443519335,0.0421055505068465
"dosP",-1.32253328422682,0.0425867687294058
"crl",-1.62087042005293,0.045846768321539
"astC",-1.44502733702426,0.0483707197953019
