"Gene","logFC","adj.P.Val","P","SignedZ"
"flu",-6.13192047149029,0,1e-300,-37.0657878807721
"yeeR",-3.83038629873974,1.32816975909086e-80,1.32816975909086e-80,-19.0131185047289
"cusB",4.65770277455732,5.68566784041408e-52,5.68566784041408e-52,15.1688589228689
"sufB",-1.49875797059737,9.77775766947663e-44,9.77775766947663e-44,-13.8688904576791
"ybaY",-1.80975027722234,2.4979140092503e-42,2.4979140092503e-42,-13.6344722288373
"nrdI",-3.32257544297748,1.88338188309605e-39,1.88338188309605e-39,-13.1423294566978
"sodB",2.73289286363252,3.06998839307158e-36,3.06998839307158e-36,12.5704430001394
"cusF",4.77328413443604,3.00832140594848e-28,3.00832140594848e-28,11.0215504584884
"yeeS",-2.77974616109146,1.97219736202797e-27,1.97219736202797e-27,-10.8510164777286
"aceB",-2.53530262481307,1.70887812341954e-24,1.70887812341954e-24,-10.2144258477648
"csgF",-2.96569620094655,1.83627170082781e-22,1.83627170082781e-22,-9.75046392656688
"cusA",4.40164118955966,4.59973579119688e-20,4.59973579119688e-20,9.17301426160486
"nrdH",-3.35458440773882,3.75544135166163e-18,3.75544135166163e-18,-8.68596391046844
"pyrG",0.637805321724422,2.58746763696461e-15,2.58746763696461e-15,7.90934493792296
"yebF",-1.17441143960901,1.44229559137049e-14,1.44229559137049e-14,-7.69255135491777
"entA",-2.83911696968192,7.66621110699128e-14,7.66621110699128e-14,-7.47592596230903
"entB",-3.06586889398795,4.06281965449133e-12,4.06281965449133e-12,-6.93497884115399
"entH",-2.77814512878864,4.10422311598742e-12,4.10422311598742e-12,-6.93354533108112
"ridA",-2.09191167661986,7.80163314208681e-12,7.80163314208681e-12,-6.84214450127196
"nrdE",-3.19593552574095,1.13858591639484e-11,1.13858591639484e-11,-6.78779713813742
"fecA",-1.44972870578577,1.28179413368317e-10,1.28179413368317e-10,-6.42931599897763
"ybdZ",-3.00843352579514,3.20660852008142e-10,3.20660852008142e-10,-6.28844537797579
"csgE",-2.4842121509338,1.51541636143213e-09,1.51541636143213e-09,-6.0427156070612
"ybiX",-3.13431151720482,1.97107941260486e-09,1.97107941260486e-09,-6.00017256444387
"grcA",6.06265488596009,3.35884948146167e-09,3.35884948146167e-09,5.91302315038854
"osmY",-1.68509132432647,1.12934721523287e-08,1.12934721523287e-08,-5.71006245584665
"pyrI",-3.28128617269248,1.96714156197484e-08,1.96714156197484e-08,-5.61486641631746
"ompW",4.85455556727182,4.12466109497759e-08,4.12466109497759e-08,5.48542946650022
"sufA",-1.59799164339643,4.12466109497759e-08,4.12466109497759e-08,-5.48542946650022
"ahpF",0.649170966545376,4.12466109497759e-08,4.12466109497759e-08,5.48542946650022
"entF",-2.44695520505197,4.36158464946679e-08,4.36158464946679e-08,-5.47554850534901
"entD",-2.79955983453228,5.08511409456754e-08,5.08511409456754e-08,-5.44830836281443
"nirB",8.74251080116159,5.38645352966811e-08,5.38645352966811e-08,5.43805769020628
"ytjA",-1.66023879410717,5.71564261348937e-08,5.71564261348937e-08,-5.42747638548689
"csgG",-1.85167470651002,8.52600235035133e-08,8.52600235035133e-08,-5.35562744833758
"aceK",-2.05699353246326,8.99703521308045e-08,8.99703521308045e-08,-5.34589702192688
"drpB",-1.24698733100574,1.89756117964615e-07,1.89756117964615e-07,-5.20910264813673
"sufC",-1.3441578662736,2.06758422901727e-07,2.06758422901727e-07,-5.19315633420232
"yfiF",0.691127769136653,2.9211522316853e-07,2.9211522316853e-07,5.12846433520414
"dmsA",6.65196224520689,3.35328016731022e-07,3.35328016731022e-07,5.10242535921273
"narK",8.49183213472176,3.9730479231574e-07,3.9730479231574e-07,5.07024458037555
"narG",8.00758914792415,5.44064152777251e-07,5.44064152777251e-07,5.01008353172787
"ptsG",1.66979579465378,6.22958322978797e-07,6.22958322978797e-07,4.9839604062397
"thiH",-1.29501121125603,7.64495023387677e-07,7.64495023387677e-07,-4.94421956670315
"csgD",-1.99046105908366,9.29751788302182e-07,9.29751788302182e-07,-4.90595217610145
"nirD",9.00805247455957,1.07751870265524e-06,1.07751870265524e-06,4.87692593519461
"mscS",-1.2250086602505,1.3530047177411e-06,1.3530047177411e-06,-4.8318053993443
"manX",1.99100004091731,1.43273691660016e-06,1.43273691660016e-06,4.82039577953872
"dcuC",7.35184427560199,1.77050291205201e-06,1.77050291205201e-06,4.77799669414065
"yciF",-1.77407782874213,1.77050291205201e-06,1.77050291205201e-06,-4.77799669414065
"ubiU",6.75651244901089,1.84577968507912e-06,1.84577968507912e-06,4.76961541313409
"yibF",-0.752070919124261,2.93948662618654e-06,2.93948662618654e-06,-4.67500346069349
"bdm",-2.92246872804511,3.20516841854007e-06,3.20516841854007e-06,-4.65721424949643
"ycgJ",-0.624388150718203,3.85302609213746e-06,3.85302609213746e-06,-4.61915680208248
"pyrB",-3.33819650626857,4.14661552204968e-06,4.14661552204968e-06,-4.60389501663847
"brnQ",1.33919368591929,5.42047727701978e-06,5.42047727701978e-06,4.54781880233858
"yjjI",6.2417361128002,7.86933546510122e-06,7.86933546510122e-06,4.46870830781352
"ttdR",5.83697179987344,8.42507183516708e-06,8.42507183516708e-06,4.45408755134421
"yjdM",0.789398115785201,8.46426693229079e-06,8.46426693229079e-06,4.45309148212493
"metC",-0.699922443117449,1.01796922639158e-05,1.01796922639158e-05,-4.41332092657299
"mtlA",0.58923542849208,1.08646724316345e-05,1.08646724316345e-05,4.39920786365018
"dosC",-1.27652263740618,1.16572898604079e-05,1.16572898604079e-05,-4.38390075144096
"ubiV",5.9910444077245,1.18075272786617e-05,1.18075272786617e-05,4.38111178154945
"manZ",1.59984005249341,1.1887713993481e-05,1.1887713993481e-05,4.37963704847799
"raiA",4.85357790853407,1.44532287558901e-05,1.44532287558901e-05,4.33686050190837
"manY",1.72748853002572,1.70123480798149e-05,1.70123480798149e-05,4.30087699246396
"fruB",5.16984677018454,1.82603213041554e-05,1.82603213041554e-05,4.28516548658362
"aceA",-2.22733905295919,2.1702701802275e-05,2.1702701802275e-05,-4.24661230689644
"bidA",5.24653680039788,2.89354009590111e-05,2.89354009590111e-05,4.18168709166645
"nikA",5.9429545145893,3.65203204136768e-05,3.65203204136768e-05,4.12845858270663
"cirA",-4.59467914927389,3.65203204136768e-05,3.65203204136768e-05,-4.12845858270663
"narQ",1.07021353596507,3.65203204136768e-05,3.65203204136768e-05,4.12845858270663
"nagE",0.915169598587971,3.86383597299492e-05,3.86383597299492e-05,4.11547457021776
"hypB",5.09467918333693,4.60156439690974e-05,4.60156439690974e-05,4.07499344111045
"yecH",5.65823741486179,4.76817521200265e-05,4.76817521200265e-05,4.06670885628489
"fepA",-3.32357719064045,5.82645086252742e-05,5.82645086252742e-05,-4.01973148700646
"napA",5.30688596181056,6.75574684544538e-05,6.75574684544538e-05,3.9847279858983
"dmsB",6.26166425278842,7.57185428900422e-05,7.57185428900422e-05,3.95756229881236
"bssR",5.47359494433056,7.67130165617142e-05,7.67130165617142e-05,3.95444343794566
"yfcC",5.09200398911327,8.00749386340755e-05,8.00749386340755e-05,3.94417568889387
"yhcC",4.73776119714791,8.14225052477383e-05,8.14225052477383e-05,3.94017407310887
"thiG",-1.21569967253416,9.56144682912193e-05,9.56144682912193e-05,-3.90145947934675
"hybO",4.93583446885301,0.000102167144848093,0.000102167144848093,3.88538667136622
"malK",2.44059738912571,0.000102701374437596,0.000102701374437596,3.88411953581784
"mcbR",-0.977037566334974,0.000111354453356811,0.000111354453356811,-3.86441786041947
"prfA",0.938968160060255,0.000111354453356811,0.000111354453356811,3.86441786041947
"entE",-3.69560317535986,0.000133737997100563,0.000133737997100563,-3.81947133926342
"napF",5.41795760038103,0.000136402538882255,0.000136402538882255,3.81460209172604
"malF",1.29013093278791,0.000136402538882255,0.000136402538882255,3.81460209172604
"hypC",4.93486032826853,0.000151676797210597,0.000151676797210597,3.78830791131562
"hemA",0.735192328394259,0.000176492639625318,0.000176492639625318,3.75048531795532
"yfeX",1.81295683398212,0.000187447965474043,0.000187447965474043,3.73535848857812
"frdA",5.36140665052021,0.00020162949791814,0.00020162949791814,3.7169660844909
"yehD",8.04579673000829,0.000204616675694122,0.000204616675694122,3.71324741170658
"proW",-2.20876437531786,0.000207729129562558,0.000207729129562558,-3.70942664537163
"yqiD",5.14040331757751,0.000212539553510697,0.000212539553510697,3.70362598311618
"mnmC",-0.570768098878114,0.000212539553510697,0.000212539553510697,-3.70362598311618
"ydjX",4.98592095541385,0.000218260460724826,0.000218260460724826,3.6968858054309
"yidL",-1.11153432741526,0.000218260460724826,0.000218260460724826,-3.6968858054309
"thiS",-1.3819737708427,0.000228148790852,0.000228148790852,-3.68561750008643
"fruK",4.14639788504535,0.000239172967511638,0.000239172967511638,3.67358296924495
"thiE",-1.54352044323706,0.000241412023771868,0.000241412023771868,-3.67120244274056
"ydfZ",5.15603897925741,0.000242020009452526,0.000242020009452526,3.6705596187469
"yobD",0.988929189385063,0.000250286732159553,0.000250286732159553,3.6619663594787
"ybgS",-1.55106398362807,0.000257963247300513,0.000257963247300513,-3.65422175134701
"gatY",2.00202488438142,0.000258538822589118,0.000258538822589118,3.65364981408705
"nrdF",-2.91447605643961,0.00026824255842618,0.00026824255842618,-3.64418296201296
"msrC",-0.598854685653723,0.000303398394961777,0.000303398394961777,-3.61238096175756
"ynjE",5.03399885674544,0.000316074306558647,0.000316074306558647,3.60175653741489
"ompA",0.514378310363023,0.000316074306558647,0.000316074306558647,3.60175653741489
"gloA",0.6285052070581,0.000328767062937599,0.000328767062937599,3.59151039308108
"hcp",3.33598546102879,0.000335685781967917,0.000335685781967917,3.58608018242414
"gldA",4.7356059364958,0.000344132967252748,0.000344132967252748,3.57959056715949
"ycbJ",4.06126689939895,0.000353691817068915,0.000353691817068915,3.57242424381758
"malE",1.92747756315658,0.000353691817068915,0.000353691817068915,3.57242424381758
"nirC",6.26260617737496,0.000356467167756242,0.000356467167756242,3.57037747332569
"gatD",1.85846620581051,0.00037052454578794,0.00037052454578794,3.56023394747066
"dcp",-0.412429617260257,0.00037052454578794,0.00037052454578794,-3.56023394747066
"dsbB",0.497391676904836,0.000384684424835596,0.000384684424835596,3.55037386628095
"fumB",4.32515800749896,0.000385627267376124,0.000385627267376124,3.54972943478588
"efeO",-3.46503957216913,0.000388102381479694,0.000388102381479694,-3.5480446785767
"hcr",3.90805069677993,0.000411434771146896,0.000411434771146896,3.53263842248469
"dcuB",4.65712425642682,0.000413697635157498,0.000413697635157498,3.5311879755166
"hypA",4.22146832943171,0.000421133410536658,0.000421133410536658,3.52647343526829
"ydhY",5.68820699832048,0.000438822645745872,0.000438822645745872,3.51556299178731
"yjjW",4.95976812155058,0.000458529553185187,0.000458529553185187,3.5038813814279
"ansB",3.30335689733075,0.000470016977559733,0.000470016977559733,3.49728637782768
"hybA",4.55039539712311,0.000476432991810522,0.000476432991810522,3.49366806607548
"glaH",-0.968524476602356,0.000478216424383683,0.000478216424383683,-3.49267037228691
"ucpA",0.866651455351061,0.000480580138886399,0.000480580138886399,3.49135338986318
"bioD",-2.07986537615397,0.000526782425460457,0.000526782425460457,-3.46675468172995
"nikB",5.43308557135965,0.000534930797616147,0.000534930797616147,3.46262629576791
"ppsR",-0.829551275011782,0.000552624867068148,0.000552624867068148,-3.4538596632421
"yedE",2.12226341654662,0.000556731196325483,0.000556731196325483,3.45186257803217
"fucA",2.01972781593142,0.000562048747427097,0.000562048747427097,3.44929671239029
"nrfA",5.16025943569948,0.000597645908264239,0.000597645908264239,3.43268050520735
"insH8",0.431377397618416,0.000615335925693314,0.000615335925693314,3.42476300981012
"phoH",-3.26572547297075,0.00061620163087873,0.00061620163087873,-3.42438100731229
"yajD",1.14468637507851,0.00061668086578602,0.00061668086578602,3.42416975401299
"copA",2.28066202136287,0.000642544292378192,0.000642544292378192,3.41298945139381
"napD",5.18183760548983,0.000660685818674759,0.000660685818674759,3.40539430992781
"aspA",3.85622847481111,0.000682372672664696,0.000682372672664696,3.39656532645579
"malT",1.27947720584205,0.000695101833900377,0.000695101833900377,3.39150386239992
"selO",-0.738039900583368,0.000715991458836083,0.000715991458836083,-3.38338131722938
"rihC",1.16605240769285,0.000726401190117186,0.000726401190117186,3.37941555531148
"ddpA",-1.18246960672192,0.000728420316962339,0.000728420316962339,-3.37865245334278
"yccM",2.74547086432363,0.0007427374959022,0.0007427374959022,3.37329715333343
"pepE",4.37457379873757,0.000746289527197464,0.000746289527197464,3.37198337640372
"frdB",5.24950804235997,0.000755727550167158,0.000755727550167158,3.36852057947742
"fecB",-0.884269683508838,0.000755727550167158,0.000755727550167158,-3.36852057947742
"focA",3.87419274457072,0.000796240342543647,0.000796240342543647,3.35409842690513
"ugpB",-2.27868233964263,0.000832853309740593,0.000832853309740593,-3.34163890893377
"rph",-1.9939513468892,0.00090548619194149,0.00090548619194149,-3.31835716708009
"puuD",-2.08663726683101,0.000983616149473908,0.000983616149473908,-3.29517154430931
"cspB",2.40204537619876,0.00099219757017259,0.00099219757017259,3.29272985846439
"narH",6.20970394655066,0.00106189737800437,0.00106189737800437,3.27359220856025
"lamB",2.18103512202168,0.00109323164836793,0.00109323164836793,3.26536484139327
"thiC",-1.59446221807985,0.00109323164836793,0.00109323164836793,-3.26536484139327
"dnaX",0.349098444913232,0.00111309273642636,0.00111309273642636,3.2602621708412
"efeU",-3.78576432574034,0.00112777428574899,0.00112777428574899,-3.25654405326748
"pcm",-0.384412689483945,0.00112777428574899,0.00112777428574899,-3.25654405326748
"fdnG",4.13701305581013,0.00115055991211534,0.00115055991211534,3.25086125609604
"yeiQ",0.869714504022817,0.00120874992445632,0.00120874992445632,3.23680732854872
"nuoJ",0.781721630485965,0.00122514300373221,0.00122514300373221,3.2329609686613
"yfcZ",3.58210016247111,0.00126986182204625,0.00126986182204625,3.2227051791521
"metB",-1.81008487697019,0.00126986182204625,0.00126986182204625,-3.2227051791521
"dmsC",5.41484689346776,0.00127587038783706,0.00127587038783706,3.22135267656101
"nmpC",1.11978204315153,0.00133502480751648,0.00133502480751648,3.20834234469553
"frdC",5.14904245560824,0.0013828566155748,0.0013828566155748,3.19820557563016
"thiF",-1.32135833962361,0.0013828566155748,0.0013828566155748,-3.19820557563016
"bluR",-0.594119431960119,0.00139799721395521,0.00139799721395521,-3.19506423577654
"proV",-2.48647685999496,0.00144241752078664,0.00144241752078664,-3.18602576272821
"yehC",6.64783419324661,0.00150788140024118,0.00150788140024118,3.17316242660739
"ynfE",4.15756434035633,0.00154521569361408,0.00154521569361408,3.16605500850583
"ybaE",1.83222442991788,0.00155980435097476,0.00155980435097476,3.16332063565549
"shiA",-1.05614054146726,0.00157600839024049,0.00157600839024049,-3.16031095856548
"gabP",-1.20408736123641,0.00158119742834707,0.00158119742834707,-3.15935318755728
"yjiM",4.05311410489105,0.00158770913220257,0.00158770913220257,3.15815537025578
"yedF",1.8966551807726,0.00165123017080343,0.00165123017080343,3.14670225124976
"nuoL",0.865984856411759,0.00165187752589908,0.00165187752589908,3.14658763171608
"matA",-1.55040399291006,0.00178729184902883,0.00178729184902883,-3.12347477476142
"lpxP",2.44699466385982,0.00192894705218204,0.00192894705218204,3.10095944836846
