"Gene","logFC","adj.P.Val","P","SignedZ"
"purE",-3.86665069089641,2.03726251735131e-156,2.03726251735131e-156,-26.645144608768
"epd",2.32083186879518,2.07819574633578e-117,2.07819574633578e-117,23.0350286555622
"nirB",7.87509331075317,5.6784401179333e-114,5.6784401179333e-114,22.6895744359678
"fruB",5.87336935593894,5.6784401179333e-114,5.6784401179333e-114,22.6895744359678
"purM",-3.99336961523899,2.54470253190471e-109,2.54470253190471e-109,-22.2134758410674
"ugpB",-3.07097504723429,6.50016854131842e-107,6.50016854131842e-107,-21.9630399541438
"pyrF",-2.84031771549111,6.91774533624716e-99,6.91774533624716e-99,-21.1065973111674
"plsX",-1.24310200002619,7.89477603387482e-94,7.89477603387482e-94,-20.5487639979306
"plaP",-2.89656512786775,7.67030392848606e-92,7.67030392848606e-92,-20.3253735417457
"sstT",1.77566054829236,5.77138136690235e-88,5.77138136690235e-88,19.8824763435342
"accC",-1.73892197963891,2.07001673552382e-85,2.07001673552382e-85,-19.5851486106358
"bidA",5.18383558384443,2.14122162464681e-77,2.14122162464681e-77,18.6217448726733
"trhO",-3.32929639757139,4.31675902692227e-74,4.31675902692227e-74,-18.2097802565085
"cvpA",-2.99309235791002,2.67195596281226e-71,2.67195596281226e-71,-17.8543875535993
"puuD",-3.86242744291647,1.25934299093901e-68,1.25934299093901e-68,-17.5073440586177
"thiB",-2.3862659941719,1.27035132756754e-64,1.27035132756754e-64,-16.9744050521017
"pqqU",-2.63824173292086,6.47129459988895e-63,6.47129459988895e-63,-16.7420568045035
"accB",-1.73320512326351,5.44257099965619e-61,5.44257099965619e-61,-16.4761695965308
"xanP",-3.45561240256852,2.21699891217015e-59,2.21699891217015e-59,-16.2504585777661
"mhpR",-3.58807569318427,7.55091124415712e-58,7.55091124415712e-58,-16.032716002683
"trmA",-1.65624878564718,7.30816549597444e-56,7.30816549597444e-56,-15.7460723508428
"yciH",-3.10312967566299,4.01751620442344e-54,4.01751620442344e-54,-15.4905638316445
"metJ",-1.83833162432446,6.69953454308925e-54,6.69953454308925e-54,-15.4576530647217
"glcC",-3.33822353660333,2.11289956089706e-52,2.11289956089706e-52,-15.2336993916654
"mrcA",-1.72630289019559,4.46352625486362e-51,4.46352625486362e-51,-15.0329960244163
"yecJ",-1.80277834767528,6.10405715651963e-51,6.10405715651963e-51,-15.0122509384134
"rhtB",1.68823090096488,2.2177386306552e-50,2.2177386306552e-50,14.9264464367776
"guaC",-1.32451142710825,3.02814347387561e-48,3.02814347387561e-48,-14.594864366127
"dgcI",-3.13660712648926,1.15418985466566e-47,1.15418985466566e-47,-14.5033259979816
"ydcI",-4.42766507882531,1.60641095054284e-47,1.60641095054284e-47,-14.4806202156035
"ybfA",2.56170187522354,4.65229088473161e-46,4.65229088473161e-46,14.2474082565415
"carA",-4.3728308525809,5.04083952593431e-45,5.04083952593431e-45,-14.0800019571993
"purN",-2.12555856853371,5.04083952593431e-45,5.04083952593431e-45,-14.0800019571993
