"Gene","logFC","adj.P.Val"
"flu",-6.13192047149029,0
"yeeR",-3.83038629873974,1.32816975909086e-80
"cusB",4.65770277455732,5.68566784041408e-52
"sufB",-1.49875797059737,9.77775766947663e-44
"ybaY",-1.80975027722234,2.4979140092503e-42
"nrdI",-3.32257544297748,1.88338188309605e-39
"sodB",2.73289286363252,3.06998839307158e-36
"cusF",4.77328413443604,3.00832140594848e-28
"yeeS",-2.77974616109146,1.97219736202797e-27
"aceB",-2.53530262481307,1.70887812341954e-24
"csgF",-2.96569620094655,1.83627170082781e-22
"cusA",4.40164118955966,4.59973579119688e-20
"nrdH",-3.35458440773882,3.75544135166163e-18
"pyrG",0.637805321724422,2.58746763696461e-15
"yebF",-1.17441143960901,1.44229559137049e-14
"entA",-2.83911696968192,7.66621110699128e-14
"entB",-3.06586889398795,4.06281965449133e-12
"entH",-2.77814512878864,4.10422311598742e-12
"ridA",-2.09191167661986,7.80163314208681e-12
"nrdE",-3.19593552574095,1.13858591639484e-11
"fecA",-1.44972870578577,1.28179413368317e-10
"ybdZ",-3.00843352579514,3.20660852008142e-10
"csgE",-2.4842121509338,1.51541636143213e-09
"ybiX",-3.13431151720482,1.97107941260486e-09
"grcA",6.06265488596009,3.35884948146167e-09
"osmY",-1.68509132432647,1.12934721523287e-08
"pyrI",-3.28128617269248,1.96714156197484e-08
"ompW",4.85455556727182,4.12466109497759e-08
"sufA",-1.59799164339643,4.12466109497759e-08
"ahpF",0.649170966545376,4.12466109497759e-08
"entF",-2.44695520505197,4.36158464946679e-08
"entD",-2.79955983453228,5.08511409456754e-08
"nirB",8.74251080116159,5.38645352966811e-08
"ytjA",-1.66023879410717,5.71564261348937e-08
"csgG",-1.85167470651002,8.52600235035133e-08
"aceK",-2.05699353246326,8.99703521308045e-08
"drpB",-1.24698733100574,1.89756117964615e-07
"sufC",-1.3441578662736,2.06758422901727e-07
"yfiF",0.691127769136653,2.9211522316853e-07
"dmsA",6.65196224520689,3.35328016731022e-07
"narK",8.49183213472176,3.9730479231574e-07
"narG",8.00758914792415,5.44064152777251e-07
"ptsG",1.66979579465378,6.22958322978797e-07
"thiH",-1.29501121125603,7.64495023387677e-07
"csgD",-1.99046105908366,9.29751788302182e-07
"nirD",9.00805247455957,1.07751870265524e-06
"mscS",-1.2250086602505,1.3530047177411e-06
"manX",1.99100004091731,1.43273691660016e-06
"dcuC",7.35184427560199,1.77050291205201e-06
"yciF",-1.77407782874213,1.77050291205201e-06
"ubiU",6.75651244901089,1.84577968507912e-06
"yibF",-0.752070919124261,2.93948662618654e-06
"bdm",-2.92246872804511,3.20516841854007e-06
"ycgJ",-0.624388150718203,3.85302609213746e-06
"pyrB",-3.33819650626857,4.14661552204968e-06
"brnQ",1.33919368591929,5.42047727701978e-06
"yjjI",6.2417361128002,7.86933546510122e-06
"ttdR",5.83697179987344,8.42507183516708e-06
"yjdM",0.789398115785201,8.46426693229079e-06
"metC",-0.699922443117449,1.01796922639158e-05
"mtlA",0.58923542849208,1.08646724316345e-05
"dosC",-1.27652263740618,1.16572898604079e-05
"ubiV",5.9910444077245,1.18075272786617e-05
"manZ",1.59984005249341,1.1887713993481e-05
"raiA",4.85357790853407,1.44532287558901e-05
"manY",1.72748853002572,1.70123480798149e-05
"fruB",5.16984677018454,1.82603213041554e-05
"aceA",-2.22733905295919,2.1702701802275e-05
"bidA",5.24653680039788,2.89354009590111e-05
"nikA",5.9429545145893,3.65203204136768e-05
"cirA",-4.59467914927389,3.65203204136768e-05
"narQ",1.07021353596507,3.65203204136768e-05
"nagE",0.915169598587971,3.86383597299492e-05
"hypB",5.09467918333693,4.60156439690974e-05
"yecH",5.65823741486179,4.76817521200265e-05
"fepA",-3.32357719064045,5.82645086252742e-05
"napA",5.30688596181056,6.75574684544538e-05
"dmsB",6.26166425278842,7.57185428900422e-05
"bssR",5.47359494433056,7.67130165617142e-05
"yfcC",5.09200398911327,8.00749386340755e-05
"yhcC",4.73776119714791,8.14225052477383e-05
"thiG",-1.21569967253416,9.56144682912193e-05
"hybO",4.93583446885301,0.000102167144848093
"malK",2.44059738912571,0.000102701374437596
"mcbR",-0.977037566334974,0.000111354453356811
"prfA",0.938968160060255,0.000111354453356811
"entE",-3.69560317535986,0.000133737997100563
"napF",5.41795760038103,0.000136402538882255
"malF",1.29013093278791,0.000136402538882255
"hypC",4.93486032826853,0.000151676797210597
"hemA",0.735192328394259,0.000176492639625318
"yfeX",1.81295683398212,0.000187447965474043
"frdA",5.36140665052021,0.00020162949791814
"yehD",8.04579673000829,0.000204616675694122
"proW",-2.20876437531786,0.000207729129562558
"yqiD",5.14040331757751,0.000212539553510697
"mnmC",-0.570768098878114,0.000212539553510697
"ydjX",4.98592095541385,0.000218260460724826
"yidL",-1.11153432741526,0.000218260460724826
"thiS",-1.3819737708427,0.000228148790852
"fruK",4.14639788504535,0.000239172967511638
"thiE",-1.54352044323706,0.000241412023771868
"ydfZ",5.15603897925741,0.000242020009452526
"yobD",0.988929189385063,0.000250286732159553
"ybgS",-1.55106398362807,0.000257963247300513
"gatY",2.00202488438142,0.000258538822589118
"nrdF",-2.91447605643961,0.00026824255842618
"msrC",-0.598854685653723,0.000303398394961777
"ynjE",5.03399885674544,0.000316074306558647
"ompA",0.514378310363023,0.000316074306558647
"gloA",0.6285052070581,0.000328767062937599
"hcp",3.33598546102879,0.000335685781967917
"gldA",4.7356059364958,0.000344132967252748
"ycbJ",4.06126689939895,0.000353691817068915
"malE",1.92747756315658,0.000353691817068915
"nirC",6.26260617737496,0.000356467167756242
"gatD",1.85846620581051,0.00037052454578794
"dcp",-0.412429617260257,0.00037052454578794
"dsbB",0.497391676904836,0.000384684424835596
"fumB",4.32515800749896,0.000385627267376124
"efeO",-3.46503957216913,0.000388102381479694
"hcr",3.90805069677993,0.000411434771146896
"dcuB",4.65712425642682,0.000413697635157498
"hypA",4.22146832943171,0.000421133410536658
"ydhY",5.68820699832048,0.000438822645745872
"yjjW",4.95976812155058,0.000458529553185187
"ansB",3.30335689733075,0.000470016977559733
"hybA",4.55039539712311,0.000476432991810522
"glaH",-0.968524476602356,0.000478216424383683
"ucpA",0.866651455351061,0.000480580138886399
"bioD",-2.07986537615397,0.000526782425460457
"nikB",5.43308557135965,0.000534930797616147
"ppsR",-0.829551275011782,0.000552624867068148
"yedE",2.12226341654662,0.000556731196325483
"fucA",2.01972781593142,0.000562048747427097
"nrfA",5.16025943569948,0.000597645908264239
"insH8",0.431377397618416,0.000615335925693314
"phoH",-3.26572547297075,0.00061620163087873
"yajD",1.14468637507851,0.00061668086578602
"copA",2.28066202136287,0.000642544292378192
"napD",5.18183760548983,0.000660685818674759
"aspA",3.85622847481111,0.000682372672664696
"malT",1.27947720584205,0.000695101833900377
"selO",-0.738039900583368,0.000715991458836083
"rihC",1.16605240769285,0.000726401190117186
"ddpA",-1.18246960672192,0.000728420316962339
"yccM",2.74547086432363,0.0007427374959022
"pepE",4.37457379873757,0.000746289527197464
"frdB",5.24950804235997,0.000755727550167158
"fecB",-0.884269683508838,0.000755727550167158
"focA",3.87419274457072,0.000796240342543647
"ugpB",-2.27868233964263,0.000832853309740593
"rph",-1.9939513468892,0.00090548619194149
"puuD",-2.08663726683101,0.000983616149473908
"cspB",2.40204537619876,0.00099219757017259
"narH",6.20970394655066,0.00106189737800437
"lamB",2.18103512202168,0.00109323164836793
"thiC",-1.59446221807985,0.00109323164836793
"dnaX",0.349098444913232,0.00111309273642636
"efeU",-3.78576432574034,0.00112777428574899
"pcm",-0.384412689483945,0.00112777428574899
"fdnG",4.13701305581013,0.00115055991211534
"yeiQ",0.869714504022817,0.00120874992445632
"nuoJ",0.781721630485965,0.00122514300373221
"yfcZ",3.58210016247111,0.00126986182204625
"metB",-1.81008487697019,0.00126986182204625
"dmsC",5.41484689346776,0.00127587038783706
"nmpC",1.11978204315153,0.00133502480751648
"frdC",5.14904245560824,0.0013828566155748
"thiF",-1.32135833962361,0.0013828566155748
"bluR",-0.594119431960119,0.00139799721395521
"proV",-2.48647685999496,0.00144241752078664
"yehC",6.64783419324661,0.00150788140024118
"ynfE",4.15756434035633,0.00154521569361408
"ybaE",1.83222442991788,0.00155980435097476
"shiA",-1.05614054146726,0.00157600839024049
"gabP",-1.20408736123641,0.00158119742834707
"yjiM",4.05311410489105,0.00158770913220257
"yedF",1.8966551807726,0.00165123017080343
"nuoL",0.865984856411759,0.00165187752589908
"matA",-1.55040399291006,0.00178729184902883
"lpxP",2.44699466385982,0.00192894705218204
"ygcN",3.36417033468819,0.0019860632425405
"narI",5.35159338300109,0.00201317162160489
"ynfO",4.78958709367082,0.00201317162160489
"pflA",1.9348740608608,0.00201317162160489
"lgoR",1.93694696669369,0.00205203969590601
"frdD",5.06045984414525,0.00205322799229205
"ribB",1.5742016903299,0.00205322799229205
"yobH",-0.562122844750101,0.00205388149296907
"bioC",-2.33857872482093,0.00206514108135087
"hydN",1.77882623875826,0.00219334128640047
"sufD",-1.27981607704985,0.00219334128640047
"ydjY",4.40323074688353,0.00220586003160473
"gpmM",2.94286603143202,0.00227684734801463
"glk",1.80447792771185,0.00229214070121884
"napH",4.65630130522463,0.00229435537502754
"fruA",3.32090182897275,0.0023150266117141
"rbsA",0.998750290918864,0.00246871193333364
"lolA",0.557581707301862,0.00254330289549847
"srlE",2.64987676287335,0.0025953400437982
"fepC",-1.53368148546404,0.0025953400437982
"fiu",-4.4966994162844,0.0026895309059709
"patA",-1.49859151450498,0.00274849572070263
"yoaB",-0.468545124972121,0.00301932097900647
"narJ",5.39474212066169,0.00304294850919057
"hybB",4.02342800551513,0.00308201030042664
"nuoH",0.715396537831997,0.00308201030042664
"malX",0.844519646529295,0.00318373714596951
"bioA",-2.21910842438786,0.00319727851536465
"ydeN",1.29542933690171,0.00329448135741006
"ydcH",2.19348956722563,0.00336812068631923
"prmC",0.876590852009509,0.00336812068631923
"napG",4.34254467334146,0.00348691988320881
"preA",1.46518726447961,0.00348691988320881
"hypD",3.89601010919631,0.00353233638457003
"mqo",-2.90392507508771,0.0036396383139314
"gatC",1.5449367334825,0.0036799967464445
"yidF",2.88650011100145,0.00376327306009681
"preT",2.51435197831014,0.00394566925850518
"ybaL",-0.862154367235869,0.00395969123075468
"gatZ",1.81093630400789,0.00398714980937775
"gcvH",-1.14989649869054,0.00398714980937775
"deaD",1.11332046811354,0.00398714980937775
"ivy",-0.597595150513656,0.00398714980937775
"ymcF",4.05349452006618,0.0039881785027991
"nuoA",0.73462026448697,0.00399098460650957
"citC",6.53627110544966,0.00402435107876168
"yjbH",-0.947532035736436,0.00423241773398623
"ylcI",4.04598257012804,0.00433421393122789
"hisG",4.28885560702129,0.00438805764927299
"yeiG",-0.815830908531675,0.00456384096677405
"dgcJ",-0.885312218204933,0.00460396357259987
"gcvP",-1.59612514985093,0.00472457592815396
"dhaK",2.19023175857256,0.0049203368710856
"fimH",-1.06617458982423,0.0049203368710856
"nfeF",-1.70079115801332,0.00500580768103287
"purM",-2.50911893919328,0.00513379708915672
"cusC",5.27347716997591,0.00517045660312405
"adhE",3.4888443802622,0.00517045660312405
"epd",2.34048226846423,0.00517045660312405
"napC",3.05318092104141,0.00531508522515373
"zwf",0.320667134255703,0.00549524400891248
"insH2",0.681529010204025,0.00562244451536648
"dhaL",2.01486616756148,0.00572452663350306
"gatB",1.69874562242689,0.00577694266098092
"nepI",-0.853357490467833,0.00581251079833653
"ccmA",2.73812908651777,0.00589425286409834
"aegA",2.82306305701104,0.00592460713933217
"yhbS",2.61390487200859,0.00598250345527429
"ybhB",-0.866886760129682,0.00598250345527429
"ysaA",2.98247278114388,0.00602293650101759
"glpX",1.89015018233474,0.00602293650101759
"ydgC",-1.21834748460382,0.00607513180019373
"yebZ",-1.16038129578309,0.00643900894107031
"yihL",1.15580867514467,0.00647211993608881
"pfkA",2.76576648328707,0.00648315216750513
"ndk",-2.46113760976949,0.00648315216750513
"nuoI",0.783712968758042,0.00648315216750513
"caiA",1.09365777199512,0.00700488441346847
"rlmB",0.628976737829854,0.00701962114530292
"nikD",4.51459728221879,0.00737140635384718
"yqeC",3.90805789159062,0.00737140635384718
"xdhA",0.965677959928181,0.00743746706393917
"bioF",-2.36943457420134,0.00770150156656796
"add",1.97091284735214,0.00770150156656796
