"Gene","logFC","adj.P.Val"
"purE",-3.86665069089641,2.03726251735131e-156
"epd",2.32083186879518,2.07819574633578e-117
"nirB",7.87509331075317,5.6784401179333e-114
"fruB",5.87336935593894,5.6784401179333e-114
"purM",-3.99336961523899,2.54470253190471e-109
"ugpB",-3.07097504723429,6.50016854131842e-107
"pyrF",-2.84031771549111,6.91774533624716e-99
"plsX",-1.24310200002619,7.89477603387482e-94
"plaP",-2.89656512786775,7.67030392848606e-92
"sstT",1.77566054829236,5.77138136690235e-88
"accC",-1.73892197963891,2.07001673552382e-85
"bidA",5.18383558384443,2.14122162464681e-77
"trhO",-3.32929639757139,4.31675902692227e-74
"cvpA",-2.99309235791002,2.67195596281226e-71
"puuD",-3.86242744291647,1.25934299093901e-68
"thiB",-2.3862659941719,1.27035132756754e-64
"pqqU",-2.63824173292086,6.47129459988895e-63
"accB",-1.73320512326351,5.44257099965619e-61
"xanP",-3.45561240256852,2.21699891217015e-59
"mhpR",-3.58807569318427,7.55091124415712e-58
"trmA",-1.65624878564718,7.30816549597444e-56
"yciH",-3.10312967566299,4.01751620442344e-54
"metJ",-1.83833162432446,6.69953454308925e-54
"glcC",-3.33822353660333,2.11289956089706e-52
"mrcA",-1.72630289019559,4.46352625486362e-51
"yecJ",-1.80277834767528,6.10405715651963e-51
"rhtB",1.68823090096488,2.2177386306552e-50
"guaC",-1.32451142710825,3.02814347387561e-48
"dgcI",-3.13660712648926,1.15418985466566e-47
"ydcI",-4.42766507882531,1.60641095054284e-47
"ybfA",2.56170187522354,4.65229088473161e-46
"carA",-4.3728308525809,5.04083952593431e-45
"purN",-2.12555856853371,5.04083952593431e-45
"purK",-3.61585729473512,2.44396109126584e-43
"tsgA",-1.97348343974136,3.27406940490304e-42
"focA",3.25773583592955,4.24557819802858e-40
"frdA",5.17350025765398,2.34674119141362e-39
"raiA",4.63179636718237,6.28877465245192e-39
"hisG",4.57208214784909,6.9948282126358e-39
"fruK",4.98169458417403,2.12635444531753e-38
"ubiU",5.55776336249101,7.39542275981315e-38
"metF",-4.2677208925648,2.36578868644227e-37
"adeP",-2.59974640628908,3.88440342552211e-37
"hcaR",-2.26572065241313,3.13021391000216e-36
"crl",-2.61698756763668,1.17521959073317e-35
"yjiR",-2.26208527876135,2.35674732361672e-35
"ampG",-1.70341860642013,3.2152659834694e-35
"prfC",-1.46462442642269,4.86555298520936e-35
"stpA",-3.25636201760086,7.63574507156691e-35
"modF",-1.88104323323454,1.63197352863855e-34
"glnA",-1.83539718332863,5.42467913486492e-34
"yqeF",-2.58950654663495,8.54219534247405e-34
"yneE",-2.51122150166807,1.42605208645771e-33
"mglA",-3.0882855126979,2.66648939176e-33
"metB",-2.61669290384377,2.80661744240268e-33
"metN",-3.05011649508187,4.38118499156368e-33
"pabB",-1.91475341913544,4.60959099092508e-33
"uspC",1.53126698414428,7.91735126806521e-33
"ybjM",2.79111894191881,1.38406426255182e-32
"waaL",-2.305937292387,1.38476402668332e-32
"ychF",-1.52863129334191,3.16043955493399e-32
"nikA",4.43673479877101,1.05731322010822e-31
"pdhR",-2.83608488827013,3.33576568616395e-31
"mltA",-1.23816289568954,5.54271054319127e-31
"secG",-1.61298857241456,6.67906446592535e-31
"serC",-1.37756601125013,1.33903113888717e-30
"wzzB",-1.52192513475768,1.60363677809683e-30
"feoB",4.26006529345544,1.66799778901929e-30
"yejG",-2.88146385660422,2.46976709543613e-30
"yhbS",2.99167323504415,3.60846597507082e-30
"dmsA",5.85435814613172,4.29532118799029e-30
"dcuC",7.48049660783995,5.61709972787139e-30
"rlmL",-1.06930799016357,5.61709972787139e-30
"opgC",-2.12994861219598,2.24449990843083e-29
"purU",-1.29625953577823,1.2717266796135e-28
"ttdR",5.72310697998156,2.80803967094737e-28
"purF",-3.2152862021161,4.07255572187468e-28
"ygiQ",-1.46610121945107,5.37254016666019e-28
"pstS",-2.36156451686023,8.25316907980033e-28
"bluF",-1.69960166298454,2.48967773767472e-27
"ndk",-4.19309366737371,3.43798137462177e-27
"yidD",-2.31411597110494,3.43798137462177e-27
"ylaC",-2.48900348088334,5.12253262292237e-27
"dhaK",2.67830143438353,5.35164133408826e-27
"pyrD",-3.67345601209186,9.60023558224002e-27
"efp",-1.52083093283268,1.01749039414041e-26
"pdeI",-2.50154502985649,1.09029809988473e-26
"feoC",3.80324428120396,1.85453468206238e-26
"infA",-1.82259184682416,1.94146591834344e-26
"aroH",-1.30237399247545,7.04385312549423e-26
"hisQ",-1.50788985072712,7.12454104355967e-26
"puuP",-2.15489053692771,8.66425927839194e-26
"aspA",4.45215363772663,9.58966736076172e-26
"glpE",-1.84363144666163,2.75626578182132e-25
"narG",5.6583683425831,5.73767044285431e-25
"cadC",2.45516633424914,6.04641403944214e-25
"ybgC",-1.16735397866196,6.20473541921863e-25
"yjjI",5.86741714247677,6.5286814166259e-25
"rlmI",-1.54775574435566,7.90500291889926e-25
"mrdA",-1.27720222506554,1.0042779640145e-24
"yigI",-4.0954753625216,1.37891941391586e-24
"digH",-1.33170754868127,2.50545430530688e-24
"lldP",-2.93606909123326,2.73558094767321e-24
"hcxA",-2.0054283725281,3.58884808256035e-24
