"Gene","logFC","adj.P.Val"
"cusB",4.65770277455732,5.68566784041408e-52
"sodB",2.73289286363252,3.06998839307158e-36
"cusF",4.77328413443604,3.00832140594848e-28
"cusA",4.40164118955966,4.59973579119688e-20
"grcA",6.06265488596009,3.35884948146167e-09
"ompW",4.85455556727182,4.12466109497759e-08
"nirB",8.74251080116159,5.38645352966811e-08
"dmsA",6.65196224520689,3.35328016731022e-07
"narK",8.49183213472176,3.9730479231574e-07
"narG",8.00758914792415,5.44064152777251e-07
"ptsG",1.66979579465378,6.22958322978797e-07
"nirD",9.00805247455957,1.07751870265524e-06
"manX",1.99100004091731,1.43273691660016e-06
"dcuC",7.35184427560199,1.77050291205201e-06
"ubiU",6.75651244901089,1.84577968507912e-06
"brnQ",1.33919368591929,5.42047727701978e-06
"yjjI",6.2417361128002,7.86933546510122e-06
"ttdR",5.83697179987344,8.42507183516708e-06
"ubiV",5.9910444077245,1.18075272786617e-05
"manZ",1.59984005249341,1.1887713993481e-05
"raiA",4.85357790853407,1.44532287558901e-05
"manY",1.72748853002572,1.70123480798149e-05
"fruB",5.16984677018454,1.82603213041554e-05
"bidA",5.24653680039788,2.89354009590111e-05
"nikA",5.9429545145893,3.65203204136768e-05
"narQ",1.07021353596507,3.65203204136768e-05
"hypB",5.09467918333693,4.60156439690974e-05
"yecH",5.65823741486179,4.76817521200265e-05
"napA",5.30688596181056,6.75574684544538e-05
"dmsB",6.26166425278842,7.57185428900422e-05
"bssR",5.47359494433056,7.67130165617142e-05
"yfcC",5.09200398911327,8.00749386340755e-05
"yhcC",4.73776119714791,8.14225052477383e-05
"hybO",4.93583446885301,0.000102167144848093
"malK",2.44059738912571,0.000102701374437596
"napF",5.41795760038103,0.000136402538882255
"malF",1.29013093278791,0.000136402538882255
"hypC",4.93486032826853,0.000151676797210597
"yfeX",1.81295683398212,0.000187447965474043
"frdA",5.36140665052021,0.00020162949791814
"yehD",8.04579673000829,0.000204616675694122
