"Gene","logFC","adj.P.Val"
"epd",2.32083186879518,2.07819574633578e-117
"nirB",7.87509331075317,5.6784401179333e-114
"fruB",5.87336935593894,5.6784401179333e-114
"sstT",1.77566054829236,5.77138136690235e-88
"bidA",5.18383558384443,2.14122162464681e-77
"rhtB",1.68823090096488,2.2177386306552e-50
"ybfA",2.56170187522354,4.65229088473161e-46
"focA",3.25773583592955,4.24557819802858e-40
"frdA",5.17350025765398,2.34674119141362e-39
"raiA",4.63179636718237,6.28877465245192e-39
"hisG",4.57208214784909,6.9948282126358e-39
"fruK",4.98169458417403,2.12635444531753e-38
"ubiU",5.55776336249101,7.39542275981315e-38
"uspC",1.53126698414428,7.91735126806521e-33
"ybjM",2.79111894191881,1.38406426255182e-32
"nikA",4.43673479877101,1.05731322010822e-31
"feoB",4.26006529345544,1.66799778901929e-30
"yhbS",2.99167323504415,3.60846597507082e-30
"dmsA",5.85435814613172,4.29532118799029e-30
"dcuC",7.48049660783995,5.61709972787139e-30
"ttdR",5.72310697998156,2.80803967094737e-28
"dhaK",2.67830143438353,5.35164133408826e-27
"feoC",3.80324428120396,1.85453468206238e-26
"aspA",4.45215363772663,9.58966736076172e-26
"narG",5.6583683425831,5.73767044285431e-25
"cadC",2.45516633424914,6.04641403944214e-25
"yjjI",5.86741714247677,6.5286814166259e-25
"bssR",4.35785991048414,6.60710916335845e-24
"mtr",1.82487237854618,1.54564277252015e-23
"yqiD",5.17922557982226,1.94925698075454e-23
"ynfE",4.82911762265299,3.77592981604381e-23
"narK",6.33191343770553,4.53383848846452e-23
"yhcC",4.2112006097811,5.65597942176059e-23
"yjjP",3.05443957968858,6.16343187313893e-23
"abrB",3.30811880745548,8.00090014705308e-23
"ravA",2.32893274857629,9.39526836857451e-23
"hypB",4.47204376624224,4.72167019413243e-22
"yciZ",1.65619299524506,2.65513525984542e-21
"add",2.01881472173727,4.25069397388435e-21
"yidF",3.68635293548486,9.35417143397351e-21
"nirD",7.57140873995469,1.80068869560517e-20
"yecH",5.02189396301208,2.2341868014974e-20
"yfcZ",3.10121557646865,3.49305889027184e-20
"hybO",4.40509904796567,1.22667643458661e-19
"gldA",4.64998923994157,1.60739070359266e-19
