"","menF/ubiC KO, rep 1","menF/ubiC KO, rep 2","menF/ubiC KO adapted 1, rep 1","menF/ubiC KO adapted 1, rep 2","menF/ubiC KO adapted 2, rep 1","menF/ubiC KO adapted 2, rep 2","menF/ubiC KO adapted 3, rep 1","menF/ubiC KO adapted 3, rep 2","menF/ubiC KO adapted 4, rep 1","menF/ubiC KO adapted 4, rep 2"
"aaeA",5.70975814692878,5.98814871002287,5.47576760458165,5.58451821122946,5.83866937550906,5.52831433292094,5.67343722020544,5.8475005370517,5.86835039961553,5.7800273890354
"aaeB",5.98049798481104,6.40491030279879,6.02007144101337,6.07510028080278,6.2571315012594,6.14014986573165,6.14885956358979,6.25480440842155,6.48093954782684,6.70738325566943
"aaeR",8.66790659766847,8.67065159833755,8.83852674710949,9.09356607852751,9.01086852837686,9.19359526677441,8.50000089105508,8.27198745505584,8.77138790816968,8.83589492162502
"aaeX",3.8459699320347,3.53861144812106,3.72969507630812,3.60515803720826,2.93301411693429,2.79041319903296,3.75723036669574,3.46159757674812,3.79416287730071,3.999480705875
"aas",9.4839939169985,9.45720581645018,9.57065328770146,9.50035311970798,9.60518175926004,9.74918706246849,9.76610509006124,9.5665870154049,9.09130844438078,9.32975323620099
"aat",8.79310345533436,8.82666655060802,8.67354033297022,8.77274213109646,8.71675880144863,8.93908995325043,8.93341161911058,8.86266632416636,8.31015517646776,8.23736295541283
"abgA",3.64887327881118,3.08186151283128,3.21196647126029,4.0499451735398,3.45833623605202,4.0217862907734,3.45560316065251,3.76364488056219,3.87568560028394,3.92182838844856
"abgB",4.09751151654619,4.69821234632503,4.75422545964188,4.38708495412401,4.64829690495971,3.84908091658022,4.30944510835917,5.02271383709192,4.73713212498568,4.8316591601365
"abgR",5.8957856098459,5.65275205108113,6.02007144101337,5.92939280376489,6.03977254555578,6.10274606460071,6.04389888751564,5.5330729616096,5.82865563491353,5.9439026563134
"abgT",4.60748090186525,5.43347359264583,4.90260047591176,4.88769521177514,5.20487838825443,5.02639240178396,4.89919291297752,5.41087598808311,4.39850424113898,4.9132974980475
"abpA",9.50735749213017,9.45928077003462,10.7191992957741,10.9705032116519,10.9577617004189,11.0084623141839,9.55571256191678,9.52063476595548,9.69372843416689,9.72539470187107
"abpB",9.58542898928302,9.60696649787945,10.6762301742299,10.9627282166542,10.833963384029,10.8574595440492,9.37023086569802,9.30072415445441,8.3838268555894,8.38001168510451
"abrB",5.55253090263806,5.9413674704624,8.95307526173998,8.82513966715273,8.75295649093157,8.82609492322893,5.63779012272664,5.60912390841114,8.11381581908515,8.34014885180623
"accA",11.1678350629802,11.0664728577021,10.8332735947908,10.9062869401927,10.891112429002,10.9983214609171,11.9409190508384,11.8350362013752,11.4519265655154,11.4211886109047
"accB",11.478181821316,11.5313762613238,9.95031588794681,10.1111785897297,10.0657347039272,10.2467630082917,11.6794437413897,11.6207787123474,9.89431013383808,9.98944873076717
"accC",12.7613165621333,12.7435752905961,11.3434773133593,11.2717254461644,11.5043283117236,11.6130257674339,13.0492295333769,12.9772286895625,10.9293828050992,10.9784829967306
"accD",11.852250043119,11.8935848478833,11.5771376602153,11.5645962410632,11.5605525422595,11.7066994177391,12.3767891264054,12.2991217375905,11.7970053860652,11.7254098712954
"aceA",14.0501726040438,14.0434401415872,11.1265460795283,11.1517082140617,11.2135936159672,11.2961005298558,11.9787554295153,11.9530927051204,12.5714454005426,12.4116795429855
"aceB",14.7332565662151,14.6996898479231,11.7312020453576,11.8557304482389,11.9973048132264,12.0714078384917,12.4670259797484,12.4784052009003,12.4057570944006,12.2553394702202
"aceE",15.1222143397672,15.1502966660008,14.097963090126,14.0744536668867,13.2610566459476,13.2909449680526,15.4188642781295,15.2353919954102,14.8819010635635,14.6672142071734
"aceF",14.1510370431908,14.1997605802515,13.7412629257993,13.6923634205231,12.993415041541,13.0047020970238,14.4498677403633,14.3060695986113,14.3214152449615,14.2645663532443
"aceK",11.5233988226558,11.4078969054895,8.93030806783952,8.89216799489993,9.11744540839996,9.0634611520233,9.45704236521511,9.55463551015469,10.0348826785623,9.82327443092146
"ackA",12.2075281970158,12.2604705954422,14.4590344896645,14.5791654912026,14.5593923654477,14.6103838908258,12.7726294914727,12.6816442181745,13.1497074087128,13.1946986738938
"acnA",11.149675382145,11.1388119503813,9.92174550351164,9.97248713668032,9.99646665203235,10.0812827043288,10.6401186151573,10.6430005383007,10.7353019241075,10.6799193421245
"acnB",14.2884155923186,14.2280258272257,13.2011201222714,13.2543644375512,12.7133582984657,12.8643186678026,13.9718175910768,13.8570729977189,13.532076241048,13.4083257570417
"acpH",7.3165215114159,6.89659071703506,5.97624710650345,6.12056807647052,6.3918616016463,6.24686513436004,7.24630085525598,7.25462342962796,5.56431341448918,5.75816618219364
"acpP",14.2488444971122,14.1144475996767,14.2430789288575,14.1741061887402,14.0980255887698,14.1848226463884,14.3876899024222,14.427279070402,14.2451658125933,14.1649514172555
"acpS",8.32772252194994,8.45883532885228,8.32649821497625,8.68473429941057,8.41627798063233,8.524268231118,8.32639978730883,8.22449756860482,8.33866596654487,8.30292852023138
"acpT",7.90356422231543,7.63721862759711,7.88052255417854,8.11209246375201,8.04798766973239,8.18745503732521,7.73321944703789,7.87830295697674,8.19011924925516,8.23736295541283
"acrA",10.8407195765812,10.8263674299031,10.4458278287867,10.5189672718136,10.5976471237469,10.6665424603921,11.420025320787,11.3169448443034,11.0720505184188,10.9755292614727
"acrB",12.1845785227706,12.0894965827195,11.9560055648527,11.9675680739359,12.0658141077503,12.1692846617577,12.7142815808607,12.6381347781885,12.4235416236661,12.3684231150976
"acrD",7.15291311617056,7.09115926005022,7.832213114036,7.48875905578226,7.36838741748439,7.30411999695533,7.64631669514971,7.6724967449422,7.43031985994698,7.42788965085136
"acrE",2.78811444517747,0.943056417305007,3.72969507630812,3.73041024869967,3.45833623605202,1.91278679188227,4.0047317237973,4.12062429463375,3.02542100277486,3.75221380037365
"acrF",6.75662593247042,6.67161097866299,7.04279506109618,6.74608944060786,7.15769664255796,6.86473090766828,6.44517931109153,6.51388259178554,7.21651044730612,7.35701805657581
"acrR",7.50689836415885,7.49880726095822,6.6554371419666,6.89736052091414,6.3733686329084,6.34621868319181,7.81518280418557,7.69008602623372,7.16966362081789,7.15458506047309
"acrZ",8.27842988523344,8.19062940052699,8.50658732493558,8.41984372970147,8.57836788439688,7.75931137524192,7.69042242419792,8.0984468575675,8.80498043706664,8.76650052775151
"acs",8.45887881619062,8.1552272242451,7.05337153748394,7.18088990099717,7.10264532940489,7.19289747784899,8.50000089105508,8.45800741093903,9.15681865568461,9.22022288594127
"actP",6.38955163172636,5.98814871002287,5.62524421606873,5.25774441772427,5.40055105999828,5.10435529654468,6.85489309610361,6.98217285964947,7.48873575384602,7.68096447420979
