"","menF KO, rep 1","menF KO, rep 2","menF KO adapted 1, rep 1","menF KO adapted 1, rep 2","menF KO adapted 2, rep 1","menF KO adapted 2, rep 2","menF KO adapted 3, rep 1","menF KO adapted 3, rep 2","menF KO adapted 4, rep 1","menF KO adapted 4, rep 2"
"aaeA",5.70862318432389,5.8602568060683,6.21575328413431,6.1210208394458,5.82282551323148,6.17854265053391,6.18313869369875,5.93969408213413,6.10955355784761,6.27430728335305
"aaeB",6.32344458584099,6.83702037176759,6.70841730007065,6.84471173434852,6.64324841876306,6.46103331759472,6.93262861739554,6.71887871603819,6.92414389769767,7.09339593842108
"aaeR",8.83746418510379,8.86010736655206,9.19350842331283,9.17294248968723,9.03631706168474,9.26945613131346,8.81020479864083,8.738758591535,9.22795608937994,9.2306894378629
"aaeX",4.23309864497833,5.0301165420023,4.26574673107949,4.4862466906237,4.42845553006574,4.17063462688673,4.3173683370463,4.31504093347131,4.88319843871399,4.98923549031224
"aas",9.76570102856633,9.63102401393748,9.46418079671433,9.60090360537467,9.54642661110798,9.69199051711094,9.76899764088764,9.71583936755187,9.58250304391554,9.55866955976078
"aat",8.86024192531786,8.86431279679974,8.90143529188078,9.04075094113523,8.9903725218752,9.03937202820346,9.06897143973006,9.0729759348022,8.40906842276457,8.72447868992125
"abgA",4.66046115343216,5.15278592681218,4.76237986115609,4.37421492809615,5.21984017388033,4.26639775843677,5.09749757928662,5.50992497490695,4.68189514045082,4.95121682967597
"abgB",5.32299604472384,4.81996122742421,5.51289904565335,5.18309758478626,5.42699340467026,5.02001402156046,5.48384932653103,5.59629691887604,4.56637156452981,5.09680120344369
"abgR",6.18411734881219,6.69221709133428,6.62549564606336,6.48364200668434,6.80870568587858,6.87453491324347,6.95404291691745,6.98041598685055,6.74842051179027,6.60637643448838
"abgT",5.42235526892944,5.59508057837762,5.37976485490589,5.71159831431441,5.7341371046778,5.66387882518675,6.02844668345499,5.85001782258167,5.84754453040813,5.87742536067814
"abpA",9.7119419398708,9.66275135033749,10.0630478661284,10.2888024477444,10.3167213696376,10.5835537931074,10.7162358702696,10.6915512715297,10.7857995458663,10.3043449590691
"abpB",9.64794469683918,9.76748172292481,9.47401875271864,9.45849330947011,9.69511511300482,9.7644081301637,10.2842042988502,10.2825682439597,9.59385879659884,9.56012832717616
"abrB",5.73418683044975,6.0825515155551,8.72808079233984,8.81202517648679,8.69810850662769,8.9001742495908,8.93871884221306,8.91958210548328,9.28911680726963,8.00326695571894
"accA",11.373154962086,11.5679062524847,11.3853541165057,11.4295695318197,11.2286370980349,11.3209381111347,11.0709904079246,11.0066603765812,11.2349148497115,11.2294910893663
"accB",11.7585744661541,11.6383336826385,9.88868364847834,9.98147609991794,9.90609939184273,10.2038080957784,10.0055098318506,9.93845713442616,9.91162986277944,10.0120447084267
