"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"malF",-6.61089762893544,5.07347886823393,-69.9784799624538,7.56271094718458e-10,1.66625213256308e-06,12.361477163263
"malM",-8.28793231976695,6.56896615613422,-68.4971508205679,8.58008307190051e-10,1.66625213256308e-06,12.3001947233255
"malE",-7.52896191790228,7.91318719375615,-52.9907857170532,3.89793864830133e-09,5.04653123666745e-06,11.4438033628243
"malG",-5.59743752739506,5.27835818618966,-47.58794036991,7.34638451531618e-09,7.13333936437201e-06,11.0184491022062
"flgI",-3.84777260128339,6.21073798419745,-36.3222145738382,3.60443118975119e-08,2.42382085838536e-05,9.78799266941028
"lamB",-8.87424058058672,6.94630738868194,-36.0878649933956,3.74431646506492e-08,2.42382085838536e-05,9.75589429884749
"fliF",-3.89722084538772,6.32540920378869,-34.2958563989284,5.05190484765082e-08,2.64747594646282e-05,9.4994387802406
"flgF",-3.57790092735991,8.06267826345856,-33.8529732991437,5.4530915478122e-08,2.64747594646282e-05,9.43291317009983
"fliK",-3.53566980361722,5.93107222435673,-32.4871438897509,6.94655750078127e-08,2.78722527075274e-05,9.21933958453818
"flgJ",-3.86284926542374,5.97552713388836,-32.1000882120787,7.45345847948006e-08,2.78722527075274e-05,9.15640354574511
"nadB",3.24096743084182,7.38485137766153,31.788038456831,7.89378938678685e-08,2.78722527075274e-05,9.10485537174482
"fruB",-3.57977151840213,6.64025054541877,-29.8830228590822,1.13481682029045e-07,3.67302377500676e-05,8.77365000349271
"malK",-8.08956255354795,5.34042247125376,-28.9666870037455,1.36247183029999e-07,3.80206863632949e-05,8.60354189480693
"fliI",-3.64361015355256,5.51346323681705,-28.4850689765797,1.50335324272003e-07,3.80206863632949e-05,8.51111899500479
"hycC",3.39256889684111,5.53370668223622,28.0810564385807,1.63479229422717e-07,3.80206863632949e-05,8.43192156914942
"fruK",-3.54530068886405,6.86509112243828,-27.9965653664845,1.66395112390064e-07,3.80206863632949e-05,8.41516253475214
"hycE",3.29110569150801,7.02698964563752,27.9960260004825,1.66413920745626e-07,3.80206863632949e-05,8.41505532930228
"flgD",-3.34062425555362,8.05171239564894,-27.0871065997577,2.01959725070398e-07,3.84561696844517e-05,8.23032726960218
"hisB",-2.85444510056575,10.3626808469057,-26.9903932942825,2.06240533889695e-07,3.84561696844517e-05,8.21018140802011
"fruA",-3.20252063839162,7.71003879496706,-26.7697518309589,2.16409782386065e-07,3.84561696844517e-05,8.1638579052905
"flgG",-3.44209657111314,7.7552797490883,-26.7164582519989,2.18953158537487e-07,3.84561696844517e-05,8.15259266612158
"fliD",-2.80317811539822,8.23702726837967,-26.6375773291425,2.22782037317302e-07,3.84561696844517e-05,8.13586381731092
"cheA",-2.56502349219277,7.45671456695385,-26.3484058957632,2.37503456081793e-07,3.84561696844517e-05,8.07397075934635
"nadA",2.79684840767172,8.36055386049167,26.2992174025016,2.40119208599086e-07,3.84561696844517e-05,8.06335321393607
