"Gene","logFC","adj.P.Val","P","SignedZ"
"malM",-8.28793231976695,1.66625213256308e-06,1.66625213256308e-06,-4.79018789104123
"malF",-6.61089762893544,1.66625213256308e-06,1.66625213256308e-06,-4.79018789104123
"malE",-7.52896191790228,5.04653123666745e-06,5.04653123666745e-06,-4.56284399963216
"malG",-5.59743752739506,7.13333936437201e-06,7.13333936437201e-06,-4.4896706107221
"lamB",-8.87424058058672,2.42382085838536e-05,2.42382085838536e-05,-4.22177863896768
"flgI",-3.84777260128339,2.42382085838536e-05,2.42382085838536e-05,-4.22177863896768
"fliF",-3.89722084538772,2.64747594646282e-05,2.64747594646282e-05,-4.20184567792476
"flgF",-3.57790092735991,2.64747594646282e-05,2.64747594646282e-05,-4.20184567792476
"flgJ",-3.86284926542374,2.78722527075274e-05,2.78722527075274e-05,-4.19018873067746
"fliK",-3.53566980361722,2.78722527075274e-05,2.78722527075274e-05,-4.19018873067746
"nadB",3.24096743084182,2.78722527075274e-05,2.78722527075274e-05,4.19018873067746
"fruB",-3.57977151840213,3.67302377500676e-05,3.67302377500676e-05,-4.12714026364201
"malK",-8.08956255354795,3.80206863632949e-05,3.80206863632949e-05,-4.11918981137135
"fliI",-3.64361015355256,3.80206863632949e-05,3.80206863632949e-05,-4.11918981137135
"fruK",-3.54530068886405,3.80206863632949e-05,3.80206863632949e-05,-4.11918981137135
"hycC",3.39256889684111,3.80206863632949e-05,3.80206863632949e-05,4.11918981137135
"hycE",3.29110569150801,3.80206863632949e-05,3.80206863632949e-05,4.11918981137135
"flgG",-3.44209657111314,3.84561696844517e-05,3.84561696844517e-05,-4.11656452784116
"flgD",-3.34062425555362,3.84561696844517e-05,3.84561696844517e-05,-4.11656452784116
"fruA",-3.20252063839162,3.84561696844517e-05,3.84561696844517e-05,-4.11656452784116
"hisI",-2.90312765621289,3.84561696844517e-05,3.84561696844517e-05,-4.11656452784116
"hisB",-2.85444510056575,3.84561696844517e-05,3.84561696844517e-05,-4.11656452784116
"fliD",-2.80317811539822,3.84561696844517e-05,3.84561696844517e-05,-4.11656452784116
"nadA",2.79684840767172,3.84561696844517e-05,3.84561696844517e-05,4.11656452784116
"cheA",-2.56502349219277,3.84561696844517e-05,3.84561696844517e-05,-4.11656452784116
"tsr",-2.63468100572211,3.90264676335731e-05,3.90264676335731e-05,-4.11316887489829
"hycG",3.30441133804262,4.0488853774542e-05,4.0488853774542e-05,4.1046722264336
"ldhA",2.76960651742201,4.05572847443568e-05,4.05572847443568e-05,4.10428180480423
"pnuC",2.65660870824022,4.05572847443568e-05,4.05572847443568e-05,4.10428180480423
"leuO",2.66574863136063,4.17768066058407e-05,4.17768066058407e-05,4.09742688137903
"hycA",4.3035260827432,4.20141633335401e-05,4.20141633335401e-05,4.09611480680788
"motB",-2.86899753027606,4.20141633335401e-05,4.20141633335401e-05,-4.09611480680788
"fliC",-2.53026997277155,4.27323773755656e-05,4.27323773755656e-05,-4.0921870276651
"malP",-2.45612988480696,4.38350302815889e-05,4.38350302815889e-05,-4.08627705301364
"fliM",-4.3558254603368,4.59666886659438e-05,4.59666886659438e-05,-4.07524114504265
"hycD",3.82078909530275,4.7718596770799e-05,4.7718596770799e-05,4.06652876915611
"tsuA",2.83446608233935,4.7718596770799e-05,4.7718596770799e-05,4.06652876915611
"flgK",-2.75875310864082,4.7718596770799e-05,4.7718596770799e-05,-4.06652876915611
"malQ",-2.75243636768484,4.7718596770799e-05,4.7718596770799e-05,-4.06652876915611
"gatD",-2.58361768903121,4.7718596770799e-05,4.7718596770799e-05,-4.06652876915611
"hisG",-2.4469885068857,4.7718596770799e-05,4.7718596770799e-05,-4.06652876915611
"fliL",-3.32287420966986,5.19310725100994e-05,5.19310725100994e-05,-4.04676164514686
"hisH",-2.93933571646587,5.24829478042514e-05,5.24829478042514e-05,-4.04428543474103
"flgB",-3.16735643251129,5.67938320110369e-05,5.67938320110369e-05,-4.0257507131884
"hisC",-2.8122820345232,5.67938320110369e-05,5.67938320110369e-05,-4.0257507131884
"fdhF",2.19504978798305,5.67938320110369e-05,5.67938320110369e-05,4.0257507131884
"motA",-2.63853279932647,7.13555680538243e-05,7.13555680538243e-05,-3.97171997485638
"cysP",2.23439905318859,7.13555680538243e-05,7.13555680538243e-05,3.97171997485638
"alaE",2.2577339959198,8.20102412719809e-05,8.20102412719809e-05,3.93844835489057
"fliG",-3.79681377766299,8.68776331799502e-05,8.68776331799502e-05,-3.92458983988941
"rbsB",-2.04223910091368,8.68776331799502e-05,8.68776331799502e-05,-3.92458983988941
"cysD",1.99203066936243,8.68776331799502e-05,8.68776331799502e-05,3.92458983988941
"groL",-1.98361610283187,8.68776331799502e-05,8.68776331799502e-05,-3.92458983988941
"cysK",1.92402848526191,8.68776331799502e-05,8.68776331799502e-05,3.92458983988941
"fliA",-2.49321722432187,9.0009137715422e-05,9.0009137715422e-05,-3.91605656632906
"dnaK",-2.3458261856867,9.0009137715422e-05,9.0009137715422e-05,-3.91605656632906
"cfa",2.10257671861559,9.0009137715422e-05,9.0009137715422e-05,3.91605656632906
"glsA",2.5704472086374,9.27457409843643e-05,9.27457409843643e-05,3.90882597569265
"hisF",-2.78341719137575,0.000103771688414477,0.000103771688414477,-3.88159947418582
"dnaJ",-1.91824397737784,0.000103771688414477,0.000103771688414477,-3.88159947418582
"metC",1.87226401451578,0.000103771688414477,0.000103771688414477,3.88159947418582
"tap",-2.22108011884209,0.000104861707700491,0.000104861707700491,-3.87905810385476
"yhhJ",2.13971221799648,0.000104861707700491,0.000104861707700491,3.87905810385476
"tar",-2.01741873457889,0.000104861707700491,0.000104861707700491,-3.87905810385476
"flgE",-3.51849743937066,0.000104882469176353,0.000104882469176353,-3.87900994101842
"cheB",-2.78545970265083,0.000104882469176353,0.000104882469176353,-3.87900994101842
"btsT",3.35196109789392,0.000115474499658584,0.000115474499658584,3.85553988727035
"cysJ",2.20097278640313,0.000115474499658584,0.000115474499658584,3.85553988727035
"tcyP",1.94767246933624,0.000115474499658584,0.000115474499658584,3.85553988727035
"metK",1.8506138922488,0.000115474499658584,0.000115474499658584,3.85553988727035
"hycI",3.04360045098913,0.000116362022750885,0.000116362022750885,3.85366659700292
"opgE",-2.67639061950502,0.000117459404124856,0.000117459404124856,-3.85136890232311
"metR",2.8526517524627,0.000119937603298857,0.000119937603298857,3.84625364715198
"fliZ",-2.43367878890722,0.000119937603298857,0.000119937603298857,-3.84625364715198
"cysI",2.09471115834285,0.000119937603298857,0.000119937603298857,3.84625364715198
"wrbA",1.73206146805428,0.000119937603298857,0.000119937603298857,3.84625364715198
"hisD",-2.61675152418508,0.000121540446943857,0.000121540446943857,-3.84299802554223
"hyaB",2.19941084568646,0.000131559034703794,0.000131559034703794,3.82352164877376
"fliS",-2.80027215813552,0.000138399266200846,0.000138399266200846,-3.81101161012983
"cheZ",-2.70538050621685,0.000138399266200846,0.000138399266200846,-3.81101161012983
"hycF",2.96766054043193,0.00013964427147356,0.00013964427147356,3.80879748046133
"glnQ",-2.1175352113266,0.00013964427147356,0.00013964427147356,-3.80879748046133
"tcyJ",1.75497074013672,0.00013964427147356,0.00013964427147356,3.80879748046133
