"Gene","logFC","adj.P.Val"
"malM",-8.28793231976695,1.66625213256308e-06
"malF",-6.61089762893544,1.66625213256308e-06
"malE",-7.52896191790228,5.04653123666745e-06
"malG",-5.59743752739506,7.13333936437201e-06
"lamB",-8.87424058058672,2.42382085838536e-05
"flgI",-3.84777260128339,2.42382085838536e-05
"fliF",-3.89722084538772,2.64747594646282e-05
"flgF",-3.57790092735991,2.64747594646282e-05
"flgJ",-3.86284926542374,2.78722527075274e-05
"fliK",-3.53566980361722,2.78722527075274e-05
"fruB",-3.57977151840213,3.67302377500676e-05
"malK",-8.08956255354795,3.80206863632949e-05
"fliI",-3.64361015355256,3.80206863632949e-05
"fruK",-3.54530068886405,3.80206863632949e-05
"flgG",-3.44209657111314,3.84561696844517e-05
"flgD",-3.34062425555362,3.84561696844517e-05
"fruA",-3.20252063839162,3.84561696844517e-05
"hisI",-2.90312765621289,3.84561696844517e-05
"hisB",-2.85444510056575,3.84561696844517e-05
"fliD",-2.80317811539822,3.84561696844517e-05
"cheA",-2.56502349219277,3.84561696844517e-05
"tsr",-2.63468100572211,3.90264676335731e-05
"motB",-2.86899753027606,4.20141633335401e-05
"fliC",-2.53026997277155,4.27323773755656e-05
"malP",-2.45612988480696,4.38350302815889e-05
"fliM",-4.3558254603368,4.59666886659438e-05
"flgK",-2.75875310864082,4.7718596770799e-05
"malQ",-2.75243636768484,4.7718596770799e-05
"gatD",-2.58361768903121,4.7718596770799e-05
"hisG",-2.4469885068857,4.7718596770799e-05
"fliL",-3.32287420966986,5.19310725100994e-05
"hisH",-2.93933571646587,5.24829478042514e-05
"flgB",-3.16735643251129,5.67938320110369e-05
"hisC",-2.8122820345232,5.67938320110369e-05
"motA",-2.63853279932647,7.13555680538243e-05
"fliG",-3.79681377766299,8.68776331799502e-05
"rbsB",-2.04223910091368,8.68776331799502e-05
"groL",-1.98361610283187,8.68776331799502e-05
"fliA",-2.49321722432187,9.0009137715422e-05
"dnaK",-2.3458261856867,9.0009137715422e-05
"hisF",-2.78341719137575,0.000103771688414477
"dnaJ",-1.91824397737784,0.000103771688414477
"tap",-2.22108011884209,0.000104861707700491
"tar",-2.01741873457889,0.000104861707700491
"flgE",-3.51849743937066,0.000104882469176353
"cheB",-2.78545970265083,0.000104882469176353
"opgE",-2.67639061950502,0.000117459404124856
"fliZ",-2.43367878890722,0.000119937603298857
"hisD",-2.61675152418508,0.000121540446943857
"fliS",-2.80027215813552,0.000138399266200846
"cheZ",-2.70538050621685,0.000138399266200846
"glnQ",-2.1175352113266,0.00013964427147356
"flhB",-3.18257015873674,0.000144689502037834
"hisA",-2.80505252168732,0.000147811592957186
"flhA",-2.77115512614431,0.000151267605614087
"lpxP",-1.60319885532789,0.000151267605614087
"glnA",-1.96310075078096,0.000157178559083735
"fliH",-3.98832402475572,0.000161426358204788
"rbsR",-1.82159593785486,0.000161426358204788
"manY",-1.63232384702359,0.000161426358204788
"carB",-1.7693287211593,0.000176890018603988
"cheW",-2.1229067862883,0.000182599419658188
"rihA",-2.808882228933,0.000187387966725802
"nmpC",-2.25205781213882,0.000187387966725802
"carA",-1.69077576693313,0.00018835955067056
"gntT",-3.63775076440472,0.000207102041389849
"flgA",-2.61287927942866,0.00022384902455094
"glnL",-2.4737564013235,0.00022384902455094
"flgL",-2.42398787812572,0.00022384902455094
"malT",-1.81053033621858,0.00022384902455094
"insL2",-1.41735140881903,0.00022384902455094
"livJ",-1.76937696767327,0.000241933581928209
"rbsA",-1.87055286219082,0.000245572154367417
"yhjG",-1.46919437837962,0.00025138101738241
"asd",-1.35329679593934,0.000271134440610319
"gatY",-1.45585607092084,0.000292761981803185
"groS",-2.3787744976217,0.000293121864081989
"flgH",-3.9890330456075,0.000312647100721165
"manX",-1.65397166508149,0.000313836126200754
"rlmC",-1.4591859955704,0.000344690867865867
"narH",-1.379635231935,0.000346437909893144
"gspI",-2.32651477001452,0.000349731592496265
"ygeV",-1.49371759257583,0.000349731592496265
"avtA",-1.4402013925398,0.000349731592496265
"glnG",-2.13157785916561,0.000357814664754522
"htpG",-1.71821530604147,0.000357814664754522
"cytR",-1.62632823874347,0.000357814664754522
"gatC",-1.42423342140686,0.000357814664754522
"ybaE",-1.7269058475593,0.000412592509269364
"narJ",-1.4007287717954,0.000413611457431955
"manZ",-1.54295237680095,0.000417934478857385
"aer",-1.90627972465342,0.000430058778516779
"malZ",-1.21129385794695,0.000430058778516779
"gmm",-1.38362228234444,0.000440155332013938
"ccmG",-2.53605836296026,0.00044205963908554
"insL3",-1.30291756929319,0.000448973291189579
"dhaM",-1.4991293627336,0.000453960034569159
"asnA",-2.04723073327601,0.000464094966696366
"clpB",-1.50704181609409,0.00046819480547832
"rdcB",-1.94529423865195,0.000478385034173271
"srmB",-1.22354157489615,0.000480573239055354
"dapB",-1.83914209462605,0.000484791789051914
"patZ",-1.68954756941347,0.000484791789051914
"cheR",-2.5104770447361,0.000487051242054211
"ccmF",-2.12696084839387,0.000488006854322818
"btsR",-1.799135331649,0.000488006854322818
"yhdW",-1.65021403300025,0.000488006854322818
"trg",-1.48137172133953,0.000510998563578673
"polB",-1.47846620846921,0.000510998563578673
"hslU",-1.11532584865693,0.000510998563578673
"dppF",-1.19735758960586,0.000518528462348049
"malS",-2.01548543772813,0.000530005732828536
"gntU",-2.32274414332726,0.000578671876638356
"napA",-1.3704482530846,0.000579056538421197
"ptsG",-1.26154674760824,0.000605954407909505
"glnP",-1.60622789740557,0.000667218107699071
"pck",-1.14848673910656,0.000707740523590017
"gpr",-1.35194876546029,0.000720339523460414
"insL1",-1.37025086496547,0.000748639069672509
"uvrC",-1.15506901776825,0.000754152966336153
"rbsC",-1.90429700285019,0.000779697042003984
"cydC",-1.00199808264088,0.000786050674127316
"ampG",-1.4618813247667,0.000804494874677744
"dppD",-1.24546842408767,0.000822582513132579
"srlD",-1.82776403702701,0.000900725551358389
"cusF",-6.46591587994814,0.000967603017355449
"flgM",-2.19572946273295,0.000984801809143607
"gatA",-1.91343526058697,0.00100757786388736
"yijF",-1.01453876138788,0.00100757786388736
"malX",-2.30027499347717,0.00101111058529206
"dhaK",-1.24531835277711,0.00101496488778102
"yeiB",-1.39360047317529,0.00101992554541976
"yfiC",-1.25239202497489,0.00101992554541976
"rnpA",-1.21715582806741,0.00101992554541976
"flgN",-2.11390329727561,0.00102008057262834
"gatZ",-1.43908465709393,0.00102008057262834
"ves",-2.32515974161014,0.0010379434621088
"cydD",-1.17533471222647,0.00104521258949823
"pdeH",-2.54540080369548,0.0010868150755681
"ccmH",-2.34035779624806,0.0010868150755681
"flu",-2.00439571438603,0.00111381268443186
"preA",-1.2251644176369,0.00117015314624529
"ccmC",-1.60132607454278,0.00118416956387761
"yihN",-2.06555343166046,0.0011942040745443
"cspA",-2.83245156554043,0.00121047097834891
"btsS",-1.74241313506771,0.00122541545546269
"fhuF",-1.73529963732467,0.00122541545546269
"grpE",-1.10293365724603,0.00122863013378235
"selO",-1.35648947919932,0.00124641500198359
