"Gene","logFC","adj.P.Val"
"nadB",3.24096743084182,2.78722527075274e-05
"hycC",3.39256889684111,3.80206863632949e-05
"hycE",3.29110569150801,3.80206863632949e-05
"nadA",2.79684840767172,3.84561696844517e-05
"hycG",3.30441133804262,4.0488853774542e-05
"ldhA",2.76960651742201,4.05572847443568e-05
"pnuC",2.65660870824022,4.05572847443568e-05
"leuO",2.66574863136063,4.17768066058407e-05
"hycA",4.3035260827432,4.20141633335401e-05
"hycD",3.82078909530275,4.7718596770799e-05
"tsuA",2.83446608233935,4.7718596770799e-05
"fdhF",2.19504978798305,5.67938320110369e-05
"cysP",2.23439905318859,7.13555680538243e-05
"alaE",2.2577339959198,8.20102412719809e-05
"cysD",1.99203066936243,8.68776331799502e-05
"cysK",1.92402848526191,8.68776331799502e-05
"cfa",2.10257671861559,9.0009137715422e-05
"glsA",2.5704472086374,9.27457409843643e-05
"metC",1.87226401451578,0.000103771688414477
"yhhJ",2.13971221799648,0.000104861707700491
"btsT",3.35196109789392,0.000115474499658584
"cysJ",2.20097278640313,0.000115474499658584
"tcyP",1.94767246933624,0.000115474499658584
"metK",1.8506138922488,0.000115474499658584
"hycI",3.04360045098913,0.000116362022750885
"metR",2.8526517524627,0.000119937603298857
"cysI",2.09471115834285,0.000119937603298857
"wrbA",1.73206146805428,0.000119937603298857
"hyaB",2.19941084568646,0.000131559034703794
"hycF",2.96766054043193,0.00013964427147356
"tcyJ",1.75497074013672,0.00013964427147356
"dcyD",1.54559994146913,0.000154652358116518
"yjiH",1.77036608136547,0.000161426358204788
"nlpA",1.73465688002693,0.000163156976419692
"mscS",1.84506509071692,0.000176890018603988
"gadX",1.66010508188094,0.000180032611439994
"metA",2.24586478289215,0.000182599419658188
"rpoS",1.57111299421541,0.00018835955067056
"hyaA",2.95125287654756,0.00022384902455094
"cysN",1.77329227105605,0.00022384902455094
"metE",1.60269788753495,0.00022384902455094
"metF",1.65952819964437,0.000227616927794334
"metQ",1.53113840977568,0.000227616927794334
"nikA",1.99781754838667,0.000240066621621989
"dmlA",2.25957521755929,0.000264509719255625
"dcuB",1.83147025625531,0.000264509719255625
"katG",1.38019569577268,0.000270925264026269
"hyaD",2.33559565556289,0.000278975599817883
"tsgA",1.90720269832451,0.000293121864081989
"dps",1.44243359873411,0.000296509912914734
"metB",2.26580105948948,0.000312647100721165
"sbp",1.63511581736072,0.000312647100721165
"ompX",1.56274013583505,0.000312647100721165
"mmuP",2.24124803267717,0.000327849544048132
"rbbA",1.96749524949936,0.000327849544048132
"yrbN",3.0373673295096,0.00034725906668238
"pntB",1.65981867940459,0.00034725906668238
"pntA",1.65303463741362,0.000349731592496265
"fabB",1.25575096755793,0.000357814664754522
"slp",2.43401548465976,0.000365299448117637
"ybdL",1.88774752958482,0.000365299448117637
"gnd",1.17656677540491,0.000377544567354253
"cysM",1.62430208640692,0.000397766303467
"iaaA",1.75883614748078,0.000412592509269364
"dadX",1.23520977127009,0.000412615546211677
"uspA",1.53249235312265,0.000413611457431955
"cysU",2.00711350763099,0.000417934478857385
"leuE",1.37368531977961,0.000439048420083707
"hydN",3.10474704151955,0.000451198526857169
"qorA",1.90827045577922,0.000451198526857169
"metN",1.88309054737246,0.000461605734263103
"tauA",1.60561786271355,0.000464094966696366
"katE",1.51371559770432,0.000469064245382756
"cbpA",1.21736477848219,0.000471625395827926
"cysW",1.67778411967703,0.000492188253045773
"gadW",1.63372700183845,0.000500806911781393
"proV",1.50712743113877,0.000510998563578673
"gsiA",1.30121101236013,0.000562197184636764
"yehD",2.29632754986348,0.000568622142784628
"tcyL",1.19956897557772,0.000568622142784628
"yciW",2.03277197511821,0.000605954407909505
"oppA",1.3044346080367,0.000605954407909505
"dauA",1.24792691706565,0.000605954407909505
"ompC",1.07301306027801,0.000605954407909505
"ybaT",1.87637457868821,0.000626514846480162
"ldtE",1.18800998111359,0.000779697042003984
"cysH",2.09828780296804,0.000804494874677744
"uspD",1.25769600788101,0.000898300211305982
"gsiB",1.50335257537158,0.000967603017355449
"nlpD",1.0373142004094,0.000967603017355449
"metI",1.7179188785254,0.00100507564427876
"cysA",1.53748556822422,0.00101496488778102
"hdeD",1.07324545201718,0.00101496488778102
"pfkB",1.34219371452985,0.0010379434621088
"hycH",3.40426306592423,0.00114211493993864
"yfhH",1.48107942409097,0.00118367414227676
"nikB",1.63357843845049,0.00120742729576625
"yagU",1.06854081830224,0.00120742729576625
"ydgA",1.01580206729925,0.00120783901175694
"yqjG",1.38404378166764,0.00123721879578254
"dtpA",1.0033170403893,0.00126414306015209
"ybhL",1.1018802082219,0.00129960903239792
"metL",1.18685785949641,0.00134162889668559
"hyaF",1.47832568947084,0.00136476912794942
"yoaC",1.70939827438884,0.00136740694661937
"csgD",1.79005980234188,0.00137710912112764
"ompA",1.07805780843804,0.00137710912112764
"yjeO",2.11797218213456,0.00138572753417504
"tktB",1.14872875539555,0.00138572753417504
"yieF",1.29581098488756,0.00143847107195164
"uspE",1.00013912440905,0.00143847107195164
"ydeA",1.37623269215639,0.00150605216549501
"yaiT",1.06592835556488,0.00150605216549501
"ydfG",1.41748247843793,0.00150617677896568
"qorB",1.22560629216474,0.00154673239485974
"arnB",1.68997333977854,0.00155432126959012
"fbaB",1.27014233513334,0.00155432126959012
"udp",1.0686341656212,0.00158853933086463
"proX",1.8157305593135,0.00159465062638437
"tcyN",1.3717276767067,0.00159465062638437
"cecR",1.38979548352761,0.0016443920035312
"sodB",1.19996850307585,0.00174203257170923
"otsB",1.00895031250048,0.00178466805756546
"osmY",1.4655576592869,0.00178779585902814
"ihfA",1.22568335086642,0.00179675947106134
"degQ",1.13417590887371,0.00183385733057176
"hycB",3.53861019357553,0.00185606711192004
"yahD",2.30234565736168,0.00185606711192004
"ycgB",1.11918579815288,0.00192643728429776
