"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","P","SignedZ"
"fliC",-2.92376530942454,7.84048156404149,-18.8780518595228,4.75434551837427e-17,2.06576312773362e-13,27.8406496503695,2.06576312773362e-13,-7.34446980985721
"cheA",-1.78605391483672,7.1826983315005,-14.7709699110551,1.98829398522714e-14,4.31956868290597e-11,22.5287962535855,4.31956868290597e-11,-6.59268003611536
"tar",-1.31765375587554,7.62454189214214,-12.7771410811596,6.14154338441979e-13,8.89500200176799e-10,19.37476549445,8.89500200176799e-10,-6.12807256290198
"fliD",-1.48696478430523,5.70212055510467,-10.9938742949097,1.86857390720233e-11,2.02973840669853e-08,16.1614452055972,2.02973840669853e-08,-5.60944725887153
"ydcT",-1.1152367011098,7.7592324574719,-9.66035033467953,3.06976801714196e-10,1.80605533799024e-07,13.4856158836687,1.80605533799024e-07,-5.21826644109138
"cheY",-1.02910420606257,7.77379061948859,-9.65365132134293,3.11500147342711e-10,1.80605533799024e-07,13.471549388002,1.80605533799024e-07,-5.21826644109138
"flgK",-1.39859458472427,6.39775485696003,-9.62835281542714,3.29208953994713e-10,1.80605533799024e-07,13.4183706184946,1.80605533799024e-07,-5.21826644109138
"cheW",-0.96974406142267,7.2888516181974,-9.6237639378956,3.32530326902691e-10,1.80605533799024e-07,13.4087148458045,1.80605533799024e-07,-5.21826644109138
"fliZ",-1.69487039152974,5.96236541033123,-9.43303028378846,5.05923775228126e-10,2.44248755929579e-07,13.0047348093291,2.44248755929579e-07,-5.16205863303299
"cheZ",-1.07318597826536,6.91114903090699,-8.94002757639823,1.53016566133381e-09,5.91994251159001e-07,11.9364962444209,5.91994251159001e-07,-4.99381070029605
"csgB",-1.30806320020947,5.89641715560804,-8.89604156469334,1.69160034152131e-09,5.91994251159001e-07,11.8394969746338,5.91994251159001e-07,-4.99381070029605
"tap",-0.865944218466746,7.59451056899265,-8.88778231207562,1.72380952192772e-09,5.91994251159001e-07,11.8212525127088,5.91994251159001e-07,-4.99381070029605
"motB",-1.08481633017443,6.08387919054388,-8.87591001049813,1.7712141001305e-09,5.91994251159001e-07,11.7950098043361,5.91994251159001e-07,-4.99381070029605
"ydcU",-1.09585245390066,5.92173725110066,-8.79442002845626,2.13480488213522e-09,6.62551943776966e-07,11.6143382427707,6.62551943776966e-07,-4.97203074575796
"flgM",-0.981356838683201,7.57477464898578,-8.59724610332793,3.36617146097657e-09,9.75067666529546e-07,11.173251242339,9.75067666529546e-07,-4.89660457888338
"fliA",-1.42284784793865,6.89506534057276,-8.48946174958501,4.32708843815137e-09,1.17507495398548e-06,10.9297844765409,1.17507495398548e-06,-4.85979478147776
"ydcV",-1.69162810367368,6.16871690177039,-8.27397839677958,7.18173179855417e-09,1.83556615674811e-06,10.4380875580575,1.83556615674811e-06,-4.77073311432058
"ybfB",-0.951107039347564,3.36504504157847,-8.06773675361658,1.17304930396363e-08,2.83161068095664e-06,9.9613305688427,2.83161068095664e-06,-4.68267080250008
"flgD",-1.4414402247588,7.89783132720036,-7.99531512787564,1.39545828560839e-08,3.04646104189461e-06,9.79250268055974,3.04646104189461e-06,-4.66766228399729
"cheB",-0.938127238019199,7.2117163104347,-7.99328398599239,1.40228356358785e-08,3.04646104189461e-06,9.78775717929175,3.04646104189461e-06,-4.66766228399729
"csgE",-2.16193685471073,5.06404094153841,-7.79569918535603,2.25985732173569e-08,4.67575241092456e-06,9.32339411130926,4.67575241092456e-06,-4.57883392772528
"flgF",-0.878244071680695,7.9979171369514,-7.72992679032368,2.65189610181379e-08,5.23749480108224e-06,9.16762504228848,5.23749480108224e-06,-4.55504266039117
"fbaB",-1.79808694047743,8.4477754108863,-7.66183314077623,3.13140000407886e-08,5.70912155980632e-06,9.00573807325977,5.70912155980632e-06,-4.53688500692173
"puuD",-0.931931501726063,7.48824795352223,-7.65895917057643,3.15348486617611e-08,5.70912155980632e-06,8.99889163035192,5.70912155980632e-06,-4.53688500692173
"clsB",-1.09218377423004,6.35526675120693,-7.51112670406716,4.5332299648105e-08,7.87875367884065e-06,8.64522419945201,7.87875367884065e-06,-4.46845240783085
"csgA",-1.12260961174732,7.31542793621795,-7.49206566451592,4.75136024901854e-08,7.94025395460983e-06,8.59941111961107,7.94025395460983e-06,-4.46678855375006
"phr",-0.886607721623427,7.56857743473977,-7.33591475048763,6.99466098924031e-08,1.07844387197961e-05,8.22230292575346,1.07844387197961e-05,-4.40081632139326
"metT",1.57541735684589,9.59527628746402,7.32910591718107,7.11409982714714e-08,1.07844387197961e-05,8.20578705007866,1.07844387197961e-05,4.40081632139326
"treA",-1.16520046791845,8.08526945086859,-7.32439802051496,7.1978992606234e-08,1.07844387197961e-05,8.19436381363795,1.07844387197961e-05,-4.40081632139326
"ycgR",-1.17393996935843,5.44940534850502,-7.21908952800159,9.36003354415849e-08,1.29499004096133e-05,7.9380988595515,1.29499004096133e-05,-4.36094992398493
"motA",-1.07436947667,5.97287781630232,-7.21327548511465,9.49713139649677e-08,1.29499004096133e-05,7.92390932178164,1.29499004096133e-05,-4.36094992398493
"metU",1.51638212401308,9.17256015104856,7.21158712750693,9.53732596335155e-08,1.29499004096133e-05,7.9197879754598,1.29499004096133e-05,4.36094992398493
"patD",-1.50508870408547,6.71164171363975,-7.1815034583533,1.02833316702911e-07,1.33977183579257e-05,7.84629209949835,1.33977183579257e-05,-4.35350639783269
"csgF",-2.13940225159635,6.22785513969182,-7.1737970629112,1.04838302455575e-07,1.33977183579257e-05,7.82744661771868,1.33977183579257e-05,-4.35350639783269
"flxA",-1.0841089341597,6.18766011618517,-7.05018595502527,1.43040391269942e-07,1.77564939029021e-05,7.52414997781939,1.77564939029021e-05,-4.29138151610052
"puuC",-1.08880761355242,7.57523825449107,-7.03903552003292,1.4711939712416e-07,1.77564939029021e-05,7.49669792594282,1.77564939029021e-05,-4.29138151610052
"ddpB",-0.855377754705533,6.59506049543589,-6.96701842056039,1.76478618171487e-07,2.07243134041922e-05,7.31902891138436,2.07243134041922e-05,-4.25694087547005
"kdpB",-0.715692254502183,5.49913607670039,-6.89250167342632,2.1317406279886e-07,2.42818510660545e-05,7.13453591785939,2.42818510660545e-05,-4.22137322095575
"narX",-0.717422963609426,7.1622360819927,-6.8837786240138,2.1794987147897e-07,2.42818510660545e-05,7.11289571903578,2.42818510660545e-05,-4.22137322095575
"lhgD",-1.80173747679275,7.11208088165003,-6.66846251631114,3.77620358176305e-07,4.10190114069012e-05,6.57594724514764,4.10190114069012e-05,-4.10166372251637
"csgG",-1.23262476844285,6.48089895879464,-6.64749779048493,3.9848905121431e-07,4.22301201835653e-05,6.52338634212594,4.22301201835653e-05,-4.09492712365948
"yehW",-0.842676229694489,7.29236873235619,-6.54574122419932,5.17721725553373e-07,5.35595451792716e-05,6.26759162994384,5.35595451792716e-05,-4.03952506139876
"csgD",-1.95292571440696,5.84647997225604,-6.52255279863541,5.49628060944991e-07,5.5537998251302e-05,6.20914583406993,5.5537998251302e-05,-4.03100865507953
"thiK",-0.57567240632948,8.49153253771909,-6.48096432127817,6.1194422741074e-07,6.04294924568105e-05,6.10418215141258,6.04294924568105e-05,-4.01112738476555
"flgA",-0.727565396487321,7.33187909622486,-6.43985129069405,6.80609398273627e-07,6.44342675393424e-05,6.00024292034819,6.44342675393424e-05,-3.99595391932768
"ldcC",-0.967855884785609,7.06442594644702,-6.43897342833724,6.82157953235846e-07,6.44342675393424e-05,5.99802168627245,6.44342675393424e-05,-3.99595391932768
"flgC",-1.30581981731365,8.06000192650871,-6.39842600131599,7.5772319796468e-07,7.00490913863093e-05,5.89534081373862,7.00490913863093e-05,-3.97611896974367
"b0309",-1.07777248773504,3.92838436117479,-6.36263872602594,8.31456601030906e-07,7.52641444058185e-05,5.80457821811099,7.52641444058185e-05,-3.95900029336624
"flgH",-0.924700046984931,6.27927632798422,-6.27619307347787,1.04107545214742e-06,9.23157722363378e-05,5.58482395468721,9.23157722363378e-05,-3.90994857522446
"ptrR",-0.656604918376061,6.93575170807529,-6.23031492768969,1.17335626528574e-06,0.000101964659453331,5.46790988416894,0.000101964659453331,-3.88586858008667
"yahD",-0.898750039646337,6.67830405790556,-6.12506166775053,1.54500479866705e-06,0.000131628350004085,5.19896676213836,0.000131628350004085,-3.82339183350179
"cheR",-0.610960727121207,6.53955112813828,-6.09660576694377,1.66460928680656e-06,0.00013909091059951,5.12609008248602,0.00013909091059951,-3.80977927776222
"menF",-0.554169709565849,7.23196022584902,-6.02540770051231,2.00664169654067e-06,0.000164506757952249,4.94345254526077,0.000164506757952249,-3.76808186416032
"b2978",-0.784800021529764,7.49319764425002,-6.0138572191214,2.06849206839719e-06,0.000166437000688626,4.91378428275203,0.000166437000688626,-3.76516820640549
"ydcS",-1.21083440263354,6.3610270162564,-5.99340432823134,2.18278674062447e-06,0.000171569788244509,4.86122352680925,0.000171569788244509,-3.75757232261704
"flgN",-0.856100318249259,7.27663482318659,-5.98847838682476,2.2112561891122e-06,0.000171569788244509,4.84855970215643,0.000171569788244509,-3.75757232261704
"yciF",-1.37664036289701,6.95594390575969,-5.98069181411753,2.25702721388505e-06,0.000172048828847905,4.82853777954252,0.000172048828847905,-3.75687434658699
"ydcR",-0.596857244467682,6.74139094810862,-5.95998708635067,2.38345362878145e-06,0.000178553552018197,4.77527607477622,0.000178553552018197,-3.74757346120194
"fliG",-0.75896282603924,7.67734061743189,-5.94390375501965,2.48658830846013e-06,0.000183122477970496,4.73388002451516,0.000183122477970496,-3.74122912226302
"flgJ",-0.775507158800867,6.97632656699877,-5.90988649658474,2.71984973225253e-06,0.000196962451443954,4.64626086747449,0.000196962451443954,-3.72288089325637
"astC",-0.90495023498815,7.25410178792408,-5.89264817992299,2.84638471097037e-06,0.000202746583101086,4.60182717044337,0.000202746583101086,-3.71556942846155
"lexA",1.23268178758925,8.48208470929069,5.87533348985593,2.97947638148179e-06,0.000208315577911547,4.55717503783593,0.000208315577911547,3.70871276212125
"fliT",-0.822215608781171,7.17224445430837,-5.87015940613262,3.02045602035154e-06,0.000208315577911547,4.54382766266259,0.000208315577911547,-3.70871276212125
"maoP",1.5647710507141,8.77633978606337,5.85881619939592,3.11230171112457e-06,0.000211296108356817,4.51455944208428,0.000211296108356817,3.7051134853225
"ddpD",-0.641373982043102,5.79209103593302,-5.81647322906824,3.48081550668367e-06,0.000232679128869854,4.40522562549675,0.000232679128869854,-3.68060728952693
"puuA",-1.10585027738751,7.81525717664367,-5.78888785833915,3.7443237500011e-06,0.000246501313541739,4.33393238523293,0.000246501313541739,-3.66586773323166
"yoaA",-0.498810824277534,6.80875627411988,-5.77175935488991,3.91799754781217e-06,0.000254085064854386,4.28963941737158,0.000254085064854386,-3.65810690954452
"b2653",-0.808179394840846,4.24447348243393,-5.73612244101441,4.30587206805136e-06,0.00027513256081887,4.19742535705596,0.00027513256081887,-3.6376541196453
"b0359",-1.3368718878986,4.23435795619993,-5.72476956431519,4.43741110664232e-06,0.00027942827910668,4.16803209696553,0.00027942827910668,-3.63366069517227
"otsB",-1.88831124786254,7.77727097069172,-5.71865430834697,4.50993903218597e-06,0.000279938358497829,4.15219609341685,0.000279938358497829,-3.63319033777024
"fliS",-0.689018641829896,7.35844185667658,-5.68553670738337,4.92403254408441e-06,0.000301336921183757,4.06639636825349,0.000301336921183757,-3.61414798391669
"citT",-0.819245628321551,6.50453750271201,-5.66946082412431,5.13867582122559e-06,0.000310104811711461,4.02472458727649,0.000310104811711461,-3.606709240405
"talA",-2.10706205837591,7.78823740725991,-5.65200035943719,5.38252227749346e-06,0.000320370675283686,3.97944712499585,0.000320370675283686,-3.59824587599183
"ulaR",0.600488188989356,6.96516195388983,5.63734700817648,5.59615856827464e-06,0.000328585256475045,3.94143586452202,0.000328585256475045,3.59165452241771
"paoA",-1.03064643668479,6.21530632149888,-5.62561715611169,5.77332361641239e-06,0.000334467881510824,3.91099984817257,0.000334467881510824,-3.5870284201397
"flgI",-0.922975497283523,6.11352116831283,-5.6097635257582,6.02180191972076e-06,0.000344272754489299,3.86985202063536,0.000344272754489299,-3.57948443321184
"paoB",-0.805256053885763,7.47025991006838,-5.59222953699785,6.30920444436525e-06,0.000350030276311498,3.8243276027008,0.000350030276311498,-3.57514766667703
"ddpF",-0.618949836981015,6.53859743223713,-5.59102655008621,6.32942270846995e-06,0.000350030276311498,3.82120364740808,0.000350030276311498,-3.57514766667703
