"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"metT",1.57541735684589,9.59527628746402,7.32910591718107,7.11409982714714e-08,1.07844387197961e-05,8.20578705007866
"metU",1.51638212401308,9.17256015104856,7.21158712750693,9.53732596335155e-08,1.29499004096133e-05,7.9197879754598
"lexA",1.23268178758925,8.48208470929069,5.87533348985593,2.97947638148179e-06,0.000208315577911547,4.55717503783593
"maoP",1.5647710507141,8.77633978606337,5.85881619939592,3.11230171112457e-06,0.000211296108356817,4.51455944208428
"mqsR",2.31915323034612,7.45938306776718,5.30865663679153,1.34418102779766e-05,0.000592872489621116,3.08621368523083
"insE2",1.07643288853636,8.50088454343707,5.24357401850607,1.59983328038379e-05,0.000655780717289394,2.91643473616754
"glyT",1.72676882387369,9.29914117444008,5.22606964259484,1.67657874703698e-05,0.000674512468136637,2.87075577414265
"ompX",1.51491957845196,11.2710617047708,5.20633225154586,1.76756163736209e-05,0.000704592230673236,2.8192427400388
"valX",1.37255334444564,10.7421942730547,4.97145667457736,3.31766143462423e-05,0.0010758033318873,2.20595288845645
"proM",2.22414664551709,9.18611428903775,4.87808323454583,4.26237515336986e-05,0.00125359911187985,1.96218753519388
"thrV",1.55559056883127,9.25490570873355,4.67339157998824,7.38233533869193e-05,0.00180203635093351,1.42852256366893
"insA5",1.82034655949321,6.47455003642204,4.58241371794192,9.42178602483915e-05,0.00221284650150952,1.19186143742229
"sbp",1.2998636859121,8.38290635624617,4.52264854041282,0.000110579161781001,0.00240600883673546,1.03664358197749
"valV",1.35924775040316,7.84456619621233,4.47747285450018,0.000124796262614579,0.00265803804441346,0.919469518315012
"glnW",2.09188164659909,10.2436469142656,4.42610022237265,0.000143182809615086,0.00294848013164714,0.786400920810364
"b3914",1.39782990238913,7.82042478892424,4.40781860513363,0.000150355514375099,0.0030492446311689,0.739096222747378
"cspE",1.58310286069361,10.3727165446524,4.38064313046151,0.000161682080923155,0.00322251670463811,0.668829178547994
"leuZ",1.70076088338493,9.95379524476742,4.35217900096198,0.000174454372979566,0.00339912219998303,0.595298451697015
"nfuA",1.27977653613505,9.5498495648851,4.32181060773408,0.000189185918490286,0.00363169586152931,0.516929564863129
"cysN",1.589840050314,9.31325030431708,4.26042265146518,0.000222834080773183,0.00412005991897652,0.358784746273376
"valT",1.19273121338965,10.9266115494101,4.24167794445021,0.000234243642072051,0.00426992903111381,0.310572818497874
"gpmA",1.30729574730201,10.2471240460483,4.2244485889247,0.000245239967857248,0.0043315758550396,0.266291956552615
"gltT",1.23479840132395,12.0881353689239,4.12036809305213,0.00032339466929871,0.0052627334760408,-0.000471318533136866
"valY",1.5596355875646,10.9095107457161,4.11294814628628,0.000329824363266046,0.00529766867812231,-0.0194380202339142
"cysU",1.04572011029019,8.32219375469225,4.08550469145073,0.000354720705211318,0.0055618451644958,-0.089525601372042
"proL",1.29056143587132,8.3576411302777,4.03123724632457,0.000409533490527553,0.00615717306692809,-0.227816255734261
"hha",1.81467963551969,9.17862380580438,4.02029835443723,0.000421553601369723,0.00625136654590938,-0.255641408266686
"alaW",1.38282883476375,9.87004998558274,3.98918698333802,0.000457672460919865,0.00670266715593961,-0.334682486757046
"gltW",1.19335544829011,11.9065586132396,3.98532055905181,0.000462368865176941,0.00670266715593961,-0.344495289915265
"cyaA",1.06165909943985,6.6167278278597,3.852273298472,0.000656302665515174,0.00861521172707986,-0.68069759196703
"tomB",1.80204698618629,8.49538177376255,3.8423532233559,0.000673609412081189,0.00873998460932219,-0.705644354304749
"ssrS",1.01844994010377,11.8764063323899,3.83076449982907,0.000694394806200887,0.00892646577793744,-0.734764950597612
"obgE",1.11093377441226,8.5146937083431,3.81867112629339,0.000716755869151356,0.00913285704241244,-0.765127551148336
"glnX",2.0859674013861,9.99684550331926,3.81330799324721,0.000726897028459155,0.009208068771589,-0.778584045192984
"insA2",1.27991265573235,7.13118374556144,3.77000056036399,0.0008141054850643,0.00977151473095133,-0.88704724836453
"yhdN",1.01849509175954,8.46022639474134,3.76150620811144,0.000832374689047121,0.00990867951756094,-0.908279064643511
"metV",1.87032706069416,10.9638446753854,3.75095349678789,0.000855630548350423,0.0101013489132561,-0.934636080668102
"bamE",1.22865141330314,8.0160185628703,3.7418158366736,0.000876280688114691,0.0102626404039308,-0.957440972050973
"gltV",1.10434115804034,11.9335232975133,3.72001871671796,0.000927528327994467,0.0106335371639471,-1.01177240376887
"glnV",1.98749342983251,10.0235710817934,3.67392639613363,0.00104573170488249,0.0114163423560663,-1.12633947526949
"ynaJ",1.05933526572776,8.6247287506567,3.54547854607127,0.00145811809913289,0.0143662656252436,-1.44314548731042
"glyV",1.15602036937547,9.85667425197335,3.53782166327468,0.00148716565515702,0.0145534566929218,-1.46190927631731
"gltU",1.13758949197523,11.9700410765844,3.52734908482508,0.00152780765458668,0.0148176880785248,-1.48755004548647
"glyS",1.03315748933045,9.3323502761781,3.52140678331163,0.00155134654674351,0.0149482841949875,-1.50208705616027
"rpoC",1.01558734817746,8.65208760767648,3.48734065686727,0.00169324555312253,0.0159245712734142,-1.5852555001416
"fbp",1.15930457624284,9.15425650304342,3.45859084620975,0.00182273605812301,0.0167084138661276,-1.65521547865017
"yfgJ",1.0596209949901,6.93078291994914,3.45487559951238,0.00184015498646515,0.016797213059225,-1.66424056978951
"pheM",1.05058263534259,4.57607887443343,3.44080730014403,0.0019075887454823,0.0172189151609146,-1.6983825088744
"aspU",1.53412841009273,10.9475182096626,3.4012359699034,0.00211035951677507,0.0184869195572333,-1.79413388302216
"tyrT",1.24420868434274,10.0378514662016,3.37317640834216,0.00226662546372488,0.0192729699410658,-1.86177101179485
"valZ",1.03355410053782,10.7906954977304,3.35841124097028,0.00235328893247442,0.0197394602540567,-1.89727389746887
"mqsA",1.91022340288418,7.33753776945401,3.35271047122451,0.00238759907201964,0.0198529057812347,-1.91096489883711
"rpsT",1.40341630903298,9.11757203780079,3.25317341489768,0.00307051053695054,0.0233240704249128,-2.14848156557068
"metZ",1.4558800230927,11.3992715308644,3.21437499102074,0.00338472295972952,0.02488429993236,-2.24024715400397
"yieP",1.53653005979765,7.30093736642513,3.18790571750861,0.00361658224424654,0.0258454767290316,-2.30257794510451
"ydhR",1.05514156917362,9.29593544210751,3.17870266927212,0.0037007130229557,0.0262309919816354,-2.32419654012752
"insA1",1.57171195602332,6.81240056040336,3.16972594128588,0.00378458225519197,0.0266084302569726,-2.34525681216648
"alaX",1.00334585734361,9.61055515735509,3.16246355525758,0.00385376576127731,0.0268343144755607,-2.36227566711178
"ibpA",2.13471569165231,9.25463572903636,3.13565532823555,0.00411979782759827,0.0282342611370891,-2.42494681573269
"metF",1.11930996177554,8.81201679381524,3.13413695503625,0.00413538041120242,0.0282964218687788,-2.42848918785658
"aspV",1.22769410075199,11.2220139386157,3.12789687742978,0.00420001508309477,0.0286484545306857,-2.44303912622051
"lysP",1.3404458148916,7.69713327377496,3.12390024078748,0.00424191921304771,0.0286642907942337,-2.45235110752597
"metK",1.42453500100631,8.68850624987616,3.05571607740948,0.00502149926669343,0.032227332935821,-2.6103655784469
"ybeD",1.76478091057246,8.71128138914622,3.05512677162004,0.00502879901737321,0.032227332935821,-2.61172413787853
"cysH",1.41082230634733,8.73484643781372,3.05194071954703,0.00506844047024734,0.0324335402698449,-2.61906696624284
"metW",1.25382866823705,11.6517698075088,3.04362858567728,0.00517327019241654,0.0327559966843445,-2.63820659889642
"deoD",1.02151645800565,9.15518243857295,3.02924426994049,0.00535958371344931,0.0334423116860635,-2.67126910663658
"rimL",1.25017105478044,7.34969061798961,3.02916107414649,0.00536067969129803,0.0334423116860635,-2.67146011433946
"metE",2.10070653171639,10.4538078871863,3.02793938221834,0.00537679824433362,0.0334423116860635,-2.67426468371919
"ppa",1.4570268797642,8.86547338481033,3.0143571358683,0.00555913689883648,0.033782447308314,-2.70540787659403
"tktA",1.0990305372683,9.39195561043356,2.98749665781697,0.0059372165945801,0.0351886739537727,-2.76679638251732
"eptC",1.34856532899358,7.70705451895705,2.93723624784279,0.00671129157153499,0.0385721717967189,-2.88093277225956
"metY",1.14318728740183,11.6377144815416,2.93276157740342,0.00678466933327738,0.0388910135265043,-2.89104719992437
"thrL",1.65908456329673,7.11449005341543,2.8928537560685,0.00747360567503237,0.0414723073537876,-2.98090579651588
"trpT",1.28533258756847,8.22971002129504,2.85936579167784,0.00810231744779114,0.0437616243931715,-3.05581773025663
"rplS",1.68979523541732,9.40715165312969,2.84602318427089,0.00836648104938686,0.044768916452692,-3.08553756325828
"prs",1.02792164163159,8.35156317776838,2.84410375176388,0.00840514562892938,0.0448653043706366,-3.08980694740338
"thrW",1.41127247704991,10.7480725150382,2.81923344574524,0.00892162495253211,0.0467041691792193,-3.14498743069582
"htpX",1.29620856481287,8.4633444972088,2.81515896975486,0.00900904158003629,0.0471050369016338,-3.15400292708008
