Name,Score,FDR,Direction,Studies
csgF,8.086586429210928e-8,3.555672052924045e-4,Down,7
fliC,5.6346107637185164e-6,0.012387691764035159,Down,7
csgG,1.7186666652161684e-5,0.018890961212920356,Down,7
ycaC,2.013049616468832e-5,0.018890961212920356,Down,7
csgD,2.1481647956470725e-5,0.018890961212920356,Down,7
fliA,1.1638101742995198e-4,0.06815052677520163,Down,7
motB,1.2589660730393388e-4,0.06815052677520163,Down,6
talA,1.7270786369169967e-4,0.06815052677520163,Down,7
flgJ,1.7747168085273135e-4,0.06815052677520163,Down,6
rdcA,1.8092588823303258e-4,0.06815052677520163,Down,6
flu,1.881336812337272e-4,0.06815052677520163,Down,7
cheB,1.9046057873757969e-4,0.06815052677520163,Down,7
tar,2.0149120947864934e-4,0.06815052677520163,Down,7
csgE,2.232079607356191e-4,0.07010324309675123,Down,7
motA,2.5982323839403694e-4,0.07616285194790536,Down,6
cheA,2.856613072692239e-4,0.07850329800392358,Down,7
fliZ,3.91779782698289e-4,0.10133268850143393,Down,7
flgK,4.4639522207731025e-4,0.10904443285966295,Down,7
fliF,5.206276021751726e-4,0.1168296112517914,Down,6
cheY,5.314060097875433e-4,0.1168296112517914,Down,7
fliK,5.942294432181022e-4,0.12359535699622727,Down,6
avtA,6.197608870174175e-4,0.12359535699622727,Down,7
flgI,6.46507439370759e-4,0.12359535699622727,Down,6
rraA,7.012622720897616e-4,0.12665286663038755,Down,7
ybaY,7.318480664062254e-4,0.12665286663038755,Down,7
fliS,7.489139259472541e-4,0.12665286663038755,Down,6
csgA,8.273764919108019e-4,0.1347397938863628,Down,7
dosP,8.683100500177505e-4,0.13635568892600175,Down,7
katE,9.314755579483436e-4,0.14123096649306438,Down,7
yciF,0.001128579231240389,0.15559252539565702,Down,7
tap,0.0011308859548827901,0.15559252539565702,Down,7
btuD,0.0011323540624655502,0.15559252539565702,Down,6
ydcL,0.0012689248315413296,0.16907462073597657,Down,7
flgD,0.00151514071286114,0.19594334454265977,Down,7
fliH,0.001632501986367454,0.20184435085226213,Down,6
dosC,0.001652580539158844,0.20184435085226213,Down,7
flgH,0.0018401089301904176,0.21633849610652808,Down,7
cheZ,0.001869652684113729,0.21633849610652808,Down,7
cheW,0.002140746042075007,0.24052911894585852,Down,7
flgG,0.0021881202542265955,0.24052911894585852,Down,7
yahK,0.002255209924820291,0.2418575131569468,Down,6
flgF,0.0024989739366494262,0.26161877141541734,Down,7
poxB,0.0026471084412309385,0.27068222828121946,Down,7
aceK,0.0027797223267509155,0.2777827061528131,Down,7
otsA,0.003031985610088774,0.29328985912374156,Down,6
yebV,0.0030683041891499006,0.29328985912374156,Down,7
groS,0.0033235181788609626,0.31092573260535433,Down,7
mscS,0.003511216709866201,0.32164208069336847,Down,7
gadC,0.0036779967519812735,0.33004391262166655,Down,7
fliL,0.003858861557287032,0.3393482853478216,Down,7
galF,0.003957150279152422,0.34116842700849415,Down,7
gatZ,0.004857005867869392,0.40294820379286256,Down,7
flgB,0.00549851530267453,0.4387126499466977,Down,7
fliD,0.005611444132348552,0.4387126499466977,Down,7
ydeI,0.005715654341532744,0.4387126499466977,Down,7
lpxP,0.005831394125133517,0.4387126499466977,Down,7
tsr,0.005900476227821985,0.4387126499466977,Down,7
malE,0.005986526949465968,0.4387126499466977,Down,6
yfcF,0.00630701375455765,0.4464863011434994,Down,7
aceB,0.006309435419497319,0.4464863011434994,Down,7
fbaB,0.006471751658887578,0.4464863011434994,Down,7
uspD,0.0064987771828937824,0.4464863011434994,Down,7
evgS,0.00674219482275116,0.45444828754260924,Down,7
puuD,0.006929006082865265,0.45444828754260924,Down,7
yedL,0.007028083591743787,0.45444828754260924,Down,7
modF,0.007310574711565867,0.4658637247355814,Down,7
otsB,0.007580842729699555,0.4759994018366234,Down,6
flgE,0.008100194740671071,0.49331792245945233,Down,7
purE,0.008222928263582075,0.49331792245945233,Down,6
hchA,0.008302371221741977,0.49331792245945233,Down,7
yiiS,0.00866268608485543,0.49870330533839996,Down,7
mprA,0.008665038791111006,0.49870330533839996,Down,7
codB,0.00873326234047232,0.49870330533839996,Down,6
tktB,0.008931064007053045,0.4996745315205672,Down,7
malF,0.00897755014558217,0.4996745315205672,Down,7
ybgS,0.009151576772905418,0.5029935383808141,Down,7
adhP,0.009916671917172836,0.5383161286396168,Down,7
