#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0048870	Cell motility	23	68	1.11	2.36	3.86e-14	511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1081,511145.b1881,511145.b1882,511145.b1888,511145.b1889,511145.b1890,511145.b1922,511145.b1924,511145.b1925,511145.b1938,511145.b1940,511145.b1943,511145.b1944,511145.b2147,511145.b4034,511145.b4355	flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,cheZ,cheY,cheA,motB,motA,fliA,fliD,fliS,fliF,fliH,fliK,fliL,preA,malE,tsr
GO:0071973	Bacterial-type flagellum-dependent cell motility	21	61	1.12	2.26	4.40e-13	511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1081,511145.b1881,511145.b1882,511145.b1888,511145.b1889,511145.b1890,511145.b1922,511145.b1924,511145.b1925,511145.b1938,511145.b1940,511145.b1943,511145.b1944,511145.b2147	flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,cheZ,cheY,cheA,motB,motA,fliA,fliD,fliS,fliF,fliH,fliK,fliL,preA
GO:0006935	Chemotaxis	16	38	1.2	2.13	6.80e-11	511145.b1073,511145.b1077,511145.b1078,511145.b1881,511145.b1882,511145.b1883,511145.b1885,511145.b1886,511145.b1887,511145.b1888,511145.b1889,511145.b1890,511145.b1940,511145.b1944,511145.b4034,511145.b4355	flgB,flgF,flgG,cheZ,cheY,cheB,tap,tar,cheW,cheA,motB,motA,fliH,fliL,malE,tsr
GO:0071978	Bacterial-type flagellum-dependent swarming motility	9	23	1.17	1.14	2.32e-05	511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1881,511145.b1890,511145.b1944,511145.b2147	flgB,flgD,flgE,flgF,flgG,cheZ,motA,fliL,preA
GO:0009605	Response to external stimulus	17	163	0.6	0.61	0.00080	511145.b1073,511145.b1077,511145.b1078,511145.b1881,511145.b1882,511145.b1883,511145.b1885,511145.b1886,511145.b1887,511145.b1888,511145.b1889,511145.b1890,511145.b1940,511145.b1944,511145.b3923,511145.b4034,511145.b4355	flgB,flgF,flgG,cheZ,cheY,cheB,tap,tar,cheW,cheA,motB,motA,fliH,fliL,uspD,malE,tsr
GO:0030030	Cell projection organization	10	51	0.87	0.72	0.00080	511145.b1037,511145.b1038,511145.b1039,511145.b1075,511145.b1081,511145.b1082,511145.b1922,511145.b1925,511145.b1940,511145.b1943	csgG,csgF,csgE,flgD,flgJ,flgK,fliA,fliS,fliH,fliK
GO:0050920	Regulation of chemotaxis	5	5	1.58	0.87	0.00080	511145.b1881,511145.b1882,511145.b1886,511145.b1888,511145.b4355	cheZ,cheY,tar,cheA,tsr
GO:0040012	Regulation of locomotion	7	27	0.99	0.6	0.0044	511145.b1490,511145.b1881,511145.b1882,511145.b1886,511145.b1888,511145.b1921,511145.b4355	dosC,cheZ,cheY,tar,cheA,fliZ,tsr
GO:0042221	Response to chemical	26	406	0.39	0.42	0.0049	511145.b1073,511145.b1077,511145.b1078,511145.b1478,511145.b1536,511145.b1732,511145.b1881,511145.b1882,511145.b1883,511145.b1885,511145.b1886,511145.b1887,511145.b1888,511145.b1889,511145.b1890,511145.b1940,511145.b1944,511145.b1967,511145.b2156,511145.b2301,511145.b2370,511145.b2684,511145.b3011,511145.b3923,511145.b4034,511145.b4355	flgB,flgF,flgG,adhP,ydeI,katE,cheZ,cheY,cheB,tap,tar,cheW,cheA,motB,motA,fliH,fliL,hchA,lysP,yfcF,evgS,mprA,yqhD,uspD,malE,tsr
GO:0030031	Cell projection assembly	8	42	0.86	0.54	0.0066	511145.b1037,511145.b1038,511145.b1039,511145.b1081,511145.b1082,511145.b1922,511145.b1925,511145.b1943	csgG,csgF,csgE,flgJ,flgK,fliA,fliS,fliK
GO:0044781	Bacterial-type flagellum organization	7	32	0.92	0.52	0.0092	511145.b1075,511145.b1081,511145.b1082,511145.b1922,511145.b1925,511145.b1940,511145.b1943	flgD,flgJ,flgK,fliA,fliS,fliH,fliK
GO:1902021	Regulation of bacterial-type flagellum-dependent cell motility	6	23	1.0	0.49	0.0135	511145.b1490,511145.b1881,511145.b1882,511145.b1888,511145.b1921,511145.b4355	dosC,cheZ,cheY,cheA,fliZ,tsr
GO:1901700	Response to oxygen-containing compound	10	81	0.67	0.42	0.0161	511145.b1478,511145.b1536,511145.b1886,511145.b1967,511145.b2156,511145.b2301,511145.b3011,511145.b3923,511145.b4034,511145.b4355	adhP,ydeI,tar,hchA,lysP,yfcF,yqhD,uspD,malE,tsr
GO:0031399	Regulation of protein modification process	4	9	1.23	0.4	0.0370	511145.b1886,511145.b1887,511145.b1888,511145.b4355	tar,cheW,cheA,tsr
GO:0009593	Detection of chemical stimulus	3	3	1.58	0.39	0.0443	511145.b1886,511145.b4034,511145.b4355	tar,malE,tsr
GO:0065009	Regulation of molecular function	10	97	0.59	0.33	0.0443	511145.b0023,511145.b0450,511145.b1101,511145.b1887,511145.b2042,511145.b2095,511145.b2156,511145.b3929,511145.b4016,511145.b4355	rpsT,glnK,ptsG,cheW,wcaN,gatZ,lysP,rraA,aceK,tsr
GO:0098777	Protein secretion by the type VIII secretion system	3	3	1.58	0.39	0.0443	511145.b1037,511145.b1038,511145.b1039	csgG,csgF,csgE
GO:1901875	Positive regulation of post-translational protein modification	3	3	1.58	0.39	0.0443	511145.b1886,511145.b1887,511145.b1888	tar,cheW,cheA
