Top 20 in network network.tsv ranked by MCC method
Rank,Name,Score
1,fliC,6.463539423816879E23
1,fliD,6.463539423816879E23
1,cheA,6.463539423816879E23
1,motA,6.463539423816879E23
1,motB,6.463539423816879E23
1,flgG,6.463539423816879E23
1,flgK,6.463539423816879E23
1,cheY,6.463539423816879E23
1,cheB,6.463539423816879E23
1,cheW,6.463539423816879E23
1,fliF,6.463539423816879E23
1,fliA,6.463539423816879E23
13,flgH,6.463539423385346E23
14,flgB,6.463539423163042E23
14,flgD,6.463539423163042E23
14,flgE,6.463539423163042E23
14,flgJ,6.463539423163042E23
14,fliL,6.463539423163042E23
14,fliK,6.463539423163042E23
20,fliS,6.463004185348927E23
