"Gene","SignedZ"
"flu",-23.8617257758417
"nirB",17.3911012641094
"purE",-16.8106903606679
"ugpB",-16.7362244620913
"fruB",16.7103933370215
"epd",16.099798191574
"purM",-15.0009041228309
"bidA",14.2102584693383
"pyrF",-13.8015382496911
"puuD",-13.2045205581223
"plsX",-12.9557135446138
"yeeR",-12.3482529447689
"trhO",-12.1452239269043
"accC",-12.1344639739223
"sstT",11.9726707142628
"plaP",-11.9102658328735
"thiB",-11.8888816460712
"csgF",-11.6959839134272
"pqqU",-11.6740464981427
"ubiU",11.4329202732479
"ybaY",-11.2301377518472
"mhpR",-11.2254680572459
"cvpA",-11.0270379818363
"raiA",10.8328266845063
"accB",-10.7419844095919
"nikA",10.7384843066143
"xanP",-10.5616978484176
"dmsA",10.5535750675946
"frdA",10.5428766852969
"yciH",-10.4804392189966
"sodB",10.4492562628369
"metJ",-10.3682013170139
"fruK",10.346800713931
"focA",10.2431986168359
"ydcI",-10.2350724699122
"glcC",-10.2213476974215
"trmA",-10.2210712670555
"dcuC",10.1570989865319
"hisG",10.0396773069534
"ttdR",9.98993721345665
"guaC",-9.91453087746276
"tsgA",-9.8188969434486
"aceB",-9.80016477041544
"metB",-9.79957783877678
"ridA",-9.75767576167959
"yecJ",-9.7558900258938
"narG",9.72352776951409
"metF",-9.64821569131959
"csgG",-9.63058517729139
"cusB",9.62179031331463
"narK",9.53706272234465
"yjjI",9.53686882453253
"purK",-9.4073880557061
"grcA",9.38360023208332
"dgcI",-9.36897430725428
"rhtB",9.31146055315637
"carA",-9.22339033789843
"crl",-9.18921864868648
"yhcC",9.15292254370745
"ybfA",9.10313952777511
"nrdI",-9.08804054573572
"csgE",-9.05753080070541
"nirD",9.05305698557278
"mrcA",-9.0411852908419
"yhbS",9.02889758440981
"purN",-8.99618175388109
"hypB",8.93675788869927
"aspA",8.89254965540434
"modF",-8.83088370118803
"dhaK",8.75589670938396
"sufB",-8.73743598194183
"yneE",-8.71898831427503
"puuP",-8.70814753568588
"hybO",8.69474704608839
"hcaR",-8.67139009737091
"metN",-8.57599834351237
"yecH",8.5749441123481
"pabB",-8.53520521773521
"proV",-8.5196529097224
"ptsG",8.51593466510889
"ybjM",8.50918625435969
"bssR",8.47095281242914
"ubiV",8.44868825686864
"yfcC",8.41791446801718
"feoB",8.41492518294748
"ynfE",8.37121912961532
"abrB",8.34936121672961
"bluF",-8.34303883965699
"yjiR",-8.27581253968
"waaL",-8.25664750685265
"ydgC",-8.241922061365
"secG",-8.19766975259518
"rfbB",-8.189647235893
"ydjX",8.15577553474798
"ndk",-8.14211818758079
"gldA",8.08743405887086
"adeP",-8.05892602827287
"yejG",-7.99423734663038
"stpA",-7.98304956448151
"gatY",7.93775016154298
"ynjE",7.93370377500434
"feoC",7.92369683970614
"yfcZ",7.90311208755912
"eamA",-7.88555039231321
"dcuB",7.88497152312285
"gcvT",-7.88326318455272
"purU",-7.88011875626865
"yeeS",-7.87441107419399
"yidF",7.86700620991523
"napA",7.86475033213974
"serC",-7.82899093113886
"yicH",7.81074207612104
"ycbJ",7.8088257937188
"astC",-7.80378480347812
"yjjP",7.79037921171234
"uspC",7.78445725168634
"pyrD",-7.7512849763444
"can",-7.7402142407558
"ydfZ",7.71883415910341
"hcr",7.70199534089363
"csgD",-7.6948965841814
"ompW",7.68399908786847
"pyrI",-7.67568551808738
"hypA",7.58640713521557
"gpmM",7.56393018912649
"napF",7.54806134763495
"ampG",-7.5447704312454
"pdhR",-7.52921683136998
"dhaL",7.4964883330883
"yigI",-7.47491845106888
"mtr",7.44846131406593
"pyrG",7.44701601268811
"wzzB",-7.44427896251599
"pepE",7.42170483571395
"purF",-7.38467345902439
"yqeF",-7.38025721632498
"nagE",7.37917139764425
"ylaC",-7.36523473359729
"lldP",-7.34972479185286
"pstS",-7.336826948788
"infA",-7.33440929356454
"ybgC",-7.31787665195086
"add",7.31778311506453
"proQ",-7.31554221961571
"ribB",7.31235154538992
"ravA",7.28379318313547
"glk",7.27889961448385
"ychF",-7.27580825405453
"mltA",-7.26319761875763
"pdeI",-7.24714014725749
"yebF",-7.24659244394612
"yibF",-7.23686484134668
"ugpA",-7.22754944676461
"hcp",7.22465843598571
"fumB",7.21484828537663
"yidD",-7.2127252271513
"hisD",7.18846180319045
"nudE",-7.17236579620309
"pyrB",-7.16469041863331
"metA",-7.15574827369776
"prfC",-7.10270355672407
"mnmG",-7.07083522326932
"rlmL",-7.06983562039514
"cadC",7.05184115293447
"mglA",-7.03862535456864
"ddpA",-7.03086478906817
"yfbS",7.01535867164832
"ybiX",-7.01372041322294
"ubiT",6.98748865891861
"hcxA",-6.96588329625362
"opgC",-6.96222781605264
"puuR",-6.94985391181999
"lolA",6.93711975725507
"ysaA",6.93483211364912
"sthA",-6.9172738805335
"thiP",-6.90037452002607
"rsd",-6.88590696853132
"cusF",6.88366208195213
"hisQ",-6.87879478274293
"efp",-6.8745397166844
"frdB",6.86665031727116
"uspF",6.85656341036248
"hypC",6.85075364467886
"digH",-6.82630693147738
"nikB",6.82347629267141
"rph",-6.79796801414568
"mreD",-6.77963564629169
"ariR",-6.75572781856305
"drpB",-6.74076438852029
"entH",-6.72364509321151
"ybdL",-6.68940864288399
"trhP",-6.6431386466813
"sixA",-6.64144283405339
"manX",6.631151362405
"udk",-6.63004427353723
"entA",-6.59884818334488
"zur",6.59374997158609
"mrdA",-6.59373081976448
"holE",-6.58743314402858
"mqo",-6.58477644955949
"nrdH",-6.58064717920212
"mntR",-6.57568105424063
"pfkA",6.57220130944494
"metR",-6.5664038781447
"napD",6.54631705318625
"ackA",6.52800194398023
"adhE",6.52521378888315
"mmuP",-6.52395773169387
"fdnG",6.51349763916897
"osmY",-6.49871484974352
"rlmI",-6.47918551260431
"kefG",-6.46116971035959
"pyrL",-6.45999032772911
"yhiM",-6.44272610572332
"mcbR",-6.43403656244703
"aroH",-6.42248316518996
"glpE",-6.42049075096489
"ispE",-6.41250885301163
"cusA",6.40774453083948
"tilS",-6.3915579399122
"ygiM",-6.38602868986767
"manY",6.38129053112658
"alaE",6.38097510569482
"mscS",-6.37045785233013
"yjjW",6.36183110040979
"tdk",-6.36146262681649
"yccM",6.35752332324163
"fruA",6.35197119937316
"ydjY",6.34044341721161
"uvrD",6.328443062804
"ylcI",6.31846021722728
