"Name","Score","FDR","Direction","Studies","string_format"
"ftnB",0.000293889132866386,0.632435500540026,"Up",7,"b1902"
"pck",0.000504130476596898,0.632435500540026,"Up",7,"b3403"
"cysU",0.000703749746410849,0.632435500540026,"Up",6,"b2424"
"tsuA",0.000814379668265717,0.632435500540026,"Up",6,"b2013"
"gcvT",0.00105720888888889,0.632435500540026,"Up",7,"b2905"
"gntT",0.00107720900642369,0.632435500540026,"Up",7,"b3415"
"yqhD",0.00128369858025716,0.632435500540026,"Up",7,"b3011"
"cfa",0.00162277318640955,0.673322909031799,"Up",7,"b1661"
"glnK",0.00185313865428206,0.673322909031799,"Up",6,"b0450"
"nac",0.00185356811862836,0.673322909031799,"Up",7,"b1988"
"cysP",0.00202343506896515,0.673322909031799,"Up",6,"b2425"
"nadB",0.00212596317691592,0.673322909031799,"Up",7,"b2574"
"aspA",0.00276840179978057,0.807999329545533,"Up",7,"b4139"
"ptsG",0.00300324267078885,0.807999329545533,"Up",7,"b1101"
"lysA",0.00309787744751332,0.807999329545533,"Up",7,"b2838"
"alaE",0.00469744010128086,0.936215458051964,"Up",7,"b2670"
"mglA",0.00492509560693008,0.936215458051964,"Up",7,"b2149"
"pabC",0.00522277115355238,0.936215458051964,"Up",7,"b1096"
"rpsT",0.00600853657270107,0.936215458051964,"Up",7,"b0023"
"rbsC",0.00608056400149764,0.936215458051964,"Up",7,"b3750"
"ddlA",0.00616311628561098,0.936215458051964,"Up",7,"b0381"
"rhaD",0.00656679525067227,0.936215458051964,"Up",7,"b3902"
"speB",0.00668886049871142,0.936215458051964,"Up",7,"b2937"
"hns",0.00695193369372333,0.936215458051964,"Up",7,"b1237"
"mutS",0.00709022380466132,0.936215458051964,"Up",7,"b2733"
"rihC",0.00727664321507269,0.936215458051964,"Up",7,"b0030"
"apt",0.0081053614703208,0.936215458051964,"Up",7,"b0469"
"gdhA",0.00810742075480707,0.936215458051964,"Up",7,"b1761"
"preA",0.00820511955609713,0.936215458051964,"Up",6,"b2147"
"lysP",0.00881326210126684,0.936215458051964,"Up",7,"b2156"
"yraQ",0.00911853478372299,0.936215458051964,"Up",7,"b3151"
"ompF",0.00968815783122148,0.936215458051964,"Up",7,"b0929"
"csgF",8.08658642921093e-08,0.000355567205292404,"Down",7,"b1038"
"fliC",5.63461076371852e-06,0.0123876917640352,"Down",7,"b1923"
"csgG",1.71866666521617e-05,0.0188909612129204,"Down",7,"b1037"
"ycaC",2.01304961646883e-05,0.0188909612129204,"Down",7,"b0897"
"csgD",2.14816479564707e-05,0.0188909612129204,"Down",7,"b1040"
"fliA",0.000116381017429952,0.0681505267752016,"Down",7,"b1922"
"motB",0.000125896607303934,0.0681505267752016,"Down",6,"b1889"
"talA",0.0001727078636917,0.0681505267752016,"Down",7,"b2464"
"flgJ",0.000177471680852731,0.0681505267752016,"Down",6,"b1081"
"rdcA",0.000180925888233033,0.0681505267752016,"Down",6,"b4109"
"flu",0.000188133681233727,0.0681505267752016,"Down",7,"b2000"
"cheB",0.00019046057873758,0.0681505267752016,"Down",7,"b1883"
"tar",0.000201491209478649,0.0681505267752016,"Down",7,"b1886"
"csgE",0.000223207960735619,0.0701032430967512,"Down",7,"b1039"
"motA",0.000259823238394037,0.0761628519479054,"Down",6,"b1890"
"cheA",0.000285661307269224,0.0785032980039236,"Down",7,"b1888"
"fliZ",0.000391779782698289,0.101332688501434,"Down",7,"b1921"
"flgK",0.00044639522207731,0.109044432859663,"Down",7,"b1082"
"fliF",0.000520627602175173,0.116829611251791,"Down",6,"b1938"
"cheY",0.000531406009787543,0.116829611251791,"Down",7,"b1882"
"fliK",0.000594229443218102,0.123595356996227,"Down",6,"b1943"
"avtA",0.000619760887017418,0.123595356996227,"Down",7,"b3572"
"flgI",0.000646507439370759,0.123595356996227,"Down",6,"b1080"
"rraA",0.000701262272089762,0.126652866630388,"Down",7,"b3929"
