#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
aceB	poxB	511145.b4014	511145.b0871	0	0	0	0	0.068	0	0	0.655	0.665
aceB	ptsG	511145.b4014	511145.b1101	0	0	0	0	0	0	0	0.453	0.453
aceB	tktB	511145.b4014	511145.b2465	0	0	0	0	0.091	0	0	0.373	0.406
aceB	pck	511145.b4014	511145.b3403	0.062	0	0	0	0.050	0	0.800	0.807	0.961
aceB	aceK	511145.b4014	511145.b4016	0.476	0	0	0	0.684	0	0	0.890	0.980
aceK	pck	511145.b4016	511145.b3403	0	0	0	0	0.069	0	0	0.562	0.575
adhP	yahK	511145.b1478	511145.b0325	0	0	0.266	0.667	0.115	0	0.900	0.296	0.948
adhP	ybgS	511145.b1478	511145.b0753	0	0	0	0	0.423	0	0	0	0.422
adhP	ycaC	511145.b1478	511145.b0897	0	0	0	0	0.522	0	0	0	0.522
adhP	talA	511145.b1478	511145.b2464	0	0	0	0	0.405	0	0	0.062	0.418
adhP	tktB	511145.b1478	511145.b2465	0	0	0	0	0.457	0	0	0.105	0.493
adhP	yebV	511145.b1478	511145.b1836	0	0	0	0	0.650	0	0	0	0.650
adhP	yqhD	511145.b1478	511145.b3011	0	0	0	0	0	0	0	0.784	0.784
apt	rpsT	511145.b0469	511145.b0023	0.073	0	0	0	0.672	0	0	0	0.683
apt	rihC	511145.b0469	511145.b0030	0	0	0	0	0	0	0.500	0.104	0.532
apt	purE	511145.b0469	511145.b0523	0.098	0	0	0	0.318	0	0	0.358	0.571
aspA	gdhA	511145.b4139	511145.b1761	0	0	0	0	0	0	0	0.408	0.408
aspA	nadB	511145.b4139	511145.b2574	0	0.012	0	0	0	0	0.900	0.222	0.918
aspA	pck	511145.b4139	511145.b3403	0	0	0	0	0.610	0	0.800	0.146	0.927
btuD	modF	511145.b1709	511145.b0760	0	0	0	0.614	0	0	0.540	0.071	0.554
btuD	cysP	511145.b1709	511145.b2425	0	0	0	0	0	0	0.540	0	0.540
btuD	mglA	511145.b1709	511145.b2149	0	0	0	0.613	0	0	0.540	0	0.540
btuD	cysU	511145.b1709	511145.b2424	0	0	0	0	0	0	0.540	0	0.540
btuD	malE	511145.b1709	511145.b4034	0	0	0	0	0	0	0.540	0.052	0.545
btuD	rbsC	511145.b1709	511145.b3750	0	0	0	0	0	0	0.900	0	0.900
btuD	malF	511145.b1709	511145.b4033	0	0	0	0	0	0	0.900	0.077	0.903
cfa	ycaC	511145.b1661	511145.b0897	0	0	0	0	0.472	0	0	0	0.472
cfa	gadC	511145.b1661	511145.b1492	0	0	0	0	0.527	0	0	0.159	0.585
cfa	tktB	511145.b1661	511145.b2465	0	0	0	0	0.364	0	0	0.100	0.404
cfa	yebV	511145.b1661	511145.b1836	0	0	0	0	0.282	0	0	0.279	0.460
cfa	hchA	511145.b1661	511145.b1967	0	0	0	0	0.366	0	0	0.207	0.475
cfa	talA	511145.b1661	511145.b2464	0	0	0	0	0.499	0	0	0.064	0.511
cfa	fbaB	511145.b1661	511145.b2097	0	0	0	0	0.548	0	0	0.048	0.552
cfa	otsA	511145.b1661	511145.b1896	0.053	0	0	0	0.680	0	0	0.076	0.695
cheA	flgB	511145.b1888	511145.b1073	0.158	0	0.157	0	0.832	0	0	0.363	0.913
cheA	flgD	511145.b1888	511145.b1075	0.158	0	0	0	0.888	0	0	0.415	0.940
cheA	flgE	511145.b1888	511145.b1076	0.158	0	0.220	0	0.841	0	0	0.622	0.955
cheA	flgF	511145.b1888	511145.b1077	0	0	0.193	0	0.438	0	0	0.285	0.647
cheA	flgG	511145.b1888	511145.b1078	0.155	0	0.199	0	0.865	0	0	0.327	0.930
cheA	flgH	511145.b1888	511145.b1079	0.107	0	0	0	0.331	0	0	0.324	0.561
cheA	flgI	511145.b1888	511145.b1080	0.107	0	0	0	0.265	0	0	0.276	0.483
cheA	flgJ	511145.b1888	511145.b1081	0.107	0	0	0	0.265	0	0	0.202	0.431
cheA	flgK	511145.b1888	511145.b1082	0.158	0	0.337	0	0.939	0	0	0.639	0.986
cheA	dosP	511145.b1888	511145.b1489	0.182	0	0	0	0.054	0	0	0.358	0.460
cheA	cheZ	511145.b1888	511145.b1881	0.429	0	0.367	0	0.915	0.981	0.720	0.993	0.999
cheA	cheY	511145.b1888	511145.b1882	0.431	0	0.651	0	0.759	0.999	0.900	0.999	0.999
cheA	cheB	511145.b1888	511145.b1883	0.440	0.078	0.775	0	0.959	0.952	0.900	0.990	0.999
cheA	tap	511145.b1888	511145.b1885	0.403	0	0.775	0	0.988	0.505	0.900	0.133	0.999
cheA	tar	511145.b1888	511145.b1886	0.471	0	0.775	0	0.965	0.922	0.900	0.659	0.999
cheA	cheW	511145.b1888	511145.b1887	0.751	0.723	0.775	0	0.996	0.994	0.800	0.999	0.999
cheA	evgS	511145.b1888	511145.b2370	0.199	0	0	0	0.042	0.091	0	0.300	0.447
cheA	fliZ	511145.b1888	511145.b1921	0	0	0	0	0.746	0	0	0.280	0.809
cheA	fliL	511145.b1888	511145.b1944	0.158	0	0	0	0.756	0	0	0.419	0.870
cheA	fliK	511145.b1888	511145.b1943	0.158	0	0	0	0.765	0	0	0.580	0.910
cheA	fliF	511145.b1888	511145.b1938	0.158	0	0.223	0	0.734	0	0	0.649	0.930
cheA	fliA	511145.b1888	511145.b1922	0.158	0	0.185	0	0.634	0	0	0.759	0.931
cheA	fliH	511145.b1888	511145.b1940	0.158	0	0	0	0.866	0	0	0.495	0.938
cheA	fliC	511145.b1888	511145.b1923	0.098	0	0.300	0	0.821	0	0	0.839	0.979
cheA	fliD	511145.b1888	511145.b1924	0.158	0	0	0	0.974	0	0	0.610	0.990
cheA	fliS	511145.b1888	511145.b1925	0.158	0	0	0	0.984	0	0	0.630	0.994
cheA	motA	511145.b1888	511145.b1890	0.799	0.590	0	0	0.986	0	0	0.113	0.998
cheA	tsr	511145.b1888	511145.b4355	0.076	0	0.775	0	0.726	0.948	0.900	0.949	0.999
cheA	motB	511145.b1888	511145.b1889	0.799	0.804	0.238	0	0.996	0	0	0.858	0.999
cheB	flgB	511145.b1883	511145.b1073	0.158	0	0.151	0	0.345	0	0	0.379	0.670
